Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.4345364,0.4455385,0.3342272,-0.0004442539,-0.3212544,0.9401205,16.87677,-5.437903,-40.562,1007.656
0.032172680,-0.3116755,0.09042841,0.3342272,-0.005279107,-0.3211892,0.9454682,16.87677,-5.437903,-40.562,1007.652
0.066815853,-0.4345364,-0.2054967,-0.03349494,-0.001904054,-0.3212434,0.9406163,16.12718,-4.659214,-40.11557,1007.652
0.098988533,-0.1273843,-0.08712663,-0.03349494,-0.003355484,-0.3260604,0.944446,16.50512,-4.664583,-40.1175,1007.652
0.133635521,0.1797678,-0.08712663,-0.03349494,0.001054018,-0.3188127,0.9430186,16.50512,-4.664583,-40.1175,1007.651
0.165807724,0.1797678,0.09042841,0.0890791,-0.002353243,-0.3245906,0.9468588,16.49883,-5.432535,-40.56006,1007.651
0.200454712,-0.3731059,-0.08712663,-0.09478197,-0.003264544,-0.3167899,0.9507875,16.8828,-5.051085,-40.11757,1007.651
0.232627392,-0.4959668,-0.08712663,-0.217356,0.001523764,-0.3202824,0.9415561,16.8828,-5.051085,-40.11757,1007.649
0.267270565,-0.3731059,0.09042841,0.0890791,-0.001918199,-0.322707,0.9396402,16.88254,-5.432218,-40.11572,1007.649
0.299443245,-0.4345364,-0.08712663,-0.09478197,-0.002341202,-0.3216783,0.9468827,16.51064,-5.040031,-39.66936,1007.647
0.334090233,-0.5573971,0.2679835,0.02779208,0.001544225,-0.3231652,0.9453882,16.87677,-5.437903,-40.562,1007.651
0.366262913,0.6712111,0.2087984,-0.03349494,-0.001875665,-0.3202504,0.9435161,16.87677,-5.437903,-40.562,1007.651
0.400909901,-1.048841,-0.08712663,-0.09478197,-0.001833132,-0.3177939,0.947392,16.8828,-5.051085,-40.11757,1007.651
0.433082104,-1.048841,-0.3238667,-0.03349494,-0.001468569,-0.3280635,0.9376639,16.50512,-4.664583,-40.1175,1007.651
0.467725277,0.9783632,0.09042841,0.02779208,0.004405187,-0.32856,0.940015,16.50512,-4.664583,-40.1175,1007.651
0.499897480,0.5483503,0.2087984,0.0890791,-0.001863527,-0.3192723,0.944488,16.1327,-5.034663,-39.66743,1007.65
0.534544945,-0.004523456,0.09042841,0.1503661,5.383231E-05,-0.3207641,0.9410839,16.5046,-5.42685,-40.11378,1007.65
0.566717625,-0.3116755,0.1496134,0.0890791,-0.003797037,-0.3197293,0.9469123,16.5046,-5.42685,-40.11378,1007.65
0.598889828,-0.9259796,0.1496134,0.02779208,-0.005793297,-0.3245956,0.9439989,16.50486,-5.045716,-40.11564,1007.648
0.633537292,0.5483503,-0.02794161,0.0890791,-0.004856006,-0.3241521,0.9391738,17.26048,-5.437587,-40.11765,1007.648
0.665705681,0.4254894,0.0312434,-0.03349494,-0.005267066,-0.3182769,0.9454921,17.26048,-5.437587,-40.11765,1007.648
0.700353146,-0.1273843,-0.3238667,-0.278643,-0.006291628,-0.3202505,0.9406654,16.8828,-5.051085,-40.11757,1007.65
0.732524872,0.4869199,-0.08712663,-0.03349494,0.002939268,-0.3280709,0.9395507,16.50486,-5.045716,-40.11564,1007.65
0.767171860,0.1183374,0.1496134,0.0890791,0.000106547,-0.3187819,0.9464017,16.50486,-5.045716,-40.11564,1007.652
0.799344540,-0.06595387,0.09042841,0.1503661,6.822217E-05,-0.324136,0.9444299,16.50512,-4.664583,-40.1175,1007.652
0.833992004,0.1797678,-0.02794161,-0.03349494,-0.0003973134,-0.3255639,0.9477965,16.50486,-5.045716,-40.11564,1007.652
0.866160393,-0.004523456,-0.08712663,-0.09478197,-0.001348994,-0.3226355,0.9492756,16.50486,-5.045716,-40.11564,1007.652
0.900807381,-0.06595387,0.0312434,0.2729402,-0.0004137596,-0.3217103,0.9439725,16.49908,-5.051401,-40.56192,1007.652
0.932980061,0.3026286,0.1496134,0.0890791,4.18406E-05,-0.3246436,0.941534,16.12666,-5.421481,-40.11185,1007.652
0.967627525,0.1797678,-0.02794161,-0.03349494,-0.001345226,-0.3168293,0.9469134,16.12666,-5.421481,-40.11185,1007.652
0.999799728,-0.4345364,-0.02794161,0.02779208,-0.001414044,-0.3217275,0.9410896,16.12692,-5.040348,-40.11371,1007.65
1.034447193,-0.4345364,0.1496134,0.0890791,0.001017749,-0.3246485,0.9415249,16.88306,-4.669951,-40.11943,1007.65
1.066615104,-0.1888147,-0.1463116,0.0890791,-0.005783115,-0.3250699,0.9454409,16.88306,-4.669951,-40.11943,1007.65
1.098787308,0.5483503,0.09042841,-0.156069,0.001977702,-0.3304708,0.9424319,16.49908,-5.051401,-40.56192,1007.65
1.133434772,1.838389,0.0312434,-0.03349494,-0.000421836,-0.3226848,0.9434825,16.88254,-5.432218,-40.11572,1007.648
1.165607452,0.4869199,0.2087984,0.02779208,0.003119487,-0.3167849,0.955548,16.88254,-5.432218,-40.11572,1007.648
1.200254440,-1.294562,-0.2054967,0.02779208,3.78266E-05,-0.3256144,0.941526,16.12114,-5.046032,-40.55999,1007.646
1.232427120,0.364059,-0.08712663,-0.156069,-0.001488931,-0.3271149,0.9347799,17.26651,-5.050768,-39.67323,1007.646
1.267070293,0.9783632,0.2679835,0.02779208,-0.003321222,-0.3207099,0.9459358,17.26651,-5.050768,-39.67323,1007.646
1.299242973,-0.1888147,0.0312434,0.2116532,-0.003386076,-0.3236704,0.939646,16.8828,-5.051085,-40.11757,1007.65
1.333889961,0.5483503,-0.02794161,0.02779208,-0.008719013,-0.3240954,0.9440303,17.26626,-5.431902,-39.67137,1007.649
1.366061687,-0.1273843,-0.1463116,-0.156069,-0.002361564,-0.3207296,0.9439987,17.26626,-5.431902,-39.67137,1007.649
