Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.233089924,63.52344,106.03125,3.85625,261.25,0
1.111906051,63.51172,106.03125,3.860625,266.5625,0
2.166837215,63.5,105.9375,3.86,283.75,0
3.221481800,63.48828,105.9375,3.860625,264.0625,0
4.276396751,63.47656,105.84375,3.85875,262.1875,0
5.155301571,63.47656,105.9375,3.85625,270.3125,0
6.210034847,63.46094,106.125,3.85625,256.875,0
7.264912128,63.44922,105.9375,3.85875,270.3125,0
8.143993377,63.4375,105.84375,3.86125,261.875,0
9.198738098,63.42578,105.75,3.85625,252.1875,0
10.253644466,63.42578,105.65625,3.859375,256.25,0
11.132605076,63.41406,105.5625,3.86,265,0
12.187452793,63.40234,105.65625,3.86,252.8125,0
13.242146015,63.39063,105.5625,3.856875,259.6875,0
14.121303081,63.37891,105.65625,3.86,261.25,0
15.175947189,63.37891,105.5625,3.85875,267.1875,0
16.230648041,63.36328,105.46875,3.858125,267.1875,0
17.285574913,63.35156,105.5625,3.85875,251.5625,0
18.164371967,63.33984,105.46875,3.85875,270.3125,0
19.219411850,63.32813,105.5625,3.85625,256.875,0
20.274120807,63.31641,105.46875,3.8575,260.9375,0
21.153179645,63.31641,105.5625,3.856875,265.9375,0
22.207852840,63.30469,105.75,3.85875,257.8125,0
23.262570381,63.29297,105.65625,3.858125,254.0625,0
24.141665935,63.28125,105.46875,3.86,262.1875,0
25.196541786,63.26563,105.46875,3.86,261.5625,0
26.251159191,63.26563,105.28125,3.86,256.875,0
27.130379200,63.25391,105.1875,3.858125,255,0
28.184963226,63.24219,105.28125,3.858125,254.0625,0
29.239793777,63.23047,105.375,3.856875,256.25,0
30.118682861,63.21875,105.1875,3.85875,255,0
31.173624039,63.21875,105.1875,3.86,260.9375,0
32.228376865,63.20703,105.28125,3.856875,281.875,0
33.283107757,63.19531,105.09375,3.856875,253.75,0
34.162353515,63.18359,105.1875,3.85375,279.375,0
35.216866493,63.16797,105.1875,3.85625,263.4375,0
36.271810531,63.16797,104.90625,3.85625,255,0
37.150633812,63.15625,105,3.855625,281.25,0
38.205517292,63.14453,104.90625,3.858125,250.625,0
39.260355949,63.13281,105.09375,3.854375,265.9375,0
40.139342785,63.12109,105.1875,3.8575,272.1875,0
41.194373131,63.12109,104.90625,3.858125,255.9375,0
42.248795986,63.10938,104.90625,3.855625,253.125,0
43.128267288,63.09766,104.8125,3.8575,269.6875,0
44.182567596,63.08594,104.53125,3.8575,258.75,0
45.237497806,63.07031,104.8125,3.85375,259.375,0
46.116364956,63.07031,104.90625,3.856875,266.875,0
47.171312809,63.05859,105,3.8575,255.3125,0
48.226194858,63.04688,105.09375,3.85375,297.5,0
49.280881405,63.03516,104.625,3.8575,255,0
50.160011291,63.02344,104.4375,3.855,265.3125,0
51.214658737,63.01172,104.625,3.854375,263.75,0
52.269294739,63.01172,104.625,3.855625,267.1875,0
53.148428917,63,104.8125,3.85375,253.125,0
54.203149795,62.98828,104.71875,3.854375,260.9375,0
55.257997513,62.97266,104.34375,3.856875,279.0625,0
56.136901855,62.96094,104.34375,3.855,261.875,0
57.191854477,62.94922,103.96875,3.85375,275.3125,0
58.246644497,62.94922,103.96875,3.85625,273.125,0
59.125627041,62.9375,104.15625,3.855,259.375,0
60.180397987,62.92578,104.15625,3.854375,265.625,0
61.235412121,62.91406,104.15625,3.855,266.875,0
62.114221096,62.90234,104.15625,3.85625,264.6875,0
63.169397831,62.90234,104.25,3.854375,270.3125,0
64.223867893,62.89063,104.25,3.854375,260,0
65.278556824,62.875,104.53125,3.855625,261.5625,0
66.157670975,62.86328,104.625,3.855,260.3125,0
67.212363243,62.85156,104.625,3.85625,256.5625,0
68.267078876,62.83984,104.625,3.855625,266.875,0
69.146183491,62.83984,104.625,3.854375,262.1875,0
70.200932979,62.82813,104.53125,3.854375,271.25,0
71.255649090,62.81641,104.15625,3.85375,272.1875,0
72.134744167,62.80469,104.15625,3.855,263.75,0
73.189449787,62.79297,104.15625,3.855,257.8125,0
74.244245052,62.79297,104.34375,3.855625,270.3125,0
75.123219490,62.77734,104.4375,3.854375,257.1875,0
76.178090572,62.76563,104.34375,3.853125,265,0
77.232767105,62.75391,104.4375,3.855,253.75,0
78.111852646,62.74219,104.0625,3.854375,253.4375,0
79.166895389,62.74219,103.96875,3.854375,270.9375,0
80.221355438,62.73047,104.25,3.85625,257.5,0
81.276206493,62.71875,104.34375,3.854375,257.5,0
82.155074596,62.70703,104.34375,3.855625,255,0
83.210028648,62.69531,104.53125,3.855,255,0
84.264766216,62.67969,104.34375,3.853125,254.375,0
85.143788814,62.67969,104.15625,3.85625,274.6875,0
86.199050903,62.66797,104.0625,3.8525,260,0
87.253449440,62.65625,103.875,3.85125,274.375,0
88.132254600,62.64453,103.875,3.8525,251.875,0
89.187028408,62.63281,103.875,3.855625,254.0625,0
90.241935253,62.63281,104.15625,3.853125,268.4375,0
91.120829105,62.62109,104.15625,3.855,250.3125,0
92.175750732,62.60938,103.78125,3.853125,285,0
93.230439186,62.59766,103.78125,3.854375,256.25,0
94.285360336,62.58203,103.78125,3.853125,257.1875,0
95.164172172,62.58203,103.96875,3.85375,276.25,0
96.219127655,62.57031,104.0625,3.85375,272.1875,0
97.274185657,62.55859,103.96875,3.85125,265.625,0
98.152983665,62.54688,103.875,3.853125,279.375,0
99.208165169,62.53516,103.875,3.853125,265,0
101.141969681,62.52344,103.875,3.85375,265.3125,0
