Time (s),W,X,Y,Z
1.061440468,0.08255975,0.6345342,-0.1396517,-0.7534423
1.093721390,0.08264531,0.6345142,-0.1396857,-0.7534434
1.126002312,0.08266305,0.6345023,-0.1396706,-0.7534544
1.160766125,0.08275214,0.6344894,-0.1397367,-0.7534432
1.193046570,0.08281256,0.6344927,-0.1397999,-0.7534221
1.227810860,0.0828416,0.6344771,-0.1398441,-0.7534238
1.260091305,0.08295413,0.6344547,-0.139965,-0.753408
1.292371750,0.08304732,0.6344287,-0.1400457,-0.7534045
1.327135563,0.08311114,0.6344357,-0.1401206,-0.7533777
1.359416962,0.08303829,0.6344637,-0.1400711,-0.7533712
1.394180775,0.08301068,0.6345032,-0.1400385,-0.7533472
1.426461220,0.08302888,0.6345002,-0.1400355,-0.7533481
1.461225033,0.08304285,0.6344951,-0.1400424,-0.7533497
1.493505478,0.08295115,0.6344947,-0.1399695,-0.7533738
1.525786877,0.08285939,0.6344785,-0.1398395,-0.7534216
1.560550690,0.08285024,0.6344714,-0.1398393,-0.7534285
1.592831135,0.08289715,0.6344984,-0.1399006,-0.7533892
1.627594948,0.08293322,0.6345442,-0.1399745,-0.753333
1.659875393,0.08289655,0.6345819,-0.1399699,-0.7533062
1.694639206,0.08285172,0.6345716,-0.1399408,-0.7533251
1.726920605,0.0827862,0.6345876,-0.1398939,-0.7533275
1.759201050,0.08279524,0.6345618,-0.1399079,-0.7533457
1.793964863,0.08279593,0.6345629,-0.1398647,-0.7533526
1.826245308,0.08277711,0.6345634,-0.1398823,-0.753351
1.861009121,0.08292214,0.634551,-0.1399999,-0.7533237
1.893290520,0.08287865,0.6345745,-0.1399872,-0.753311
1.928054333,0.08283608,0.6345874,-0.1399631,-0.7533095
1.960334778,0.08290659,0.6345665,-0.1399944,-0.7533134
1.992615700,0.08304134,0.6345496,-0.1401242,-0.7532888
2.027379513,0.0830736,0.634532,-0.1401891,-0.7532878
2.059659958,0.08303685,0.6345308,-0.1401801,-0.7532947
2.094423771,0.08294525,0.6345549,-0.1400841,-0.7533022
