Time (s),Humidity (%)
1.213572502,13.64844
2.212897301,12.74512
3.214725971,14.45215
4.214050293,13.70996
5.213375568,13.91992
6.212699413,14.51367
7.214529038,13.96973
8.213853359,13.70996
9.213177681,15.28027
10.212502480,14.58789
11.214331627,14.84766
12.213656426,13.74707
13.212980747,14.68652
14.212305546,14.82324
15.214134693,15.02051
16.213458538,15.30469
17.212783814,15.11914
18.214612484,14.03125
19.213936806,14.2041
20.213261128,13.87012
21.212585449,13.93262
22.214414120,14.27832
23.213738442,14.92188
24.213062763,14.72363
25.212387085,14.5625
26.214215279,14.73633
27.213539600,15.29199
28.212862968,14.52539
29.214692116,15.04492
30.214015484,15.25488
31.213339329,14.66211
32.212662697,15.42871
33.214490891,14.36523
34.213814735,15.31738
35.213138104,14.84668
36.212461948,15.02051
37.214290142,15.11914
38.213613033,14.62402
39.212936401,14.25293
40.212259293,14.27734
41.214087009,13.96777
42.213409901,15.13086
43.212732315,14.12891
44.214559555,14.58594
45.213881970,15.2666
46.213204384,15.41406
47.212526321,15.1543
48.214352608,14.85742
49.213674545,14.94434
50.212996483,14.31348
51.212317944,15.66113
52.214143753,14.26367
53.213465214,15.38867
54.212786198,15.57422
55.212107182,15.19043
56.213932514,14.75781
57.213253021,15.49902
58.212573052,14.95508
59.214397430,14.27441
60.213717938,13.69336
61.213037491,14.65723
62.212356091,14.94141
63.214179993,14.45898
64.213498592,14.65625
65.212817669,14.16211
66.212136746,14.4707
67.213959694,14.34766
68.213277817,15.78125
69.212596893,14.74219
70.214418888,15.01465
71.213736534,15.05176
72.213054180,15.68164
73.212371826,14.53125
74.214193344,14.3584
75.213510037,15.24805
76.212827206,14.67969
77.212143898,14.95117
78.213964939,14.58008
79.213281155,15.48242
80.212596893,14.88867
81.211913109,15.33301
82.213733196,14.64063
83.213047981,15.20898
84.212363720,14.12109
85.214183331,15.65332
86.213498116,15.86328
87.212812424,15.65332
88.212127209,15.85059
89.213945866,15.28223
90.213259697,15.77637
