Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
1.213572502,45.798,32.964
2.212897301,45.854,32.964
3.214725971,45.812,32.962
4.214050293,45.796,32.962
5.213375568,45.784,32.962
6.212699413,45.82,32.962
7.214529038,45.796,32.962
8.213853359,45.808,32.962
9.213177681,45.83,32.962
10.212502480,45.796,32.962
11.214331627,45.852,32.962
12.213656426,45.782,32.962
13.212980747,45.816,32.962
14.212305546,45.764,32.962
15.214134693,45.81,32.962
16.213458538,45.834,32.962
17.212783814,45.848,32.962
18.214612484,45.786,32.962
19.213936806,45.784,32.962
20.213261128,45.818,32.962
21.212585449,45.842,32.962
22.214414120,45.796,32.962
23.213738442,45.79,32.962
24.213062763,45.756,32.962
25.212387085,45.794,32.962
26.214215279,45.78,32.96
27.213539600,45.786,32.96
28.212862968,45.79,32.962
29.212187290,45.742,32.96
30.214015484,45.75,32.96
31.213339329,45.74,32.96
32.212662697,45.762,32.96
33.214490891,45.774,32.96
34.213814735,45.776,32.96
35.213138104,45.74,32.958
36.212461948,45.764,32.958
37.214290142,45.79,32.958
38.213613033,45.764,32.956
39.212936401,45.704,32.956
40.212259293,45.76,32.956
41.214087009,45.722,32.954
42.213409901,45.748,32.954
43.212732315,45.772,32.954
44.214559555,45.726,32.952
45.213881970,45.776,32.952
46.213204384,45.718,32.95
47.212526321,45.72,32.95
48.214352608,45.71,32.95
49.213674545,45.702,32.95
50.212996483,45.7,32.95
51.212317944,45.672,32.948
52.214143753,45.698,32.948
53.213465214,45.684,32.946
54.212786198,45.702,32.944
55.212107182,45.612,32.944
56.213932514,45.668,32.942
57.213253021,45.662,32.94
58.212573052,45.656,32.938
59.214397430,45.662,32.936
60.213717938,45.684,32.936
61.213037491,45.642,32.934
62.212356091,45.666,32.932
63.214179993,45.622,32.93
64.213498592,45.602,32.928
65.212817669,45.594,32.928
66.212136746,45.618,32.926
67.213959694,45.564,32.926
68.213277817,45.62,32.926
69.212596893,45.558,32.924
70.214418888,45.588,32.922
71.213736534,45.558,32.922
72.213054180,45.578,32.92
73.212371826,45.52,32.918
74.214193344,45.582,32.918
75.213510037,45.578,32.916
76.212827206,45.514,32.914
77.212143898,45.538,32.914
78.213964939,45.49,32.912
79.213281155,45.558,32.91
80.212596893,45.506,32.91
81.211913109,45.466,32.906
82.213733196,45.468,32.906
83.213047981,45.504,32.904
84.212363720,45.504,32.902
85.214183331,45.49,32.902
86.213498116,45.466,32.9
87.212812424,45.466,32.898
88.212127209,45.446,32.898
89.213945866,45.44,32.898
90.213259697,45.428,32.896
