Time (s),Humidity (%)
1.572154522,12.03906
2.571929932,12.8418
3.571706295,12.28613
4.571482659,12.45898
5.571259499,14.04004
6.571035862,12.2002
7.570813179,12.73047
8.570589543,12.65723
9.570366383,11.69336
10.570143223,12.73145
11.569920540,12.2002
12.572172642,12.92871
13.571950436,12.00293
14.571727276,12.79297
15.571505070,12.18848
16.571283341,12.92969
17.571061134,12.76953
18.570839405,12.52246
19.570617676,13.23828
20.570395947,13.10352
21.570175171,11.94238
22.569953919,13.93066
23.572207928,12.83203
24.571987152,13.91895
25.571766377,12.56055
26.571546078,11.85645
27.571326256,12.27637
28.571105957,12.88184
29.570886135,12.0918
30.570666790,11.99316
31.570446968,12.4375
32.570227146,12.0791
33.570007801,12.54883
34.572263241,12.83301
35.572043896,11.20215
36.571824551,11.10352
37.571605683,13.52539
38.571385861,12.27734
39.571166992,13.9082
40.570948124,12.30273
41.570728302,12.12988
42.570509434,13.05566
43.570290566,13.05566
44.570070744,12.64844
45.569851875,13.35254
46.572107315,13.37695
47.571887493,13.35254
48.571668625,11.96875
49.571448803,13.5498
50.571229935,12.69727
51.571011067,13.41406
52.570791245,13.51367
53.570572376,12.32715
54.570352554,12.17871
55.570133209,12.5127
56.569913387,12.68555
57.572168827,11.91895
58.571949482,11.49902
59.571729660,13.36523
60.571509361,12.21582
61.571289539,12.40137
62.571070194,13.14258
63.570849896,13.58691
64.570630074,12.90723
65.570409775,11.44922
66.570189953,12.10449
67.569969654,11.21484
68.569749355,11.15234
69.572003842,12.88281
70.571783543,10.86816
71.571563244,11.28906
72.571342468,11.33789
73.571122170,14.00586
74.570901871,12.35156
75.570681095,11.77051
76.570459843,13.51172
77.570239544,12.06641
78.570018768,13.62305
79.569797039,11.53516
80.572050572,13.06738
81.571829796,13.12891
82.571608067,13.21484
83.571386337,12.6709
84.571164608,12.46094
85.570942879,11.78223
86.570721150,12.30078
87.570499897,11.68262
88.570277214,12.22656
89.570055485,12.90527
