Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
1.572154522,42.44,32.282
2.571929932,42.516,32.282
3.571706295,42.504,32.282
4.571482659,42.482,32.284
5.571259499,42.528,32.284
6.571035862,42.462,32.286
7.570813179,42.514,32.286
8.570589543,42.478,32.286
9.570366383,42.546,32.286
10.570143223,42.514,32.288
11.569920540,42.488,32.288
12.572172642,42.564,32.29
13.571950436,42.53,32.29
14.571727276,42.532,32.29
15.571505070,42.56,32.292
16.571283341,42.572,32.294
17.571061134,42.566,32.294
18.570839405,42.502,32.296
19.570617676,42.562,32.296
20.570395947,42.604,32.298
21.570175171,42.622,32.3
22.569953919,42.604,32.302
23.572207928,42.564,32.302
24.571987152,42.59,32.304
25.571766377,42.616,32.304
26.571546078,42.574,32.306
27.571326256,42.662,32.306
28.571105957,42.602,32.308
29.570886135,42.604,32.308
30.570666790,42.618,32.308
31.570446968,42.588,32.31
32.570227146,42.626,32.31
33.570007801,42.708,32.312
34.572263241,42.648,32.312
35.572043896,42.604,32.312
36.571824551,42.678,32.314
37.571605683,42.634,32.314
38.571385861,42.662,32.314
39.571166992,42.648,32.314
40.570948124,42.596,32.314
41.570728302,42.63,32.314
42.570509434,42.684,32.314
43.570290566,42.622,32.314
44.570070744,42.588,32.314
45.569851875,42.642,32.314
46.572107315,42.638,32.314
47.571887493,42.65,32.314
48.571668625,42.644,32.314
49.571448803,42.66,32.314
50.571229935,42.66,32.314
51.571011067,42.628,32.314
52.570791245,42.636,32.316
53.570572376,42.606,32.316
54.570352554,42.6,32.314
55.570133209,42.572,32.314
56.569913387,42.642,32.314
57.572168827,42.648,32.314
58.571949482,42.636,32.314
59.571729660,42.602,32.314
60.571509361,42.578,32.314
61.571289539,42.618,32.314
62.571070194,42.634,32.314
63.570849896,42.638,32.312
64.570630074,42.63,32.312
65.570409775,42.626,32.312
66.570189953,42.61,32.312
67.569969654,42.588,32.31
68.569749355,42.572,32.31
69.572003842,42.622,32.31
70.571783543,42.582,32.31
71.571563244,42.61,32.31
72.571342468,42.582,32.31
73.571122170,42.636,32.31
74.570901871,42.614,32.31
75.570681095,42.634,32.31
76.570459843,42.578,32.308
77.570239544,42.562,32.308
78.570018768,42.564,32.308
79.569797039,42.554,32.306
80.572050572,42.604,32.306
81.571829796,42.556,32.304
82.571608067,42.554,32.304
83.571386337,42.568,32.302
84.571164608,42.562,32.302
85.570942879,42.508,32.302
86.570721150,42.558,32.302
87.570499897,42.514,32.302
88.570277214,42.506,32.3
89.570055485,42.526,32.3
