Time (s),Humidity (%)
0.166398048,13.38281
1.167308807,12.00195
2.168219566,11.14355
3.166609287,13.70605
4.167520046,12.73633
5.168430328,12.66211
6.166820526,14.01758
7.167730808,13.00977
8.166121006,12.26367
9.167031288,12.28906
10.167942524,13.64453
11.166332722,12.07715
12.167243958,12.48828
13.168155670,13.45801
14.166545868,12.5625
15.167457581,12.50098
16.168368816,12.94824
17.166759491,12.05273
18.167671204,13.32227
19.166062832,13.22266
20.166975021,11.7168
21.167887211,13.34766
22.166278839,12.21484
23.167191505,11.97852
24.168104172,13.39746
25.166496277,13.02441
26.167409420,13.21094
27.168322563,12.53906
28.166714668,12.60156
29.167628288,12.55176
30.166020870,12.60156
31.166934490,12.68848
32.167848110,11.80566
33.166240692,11.63086
34.167154789,12.40332
35.168068409,11.94238
36.166461468,12.37793
37.167375088,12.9502
38.168289185,11.65625
39.166681767,11.60645
40.167595387,13.18652
41.165987968,12.22852
42.166902065,12.55273
43.167816162,12.01758
44.166208744,13.31152
45.167122364,12.35352
46.168035507,12.2666
47.166428089,10.63574
48.167342186,11.84277
49.168256283,12.36523
50.166647911,12.47754
51.167562008,11.56934
52.165954113,12.00488
53.166867733,12.76367
54.167780876,12.21582
55.166172981,12.76367
56.167086124,11.84277
57.167998791,11.84277
58.166390896,11.95508
59.167304039,13.32324
60.165695190,12.37793
61.166607857,12.46484
62.167520523,12.14063
63.165911675,13.16113
64.166824341,11.9043
65.167736054,12.56348
66.166127205,13.22266
67.167039394,13.12305
68.167951107,13.06152
69.166342258,13.22266
70.167254448,12.66309
71.165645123,11.90332
72.166556835,12.7373
73.167469025,13.58301
74.165858746,14.30469
75.166770458,11.74219
76.167682648,12.91113
77.166072369,12.98633
78.166984558,13.11035
79.167895794,12.12793
80.166285992,12.38867
81.167197704,13.4707
82.165587425,12.59961
83.166498661,12.93555
84.167410374,13.12207
85.165800571,12.87402
86.166711807,12.30176
87.167623043,12.88574
88.166012764,12.59961
89.166924953,13.15918
