Time (s),W,X,Y,Z
0.000000000,0.338367,0.03173209,-0.04988857,0.9373578
0.032775879,0.3381793,0.03180232,-0.05024021,0.9374045
0.068072319,0.3379831,0.03194785,-0.05068148,0.9374465
0.100847244,0.3379398,0.03202259,-0.05075932,0.9374554
0.133623123,0.3379579,0.03210147,-0.05081696,0.9374429
0.166398048,0.3379864,0.03200653,-0.0505865,0.9374484
0.201695442,0.3379728,0.03192033,-0.05044824,0.9374636
0.234470367,0.3379373,0.03187833,-0.05046238,0.9374771
0.267246246,0.3378737,0.03195998,-0.05066312,0.9374865
0.300021172,0.337879,0.0320525,-0.0506891,0.93748
0.332797051,0.3379251,0.03195249,-0.05051759,0.9374761
0.368093491,0.3378751,0.03193031,-0.05065715,0.9374874
0.400868416,0.3377997,0.03204393,-0.05089395,0.9374977
0.433644295,0.3377975,0.03191808,-0.05070583,0.9375131
0.466419220,0.3378686,0.03178815,-0.05042254,0.9375072
0.501716614,0.3379235,0.03172943,-0.05026425,0.9374979
0.534491539,0.3378812,0.03175359,-0.05024626,0.9375132
0.567267418,0.337824,0.03174704,-0.05028303,0.937532
0.600042343,0.3377682,0.0317167,-0.05035066,0.9375495
0.632817269,0.3377504,0.03177393,-0.05042086,0.9375502
0.668114662,0.3377676,0.03178727,-0.05041372,0.937544
0.700889588,0.337804,0.03176222,-0.05038103,0.9375335
0.733667374,0.3378055,0.03182947,-0.05048975,0.9375249
0.766440392,0.3377924,0.03184801,-0.0504965,0.9375286
0.801736832,0.3378036,0.03175641,-0.05033452,0.9375363
0.834512711,0.3378126,0.03174778,-0.05032805,0.9375338
0.867287636,0.3378107,0.03176415,-0.05036343,0.9375319
0.900063515,0.3378022,0.03179083,-0.05046976,0.9375284
0.932838440,0.3377965,0.03180564,-0.050455,0.9375307
0.968135834,0.337807,0.03185719,-0.05050771,0.9375225
1.000910759,0.3378268,0.03185346,-0.05050746,0.9375153
1.033686638,0.3377877,0.03181006,-0.0504283,0.9375352
1.066461563,0.3377775,0.03186642,-0.05052923,0.9375315
1.101758003,0.3377898,0.03191638,-0.05071389,0.9375154
1.134533882,0.3378602,0.03175128,-0.05043456,0.9375107
1.167308807,0.3379309,0.03176659,-0.05034178,0.9374897
1.200084686,0.3379722,0.03175867,-0.05022883,0.9374812
1.232859612,0.3379383,0.03177884,-0.05035821,0.9374858
1.268156529,0.3378544,0.03186021,-0.0504813,0.9375067
1.300931931,0.3378119,0.03191577,-0.05067021,0.93751
1.333707810,0.3377761,0.03194331,-0.0507747,0.9375162
1.366482735,0.3377738,0.03194708,-0.05078364,0.9375163
1.401779175,0.3377814,0.03196777,-0.05083108,0.9375104
1.434555054,0.3377827,0.03200325,-0.05086553,0.9375068
1.467329979,0.3377765,0.03200389,-0.05083319,0.9375108
1.500105858,0.3378195,0.03195108,-0.05068644,0.937505
1.532880783,0.3378735,0.03186927,-0.05048829,0.9374991
1.568177700,0.3379269,0.03185083,-0.05039404,0.9374855
1.600953102,0.337931,0.03182438,-0.05040523,0.9374843
1.633728027,0.3378918,0.03183933,-0.05047548,0.9374942
1.666503906,0.3378728,0.03187906,-0.05055411,0.9374955
1.699278832,0.3378596,0.03185057,-0.05060565,0.9374983
1.734575749,0.3378217,0.03185413,-0.05065834,0.9375091
1.767351151,0.3377644,0.03198279,-0.05091287,0.9375116
1.800127030,0.3377438,0.03191474,-0.05093247,0.9375202
1.832901955,0.3377733,0.031857,-0.05087335,0.9375148
1.868198395,0.3378335,0.0317734,-0.05062333,0.9375094
1.900974274,0.3378668,0.0316678,-0.05046066,0.9375098
1.933749199,0.3378655,0.03161341,-0.05047114,0.9375115
1.966525078,0.3376716,0.03056282,-0.05051193,0.937614
1.999300003,0.3365187,0.02558688,-0.04428666,0.9384918
2.034596920,0.3353633,0.01755287,-0.0299581,0.9396561
2.067372322,0.3344137,0.01000361,-0.01613672,0.9404439
2.100147724,0.3355627,0.005287785,-0.00221605,0.9402087
2.132923126,0.3455411,0.005259209,0.008527573,0.9365515
2.168219566,0.3666281,-0.001285406,0.05944944,0.9266474
2.200994968,0.3925617,-0.03286466,0.1612937,0.90301
2.233775139,0.4193487,-0.05887791,0.2414393,0.8712146
2.266545773,0.4509163,-0.07321538,0.2930545,0.8378906
2.299321175,0.4886695,-0.08582165,0.3306845,0.8006948
2.334618092,0.5357822,-0.1051231,0.3459303,0.7608195
2.367393017,0.5878132,-0.1362519,0.332081,0.7226762
2.400168896,0.6467699,-0.1463272,0.2688373,0.6961544
2.432944298,0.7020699,-0.1018154,0.1615059,0.6835735
