Time (s),Humidity (%)
0.988790989,13.6084
1.988618851,11.93555
2.988447189,13.68359
3.988275528,12.20898
4.988103867,13.23828
5.987932682,12.69336
6.987762451,12.95313
7.987591743,12.30957
8.987421989,12.28418
9.987251282,12.50781
10.987082005,12.28516
11.986912251,11.75195
12.989217758,12.81836
13.989048958,11.83887
14.988879681,11.87695
15.988711357,12.6709
16.988543034,12.80762
17.988374710,12.50977
18.988206387,12.80762
19.988038063,12.1748
20.987870693,11.93945
21.987702847,12.31152
22.987535000,12.05176
23.987368107,12.75879
24.987201214,11.7168
25.987034321,13.3291
26.986867905,13.77637
27.989176273,12.77246
28.989009857,13.52832
29.988843441,12.87109
30.988677025,11.8916
31.988511562,12.26367
32.988345623,12.79785
33.988179684,11.76758
34.988013744,11.17188
35.987848282,12.10254
36.987682343,12.56152
37.987516880,11.53223
38.987350941,11.03613
39.987185478,11.64355
40.987020016,11.99121
41.986853600,12.59863
42.989162445,10.96191
43.988996983,11.30859
44.988830566,12.52441
45.988664627,12.57422
46.988498688,11.69336
47.988332272,10.71289
48.988165379,11.66797
49.987998962,12.01563
50.987831593,12.27539
51.987664700,11.61816
52.987497807,11.09766
53.987330914,12.4248
54.987163067,10.86133
55.986995697,11.69238
56.986827850,11.55566
57.989134789,11.7168
58.988966465,11.85352
59.988798618,13.29199
60.988630295,10.06641
61.988461971,11.5918
62.988293171,11.34375
63.988124847,12.15039
64.987956047,11.0957
65.987786770,12.94336
66.987617970,12.54688
68.987278461,12.39746
69.987108707,10.9707
70.986938477,11.75195
71.986768246,11.21875
72.989071846,10.38672
73.988900661,11.3916
74.988729954,11.26758
75.988558292,11.06836
76.988386631,11.94922
77.988214970,11.03125
78.988042355,10.80762
79.987870216,10.41113
80.987697601,12.90332
81.987525463,12.30859
82.987352371,10.6582
83.987179279,11.04297
84.987005711,11.83594
85.986832619,11.6377
86.986659050,10.96777
87.988960743,11.86133
88.988786697,11.33984
89.988612652,12.46777
90.988439083,12.5918
91.988265514,11.93457
92.988090992,11.45117
93.987916946,11.93457
94.987742424,10.68164
95.987568378,11.66113
96.987393856,11.62402
97.987218857,10.32227
98.987043858,11.09082
99.986868858,12.29297
100.986693859,11.10352
101.988993645,11.64844
102.988818645,11.14063
103.988642693,11.89648
104.988467216,12.34277
105.988291264,12.26758
106.988115311,12.3418
107.987938881,12.00781
108.987762451,12.60254
109.987586021,11.57324
110.987409115,11.80859
111.987232208,12.40332
112.987055302,13.13477
113.986877441,13.10938
114.986700535,11.10156
115.986522675,11.34961
116.988819599,12.56348
117.988642216,13.19629
118.988464355,12.55176
119.988286972,11.77051
120.988108635,12.08008
121.987930775,11.47266
122.987752438,12.11719
123.987574100,12.66309
124.987395763,11.49707
125.987216949,11.57031
126.987037659,12.37598
127.986858845,12.69824
128.986680031,12.06641
129.986500263,12.28906
130.988795757,11.78125
131.988615990,11.76855
132.988436699,12.56152
133.988257408,12.70996
