Time (s),W,X,Y,Z
0.000000000,0.5924652,-0.5291926,-0.4168652,-0.4379398
0.034765720,0.5922133,-0.5290458,-0.4173163,-0.4380285
0.067047596,0.5915937,-0.5291389,-0.4182069,-0.4379036
0.101812840,0.5908604,-0.5292483,-0.4191339,-0.4378753
0.134095192,0.590887,-0.5293123,-0.4191884,-0.4377098
0.168860435,0.5911046,-0.5289377,-0.4191166,-0.4379373
0.201142311,0.5911822,-0.5283876,-0.4191212,-0.438492
0.233424663,0.5910679,-0.528193,-0.4194026,-0.4386116
0.268189907,0.5900764,-0.5287466,-0.4205848,-0.438147
0.300472259,0.5889077,-0.5295526,-0.4214166,-0.437947
0.335237503,0.5879274,-0.5311275,-0.4215961,-0.4371835
0.367519379,0.5863081,-0.5331572,-0.4226582,-0.4358599
0.402285099,0.5842267,-0.5357087,-0.4244276,-0.4338021
0.434566975,0.5819242,-0.5390267,-0.4265338,-0.4307101
0.466848850,0.5793141,-0.5421991,-0.4293322,-0.4274541
0.501614571,0.5756633,-0.5463354,-0.4333085,-0.4230848
0.533896446,0.5714195,-0.550793,-0.4377982,-0.4184104
0.568661690,0.5658937,-0.5566179,-0.4431654,-0.4125199
0.600944042,0.5605945,-0.5630229,-0.4474816,-0.4063582
0.635709286,0.5556754,-0.569257,-0.4518909,-0.3994917
0.667992115,0.5540881,-0.5711241,-0.4548448,-0.3956606
0.700273991,0.5526332,-0.5710806,-0.4584661,-0.3935734
0.735038757,0.5490969,-0.5710518,-0.4631172,-0.3931187
0.767321587,0.5450677,-0.5717693,-0.4666417,-0.3935152
0.802086830,0.5402543,-0.5726303,-0.4702184,-0.394642
0.834368229,0.5362666,-0.5739156,-0.4725173,-0.3954669
0.869134426,0.5342262,-0.5747465,-0.4735252,-0.3958163
0.901416302,0.5346158,-0.5745195,-0.4738288,-0.3952559
0.933698654,0.5357073,-0.5733652,-0.4743845,-0.3947876
0.968463898,0.5364187,-0.5716722,-0.4754639,-0.3949778
1.000745773,0.5368446,-0.5701551,-0.4762559,-0.3956375
1.035511494,0.5359505,-0.5692336,-0.4776276,-0.3965222
1.067793369,0.5331483,-0.5694017,-0.480252,-0.3968884
1.100075245,0.5288126,-0.5710841,-0.4838671,-0.3958792
1.134840965,0.5236079,-0.5739763,-0.4877673,-0.3938233
1.167122841,0.5184149,-0.5773053,-0.4917212,-0.3908997
1.201888084,0.5119882,-0.5814075,-0.4961813,-0.3876406
1.234170437,0.5043273,-0.5858271,-0.5012769,-0.3844603
1.268935680,0.4941558,-0.5929186,-0.5071623,-0.3790404
1.301218033,0.4845029,-0.6002188,-0.5125253,-0.3727463
1.333499908,0.4758385,-0.6066132,-0.5171927,-0.3670661
1.368265152,0.4684805,-0.6113999,-0.5214049,-0.3626029
1.400547504,0.4636484,-0.6144789,-0.5238388,-0.3600924
1.435312748,0.4611265,-0.6163658,-0.5246785,-0.3588812
1.467594623,0.4614698,-0.615959,-0.5249931,-0.3586783
1.502360344,0.4619009,-0.6153569,-0.5258895,-0.3578426
1.534642219,0.4615495,-0.6162612,-0.5270138,-0.3550754
1.566925049,0.4603489,-0.6181276,-0.5283561,-0.3513753
1.601689815,0.4591456,-0.6194109,-0.5306258,-0.3472455
1.633971691,0.4581974,-0.6198602,-0.5330951,-0.3438981
1.668737888,0.4566951,-0.620829,-0.5355052,-0.3403863
1.701019287,0.45413,-0.6221272,-0.5380099,-0.3374858
1.735784531,0.4497653,-0.6249892,-0.5411116,-0.3330548
1.768067360,0.4420062,-0.6310493,-0.5445173,-0.3263982
1.800349235,0.4312102,-0.6405461,-0.5479684,-0.3164126
1.835114002,0.4189426,-0.651637,-0.5512142,-0.3043797
1.867396831,0.4098447,-0.6599388,-0.5536045,-0.2943771
1.902162075,0.4018396,-0.6667781,-0.5557199,-0.2858931
1.934444427,0.3962861,-0.6719047,-0.5568343,-0.2794004
1.966726303,0.3924951,-0.6756042,-0.5572768,-0.2749125
2.001491547,0.3899845,-0.677663,-0.5577369,-0.2724745
2.033773899,0.3889426,-0.678246,-0.5581702,-0.2716239
2.068539143,0.3875387,-0.6784135,-0.559518,-0.2704373
2.100821018,0.3849743,-0.6788393,-0.5619795,-0.2679152
2.135586738,0.3804647,-0.6798296,-0.5661159,-0.2630946
2.167868614,0.3725927,-0.6826081,-0.5712977,-0.2558662
2.200150966,0.3592266,-0.6876919,-0.5786887,-0.2445061
2.234916210,0.3336784,-0.6958303,-0.5923998,-0.2239843
2.267198086,0.304037,-0.6967319,-0.6156669,-0.1992686
2.301963806,0.2632511,-0.6939522,-0.6474464,-0.1630025
2.334245682,0.2347313,-0.6881756,-0.6739042,-0.1174583
2.369010925,0.2063474,-0.6944948,-0.6823421,-0.07832508
2.401293278,0.1970391,-0.6985707,-0.6812958,-0.07508772
2.433575153,0.1895382,-0.7050651,-0.6764363,-0.07758852
2.468340397,0.1837578,-0.7130145,-0.6691298,-0.08207379
2.500622749,0.1798589,-0.7208792,-0.6614112,-0.08453847
