Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2721551,0.3317723,-0.3700406,-0.02697342,0.9908692,0.08701256,3.077838,-37.47013,2.500669,1007.752
0.034765720,1.449655,-0.07914713,-0.918507,-0.03226733,0.9792299,0.08405715,2.376255,-37.45089,3.383153,1007.752
0.067047596,3.556759,0.0969612,-0.918507,-0.03034974,0.9840534,0.07779575,2.388901,-37.80977,3.823496,1007.751
0.101812840,1.759523,0.3317723,-0.4309813,-0.03034732,0.9845521,0.08214952,2.388901,-37.80977,3.823496,1007.751
0.134095192,-0.9053444,0.2143668,-0.2481592,-0.03230862,0.9956737,0.08125012,3.500541,-37.44595,4.673788,1007.751
0.168860435,-1.711002,0.155664,-0.004396385,-0.03229124,0.9908589,0.08847428,2.751017,-37.44924,3.813365,1007.751
0.201142311,-0.8433707,0.3317723,0.05654432,-0.03130571,0.9845854,0.09278743,2.751017,-37.44924,3.813365,1007.751
0.233424663,2.813075,-0.1965527,-0.6138034,-0.04137178,0.945829,0.08872125,2.739032,-37.45487,3.377638,1007.751
0.268189907,4.796232,-0.3139583,0.117485,-0.04437283,0.9854782,0.08170158,2.751017,-37.44924,3.813365,1007.749
0.300472259,7.027284,0.03825843,2.006647,-0.03618072,0.9980904,0.08368939,2.751017,-37.44924,3.813365,1007.749
0.335237503,5.973732,-0.1378499,1.092536,-0.02399485,0.9565023,0.08197634,3.114455,-37.81774,3.812465,1007.749
0.367519379,11.73728,-0.900986,-0.1872185,-0.02498077,0.9627741,0.07717974,2.764325,-38.17264,4.258324,1007.749
0.402285099,16.32333,0.2730695,-1.588855,-0.02452979,0.9748573,0.07241309,3.125779,-37.44759,4.243576,1007.749
0.434566975,18.49241,-0.1965527,-2.685787,-0.0264882,0.9781722,0.05261518,3.125779,-37.44759,4.243576,1007.749
0.466848850,23.01649,-2.016339,-3.599898,-0.0298246,0.9573503,0.0515371,2.775649,-37.80248,4.689434,1007.749
0.501614571,29.46175,-2.955583,-4.63589,-0.03468411,0.9626122,0.03755777,2.800009,-37.06138,5.613902,1007.749
0.533896446,35.10136,-2.016339,-4.757771,-0.04100379,0.9673418,0.01052571,2.800009,-37.06138,5.613902,1007.749
0.568661690,36.96057,-1.781528,-3.843661,-0.04924846,0.9686832,-0.01507114,3.185044,-37.0549,6.417594,1007.749
0.600944042,41.17477,-2.368556,-4.026483,-0.02466159,0.9821301,-0.06629218,3.5951,-36.67184,8.15037,1007.749
0.635709286,23.6982,-3.601314,-7.25634,-0.03831023,1.02513,-0.0752036,3.5951,-36.67184,8.15037,1007.749
0.667992115,12.60491,1.799342,-10.42526,-0.06051648,1.007627,-0.08057309,3.257617,-37.38561,9.036571,1007.749
0.700273991,12.66689,5.438914,-6.707874,-0.0628823,0.9907317,-0.0661609,3.61841,-36.29605,9.017207,1007.751
0.735038757,16.94307,8.72627,-0.918507,-0.07794172,1.019232,-0.06838357,3.61841,-36.29605,9.017207,1007.751
0.767321587,13.22465,13.5399,1.519121,-0.05997388,0.9863714,-0.07005947,3.641719,-35.92027,9.884046,1007.751
0.802086830,13.72044,12.07233,4.444275,-0.04888831,0.995539,-0.08743503,3.290266,-35.54613,10.32067,1007.749
0.834368229,6.655442,8.197945,4.688038,-0.04029167,1.03177,-0.1133532,3.290266,-35.54613,10.32067,1007.749
0.866651058,4.734259,2.679883,-0.4309813,-0.03547214,1.025854,-0.1496552,3.314898,-35.89938,11.19674,1007.749
0.901416302,-4.251922,0.3904751,-5.245297,-0.04408582,0.9983482,-0.1193364,3.665689,-35.909,10.7555,1007.749
0.933698654,-3.942054,1.094908,-6.159408,-0.05564949,0.9789398,-0.1247396,3.665689,-35.909,10.7555,1007.749
0.968463898,-3.446265,1.799342,-4.148364,-0.05563156,0.9760821,-0.1112196,3.290266,-35.54613,10.32067,1007.749
1.000745773,-0.5954761,1.799342,-2.807669,-0.06820928,0.985308,-0.09131907,4.040452,-35.90735,11.18571,1007.747
1.035511494,4.672285,8.432756,0.5440699,-0.07930966,0.9785225,-0.08504903,4.040452,-35.90735,11.18571,1007.749
1.067793369,16.8811,7.610917,0.05654432,-0.0759472,0.9759963,-0.1193948,3.665689,-35.909,10.7555,1007.749
1.100075245,24.13201,7.082592,0.6050107,-0.06047746,0.9740704,-0.1295913,3.302913,-35.90501,10.76101,1007.749
1.134840965,26.0532,5.849833,2.128528,-0.05277607,0.9998455,-0.09852125,3.302913,-35.90501,10.76101,1007.749
1.167122841,29.5857,5.438914,-0.4309813,-0.05755895,0.9629107,-0.1407801,3.688337,-35.1687,11.61772,1007.751
1.201888084,33.36609,7.904431,2.920758,-0.0619425,0.9720519,-0.1528047,3.362178,-35.51232,12.93503,1007.752
1.234170437,42.16636,6.143347,3.10358,-0.08223988,0.9451647,-0.2157608,3.009402,-34.40915,13.36243,1007.752
1.268935680,51.77227,4.558372,4.688038,-0.04170219,0.9786671,-0.217108,3.009402,-34.40915,13.36243,1007.752
1.301218033,50.34688,2.445072,4.139572,-0.04891701,0.9465531,-0.2627183,2.68258,-34.38826,14.67512,1007.748
1.333499908,42.41425,1.094908,3.712987,-0.0741665,0.9699906,-0.322477,2.378407,-33.62707,16.85004,1007.748
