Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.408680916,43.32031,74.25,3.725625,258.125,0
1.287673950,43.30859,74.25,3.725,245.3125,0
2.342565060,43.29688,74.25,3.721875,260.9375,0
3.397234440,43.29688,74.34375,3.725,253.125,0
4.276386261,43.28516,74.34375,3.721875,255,0
5.330868244,43.27344,74.4375,3.72375,255.9375,0
6.385638237,43.26172,74.4375,3.726875,263.75,0
7.264626503,43.26172,74.4375,3.7275,247.5,0
8.319566727,43.24609,74.15625,3.723125,263.4375,0
9.374354362,43.23438,74.0625,3.723125,260.3125,0
10.253359318,43.22266,73.875,3.724375,258.4375,0
11.308163643,43.21094,73.6875,3.724375,265.3125,0
12.363502502,43.19922,73.78125,3.725,255.625,0
13.417927742,43.19922,73.6875,3.721875,252.5,0
14.296728611,43.1875,73.78125,3.725625,249.375,0
15.351560593,43.17578,73.6875,3.723125,264.6875,0
16.406553268,43.16406,73.6875,3.725,263.75,0
17.285523414,43.16406,73.59375,3.724375,263.4375,0
18.340305328,43.14844,73.40625,3.723125,262.8125,0
19.394824028,43.13672,73.3125,3.72375,308.125,0
20.273936271,43.125,73.125,3.7225,258.125,0
21.328546524,43.11328,73.125,3.723125,269.6875,0
22.383535385,43.10156,73.5,3.723125,253.4375,0
23.262336254,43.10156,73.3125,3.72125,308.75,0
24.317270279,43.08984,73.3125,3.724375,262.1875,0
25.372050762,43.07813,73.03125,3.724375,270.9375,0
26.251053333,43.06641,72.9375,3.72375,267.8125,0
27.305901050,43.06641,73.21875,3.724375,270,0
28.360766411,43.05078,73.21875,3.7225,259.6875,0
29.415517807,43.03906,73.21875,3.725,254.0625,0
30.294470310,43.02734,73.3125,3.720625,257.8125,0
31.349504471,43.01563,73.21875,3.725625,260.625,0
32.404052257,43.01563,73.3125,3.725,257.8125,0
33.283358574,43.00391,73.3125,3.72375,252.8125,0
34.337875843,42.99219,73.3125,3.724375,249.375,0
35.392486572,42.98047,73.40625,3.7225,261.25,0
36.271451473,42.96875,73.40625,3.721875,243.4375,0
37.326261997,42.96875,73.5,3.7225,250.625,0
38.381212234,42.95313,73.5,3.723125,256.875,0
