Time (s),Humidity (%)
0.777638912,12.11816
1.777434349,12.01953
2.777230263,12.17969
3.779500961,12.88477
4.779297352,11.54883
5.779093742,11.51172
6.778890133,11.42578
7.778686523,11.20313
8.778482914,12.79883
9.778279781,12.37891
10.778076172,11.24023
11.777872562,11.35156
12.777668953,11.64746
13.777464867,10.99121
14.777261257,11.80762
15.779532433,10.78125
16.779328823,12.19141
17.779124260,11.74609
18.778920650,12.30273
19.778716564,11.94434
20.778512001,10.9541
21.778306961,12.24023
22.778102875,10.19824
23.777896881,11.88086
24.777692318,11.04004
25.777486324,11.04004
26.777281284,12.53711
27.779550552,10.65625
28.779344559,11.55957
29.779138565,11.94336
30.778932571,11.48535
31.778726578,10.4707
32.778520107,12.63574
33.778313637,11.53516
34.778107643,12.53613
35.777901173,11.80664
36.777694225,11.25
37.777487755,12.59863
38.777280807,11.59668
39.777074337,12.98145
41.779135227,12.30078
42.778928280,11.52148
43.778721809,12.77051
44.778514862,11.86816
45.778306961,10.87891
46.778100014,11.31152
47.777893066,12.20215
48.777686119,11.74414
49.777478218,12.58496
50.777270794,11.5459
51.777062893,12.45996
52.779330254,11.19922
53.779122353,11.08789
54.778914928,11.97852
55.778706551,12.48535
56.778498650,11.69434
57.778290272,11.63184
58.778081894,13.11523
59.777873516,12.16406
60.777664661,11.80469
61.777456284,12.15137
62.777247429,12.42285
63.777038574,12.27441
64.779303551,12.12598
65.779094219,12.38574
66.778884888,11.74219
67.778674602,12.08887
68.778464794,12.27441
69.778254509,12.38574
70.778044224,12.39746
71.777832985,12.05078
72.777622223,11.20996
73.777410984,12.8418
74.777200222,12.8291
75.776988506,12.66797
76.779252052,11.81543
77.779040337,11.04883
78.778828621,12.13672
79.778616428,11.46875
80.778404236,12.0127
81.778191566,11.20801
82.777978897,11.55371
83.777766228,12.67871
84.777552605,11.21973
85.777339935,10.99707
86.777126789,10.98438
87.776913166,12.2334
88.779173851,11.4668
89.778960228,12.02344
90.778746605,11.0957
91.778532505,10.66309
92.778317928,10.21777
93.778103828,11.55273
94.777889252,12.05957
95.777674198,10.71191
96.777459621,11.83691
97.777244568,11.36719
98.777029514,12.08398
99.779288292,11.37891
100.779073238,11.84863
101.778857231,11.18066
102.778641224,10.71094
103.778425217,12.24414
104.778208733,12.00879
105.777992248,12.66406
106.777776241,11.04492
107.777559280,11.00781
108.777342796,12.37891
109.777125835,12.50195
110.776907921,12.00781
111.779165745,12.28027
112.778948784,13.00879
113.778730869,12.30469
114.778513908,13.00879
115.778296471,12.42773
116.778078556,11.47559
117.777860641,12.00684
118.777642727,11.57422
119.777424335,10.70898
120.777205944,12.82129
121.776987553,11.57324
122.776768684,11.90723
123.779025078,12.27832
124.778806686,12.16699
125.778587818,11.62305
126.778368950,12.84668
127.778149605,12.22852
128.777930736,12.24121
129.777710915,12.56152
130.777492046,11.87012
131.777272224,12.00586
132.777052879,12.27734
133.776833057,11.3877
134.779088020,12.40039
135.778867722,13.87012
136.778647423,13.09277
137.778427124,11.79492
138.778206825,11.90625
139.777986526,13.04297
140.777766228,13.11621
141.777544975,12.56055
142.777324200,11.86914
143.777102947,13.11621
144.776882172,13.93164
145.779135704,12.39941
146.778913975,12.74512
147.778692245,11.75684
148.778470516,11.48438
149.778249264,12.39844
150.778026581,11.78027
151.777804375,13.18848
152.777582169,10.95215
153.777359962,11.43457
154.777137279,11.1748
155.776914597,11.69434
156.776691914,13.04004
157.778943539,12.26172
158.778721332,12.57129
159.778498173,12.64453
160.778275490,12.04004
161.778052330,12.28711
162.777829170,12.63281
163.777605534,11.4834
164.777382851,13.07715
165.777159691,12.24902
166.776936054,11.39648
167.776712418,12.10059
168.778963566,12.52051
169.778739929,13.28613
170.778516293,13.45898
172.778068066,13.52051
173.777844429,10.85254
174.777619839,10.98828
175.777395248,11.3584
176.777170658,12.58105
177.776945591,11.62988
178.776720524,12.81543
179.778970241,11.6543
180.778745174,12.39551
181.778520584,12.64258
182.778295517,11.54395
183.778070450,12.44531
184.777845383,11.32129
186.777394772,12.39551
187.777169704,12.33398
188.776944637,12.35938
189.776719570,13.60547
190.778969288,11.24707
191.778744221,12.25977
192.778518677,11.56836
193.778293133,12.28418
194.778067589,12.72852
195.777842522,12.23535
196.777616501,11.96289
197.777390480,13.02539
198.777164936,12.91406
199.776938915,12.79102
200.776712894,12.54297
201.776486874,12.07422
202.778735161,12.22266
203.778509617,13.25977
204.778283596,12.33398
205.778057098,12.60547
206.777830601,12.22266
207.777604580,12.2959
208.777378559,13.0498
209.777152538,13.77734
210.776926041,12.87598
211.776699543,12.61719
212.776473522,12.46875
213.778721809,12.02441
214.778495312,13.27148
215.778268814,12.74023
216.778042793,12.16016
217.777816296,12.20996
218.777590752,12.22266
219.777364254,12.61719
220.777138710,12.7168
221.776912212,12.06152
222.776686668,12.6543
223.776461124,11.23438
224.778709888,13.79004
225.778484344,12.08691
226.778258800,13.46973
227.778033256,12.24707
228.777807236,12.00098
229.777582169,11.75391
230.777357578,12.33398
