Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.207670212,53.08594,91.21875,3.78125,248.125,0
1.086620808,53.07422,90.9375,3.78,269.375,0
2.141464710,53.0625,91.125,3.781875,246.875,0
3.196431160,53.0625,90.9375,3.780625,251.875,0
4.075194359,53.05078,91.125,3.78125,255.9375,0
5.130418777,53.03906,91.125,3.775,262.8125,0
6.184806824,53.02734,91.21875,3.780625,253.4375,0
7.239446640,53.01172,91.21875,3.78,263.125,0
8.118432999,53.01172,91.21875,3.778125,249.6875,0
9.173396111,53,91.125,3.77875,265,0
10.228067398,52.98828,91.40625,3.77875,254.6875,0
11.107226372,52.97656,91.21875,3.779375,261.5625,0
12.161809444,52.97656,91.21875,3.776875,266.875,0
13.216743469,52.96484,91.21875,3.78125,256.5625,0
14.095649242,52.95313,91.03125,3.7775,271.5625,0
15.150538921,52.94141,91.03125,3.77875,280,0
16.205338478,52.92969,90.9375,3.78,261.25,0
17.084333420,52.92969,90.65625,3.778125,258.75,0
18.139093399,52.91406,90.5625,3.778125,263.75,0
19.193761349,52.90234,90.46875,3.78,270.3125,0
20.073330879,52.89063,90.5625,3.77875,255.625,0
21.127542019,52.87891,90.375,3.77875,269.0625,0
22.182353497,52.87891,90.375,3.78,258.75,0
23.237346172,52.86719,90.1875,3.780625,273.75,0
24.116351604,52.85547,90.28125,3.77875,256.875,0
25.170964718,52.84375,90.1875,3.778125,263.125,0
26.225779533,52.83203,90.28125,3.78,252.5,0
27.104753971,52.83203,90.375,3.775625,267.1875,0
28.159655571,52.81641,90.28125,3.779375,255.625,0
29.214477062,52.80469,90.28125,3.77625,257.1875,0
30.093312740,52.79297,90.1875,3.77875,276.5625,0
31.148235321,52.79297,90.28125,3.77625,261.25,0
32.203037262,52.78125,90.375,3.78,247.5,0
33.082012653,52.76953,90,3.776875,279.6875,0
34.136826515,52.75781,90.1875,3.778125,254.6875,0
35.191739082,52.74609,90.28125,3.78,249.6875,0
36.247177601,52.73438,90.09375,3.77875,254.0625,0
37.125383377,52.73438,90,3.7775,251.5625,0
38.180076122,52.71875,90,3.779375,250.9375,0
39.235260487,52.70703,90.09375,3.779375,250.625,0
40.113888264,52.69531,90.09375,3.77875,265.9375,0
41.168931961,52.69531,89.90625,3.78,254.6875,0
42.223421574,52.68359,90,3.7725,243.4375,0
43.102579117,52.67188,89.90625,3.77625,255.9375,0
44.157237530,52.66016,89.8125,3.778125,260.3125,0
45.212139607,52.64844,90,3.7775,256.5625,0
46.091003418,52.64844,89.8125,3.7775,259.375,0
47.145944595,52.63672,89.8125,3.776875,258.75,0
48.200756550,52.62109,90,3.77625,266.25,0
49.079744816,52.60938,90,3.77875,259.6875,0
50.134587288,52.59766,90.09375,3.7775,263.4375,0
51.189250469,52.59766,89.8125,3.778125,259.6875,0
52.244146347,52.58594,90,3.77875,251.875,0
53.123033524,52.57422,90.09375,3.776875,260,0
54.178133488,52.5625,90,3.7775,255.9375,0
55.232938767,52.55078,90.09375,3.778125,264.0625,0
56.112025738,52.55078,90.09375,3.779375,251.25,0
57.166608810,52.53906,90.09375,3.77625,252.1875,0
58.221178055,52.52344,90.1875,3.776875,260.9375,0
59.100149632,52.51172,90.28125,3.778125,273.125,0
60.154967785,52.51172,90.28125,3.779375,248.125,0
61.209870815,52.5,90,3.778125,255,0
62.088880539,52.48828,89.90625,3.776875,251.5625,0
63.143643379,52.47656,89.90625,3.77875,252.1875,0
64.198435307,52.46484,90.1875,3.775,279.6875,0
65.077456951,52.46484,89.8125,3.778125,250.3125,0
66.132207871,52.45313,90.09375,3.776875,259.0625,0
67.187056065,52.44141,90.09375,3.77625,263.4375,0
68.242088318,52.42578,89.8125,3.774375,259.375,0
69.120989323,52.42578,90.09375,3.77875,259.0625,0
70.176050186,52.41406,90.09375,3.775625,251.25,0
71.230524540,52.40234,89.90625,3.778125,262.1875,0
72.109683514,52.39063,89.90625,3.77,257.8125,0
73.164200306,52.37891,90,3.775,261.25,0
74.218849659,52.36719,89.90625,3.7775,248.4375,0
75.097886562,52.36719,89.90625,3.775,271.25,0
76.152770519,52.35547,89.71875,3.776875,255.625,0
77.207573414,52.34375,89.90625,3.775,262.1875,0
78.086604595,52.32813,89.90625,3.775,279.375,0
79.141389370,52.32813,89.625,3.775,253.125,0
80.196136951,52.31641,89.25,3.778125,267.8125,0
82.129971504,52.29297,89.34375,3.77625,260.3125,0
83.184730053,52.28125,89.25,3.774375,258.4375,0
84.239691258,52.28125,89.0625,3.77375,271.875,0
85.118818760,52.26953,89.25,3.774375,250.3125,0
86.173478127,52.25781,89.0625,3.775,259.375,0
87.228110790,52.24609,89.25,3.774375,262.1875,0
88.106980801,52.23047,89.0625,3.775,262.5,0
89.161780357,52.21875,89.34375,3.77375,260,0
90.216696739,52.21875,89.34375,3.7775,241.5625,0
91.095539570,52.20703,89.53125,3.77625,266.875,0
92.150436401,52.19531,89.34375,3.775,256.5625,0
93.205290794,52.18359,89.34375,3.774375,267.5,0
94.084314823,52.18359,89.34375,3.775,252.8125,0
95.139047146,52.17188,89.34375,3.774375,275.625,0
96.193717003,52.16016,89.34375,3.776875,251.875,0
97.072841167,52.14844,89.4375,3.7725,266.25,0
98.127498150,52.13281,89.625,3.774375,251.25,0
99.182625771,52.13281,89.71875,3.775,251.875,0
100.237477779,52.12109,89.25,3.77625,252.8125,0
101.116209984,52.10938,89.25,3.771875,266.875,0
102.170902252,52.09766,89.53125,3.776875,257.8125,0
103.225738049,52.08594,89.4375,3.7725,257.5,0
104.104721069,52.08594,89.4375,3.77625,254.6875,0
105.159738064,52.07422,89.4375,3.773125,259.6875,0
106.214440823,52.0625,89.4375,3.77375,262.5,0
107.093459606,52.05078,89.34375,3.773125,266.875,0
108.148187637,52.05078,89.15625,3.775,256.25,0
109.203026772,52.03516,89.34375,3.775,245.3125,0
110.082019329,52.02344,89.4375,3.77625,249.0625,0
111.136647224,52.01172,89.4375,3.775,251.875,0
112.191484928,52,89.4375,3.773125,260.3125,0
113.246802330,52,89.25,3.775625,248.4375,0
114.125564575,51.98828,89.25,3.77125,265.9375,0
115.180450439,51.97656,89.25,3.774375,245.9375,0
116.234957695,51.96484,88.875,3.775,306.5625,0
117.113812923,51.95313,88.96875,3.775,255.625,0
118.168614864,51.95313,88.96875,3.7725,268.75,0
119.223543167,51.9375,89.0625,3.771875,262.5,0
120.102380276,51.92578,88.96875,3.77125,258.125,0
121.157337666,51.91406,88.96875,3.773125,264.6875,0
122.212136269,51.90234,88.78125,3.773125,264.375,0
123.091139793,51.90234,88.78125,3.77375,271.875,0
124.145938396,51.89063,88.59375,3.77125,267.1875,0
125.200723648,51.87891,88.59375,3.773125,250,0
126.079594135,51.86719,88.5,3.773125,285,0
127.134722710,51.85547,88.40625,3.773125,266.875,0
128.189751625,51.85547,88.5,3.775,251.25,0
129.244065285,51.83984,88.5,3.773125,257.5,0
130.122911930,51.82813,88.59375,3.77375,254.6875,0
131.177893162,51.81641,88.59375,3.771875,259.6875,0
132.232511044,51.80469,88.78125,3.77125,257.5,0
133.111558914,51.80469,88.78125,3.771875,250.3125,0
134.166473389,51.79297,88.3125,3.773125,272.5,0
135.221302033,51.78125,88.5,3.77125,259.375,0
136.100261688,51.76953,88.40625,3.770625,265.3125,0
137.155030727,51.76953,88.59375,3.774375,258.125,0
138.209756374,51.75781,88.59375,3.773125,265.625,0
139.088881969,51.74219,88.6875,3.774375,250,0
140.143637657,51.73047,88.59375,3.7725,271.25,0
141.198638439,51.71875,88.78125,3.773125,255.9375,0
142.077627182,51.71875,88.59375,3.773125,251.25,0
143.132631779,51.70703,88.78125,3.770625,269.0625,0
144.187021256,51.69531,88.59375,3.77,268.75,0
145.241698265,51.68359,88.78125,3.773125,287.1875,0
146.120646000,51.68359,88.78125,3.771875,255.625,0
147.175420761,51.67188,88.59375,3.77125,272.8125,0
148.230341911,51.66016,88.78125,3.773125,254.0625,0
149.109360218,51.64453,88.6875,3.77,271.875,0
150.164186955,51.63281,88.78125,3.77125,260.9375,0
151.218949318,51.63281,88.78125,3.773125,250.3125,0
152.097920895,51.62109,88.78125,3.77125,252.1875,0
153.152849674,51.60938,88.78125,3.7725,250,0
154.207595348,51.59766,88.96875,3.77,244.6875,0
155.086551666,51.58594,88.6875,3.770625,303.125,0
156.141550541,51.58594,88.59375,3.773125,256.25,0
157.196202278,51.57422,88.6875,3.77375,251.5625,0
158.075543404,51.5625,88.78125,3.773125,250.625,0
159.129984379,51.54688,88.78125,3.771875,253.125,0
160.184566975,51.53516,88.78125,3.77125,260.9375,0
161.239467621,51.53516,88.5,3.77,269.6875,0
162.118361950,51.52344,88.40625,3.773125,262.5,0
163.173260689,51.51172,88.5,3.773125,246.5625,0
164.228045940,51.5,88.5,3.77,265.9375,0
165.107012272,51.5,88.5,3.7725,250.9375,0
166.161903381,51.48828,88.125,3.769375,268.125,0
167.216517448,51.47656,88.21875,3.76875,250.9375,0
168.095953465,51.46484,88.21875,3.77,254.0625,0
169.150508404,51.44922,87.9375,3.77,260.625,0
170.205338955,51.4375,87.84375,3.77,276.875,0
171.084285736,51.4375,87.75,3.77125,251.875,0
172.139121056,51.42578,87.84375,3.76875,263.75,0
173.193704128,51.41406,87.84375,3.768125,256.25,0
174.072837830,51.40234,87.9375,3.770625,259.6875,0
175.127507210,51.40234,87.9375,3.770625,261.875,0
176.182402611,51.39063,87.84375,3.77,276.25,0
177.237248898,51.37891,87.9375,3.77125,257.8125,0
178.116203308,51.36719,87.9375,3.770625,270.625,0
179.170972824,51.35156,87.9375,3.770625,266.25,0
180.225688458,51.35156,88.03125,3.77125,249.6875,0
181.104678154,51.33984,87.9375,3.76875,253.125,0
182.159446240,51.32813,87.84375,3.77,249.375,0
183.214389324,51.31641,87.84375,3.768125,258.125,0
184.093233585,51.31641,87.75,3.77,275,0
185.148265839,51.30469,88.125,3.77,267.1875,0
186.202895641,51.29297,87.9375,3.76875,248.75,0
187.082029343,51.28125,88.125,3.768125,250.9375,0
188.136650562,51.26953,88.125,3.770625,259.375,0
189.191564560,51.26953,87.9375,3.7675,280.9375,0
190.246304989,51.25391,87.75,3.77,257.5,0
191.125343800,51.24219,87.75,3.768125,261.5625,0
192.180153847,51.23047,87.65625,3.768125,253.75,0
193.235332966,51.21875,87.75,3.77125,254.0625,0
194.114234924,51.21875,87.75,3.768125,251.875,0
195.169360638,51.20703,87.75,3.77,266.5625,0
196.223629952,51.19531,87.65625,3.770625,254.0625,0
197.102345467,51.18359,87.46875,3.76875,267.8125,0
198.157307625,51.17188,87.375,3.76875,253.75,0
199.212067604,51.17188,87.375,3.770625,268.4375,0
200.091237545,51.15625,87.5625,3.7675,250,0
201.145732880,51.14453,87.65625,3.7675,260,0
202.200663090,51.13281,87.5625,3.76875,260.9375,0
203.079536438,51.13281,87.46875,3.77,255,0
204.134477615,51.12109,87.46875,3.77,254.375,0
205.189238548,51.10938,87.375,3.77,249.375,0
206.243882179,51.09766,87.5625,3.77,265,0
207.123035431,51.08594,87.46875,3.769375,253.75,0
208.178287029,51.07422,87.5625,3.7675,272.5,0
209.232765675,51.07422,87.5625,3.76875,251.875,0
210.111773491,51.05859,87.75,3.768125,260.3125,0
211.166266441,51.04688,87.46875,3.76875,260.625,0
212.221107483,51.03516,87.375,3.768125,270.625,0
213.100224018,51.03516,87.1875,3.7675,250.3125,0
214.154902935,51.02344,87.375,3.769375,255,0
215.209797859,51.01172,87.46875,3.766875,251.875,0
216.088664532,51,87.65625,3.768125,254.0625,0
217.143540859,50.98828,87.65625,3.77,249.375,0
218.198334217,50.97656,87.75,3.76875,264.6875,0
219.077334404,50.97656,87.65625,3.7675,260,0
220.132157326,50.96094,87.46875,3.761875,281.25,0
221.186973095,50.94922,87.375,3.76875,255,0
222.241904259,50.9375,87.375,3.76875,250,0
223.121205807,50.9375,87.46875,3.770625,253.75,0
224.175692081,50.92578,87.5625,3.76875,267.1875,0
225.230378628,50.91406,87.46875,3.766875,253.75,0
226.109179497,50.90234,87.46875,3.7675,269.6875,0
227.163961887,50.89063,87.5625,3.766875,259.375,0
228.218945503,50.89063,87.375,3.768125,265,0
229.097803593,50.87891,87.5625,3.7675,249.375,0
230.152683735,50.86328,87.46875,3.7675,253.4375,0
231.207489967,50.85156,87.65625,3.76875,252.8125,0
232.086549759,50.85156,87.28125,3.768125,267.1875,0
233.141263008,50.83984,87.09375,3.76625,261.5625,0
234.196132183,50.82813,86.90625,3.766875,256.25,0
235.075091839,50.81641,87.09375,3.7675,264.0625,0
236.130126476,50.80469,86.90625,3.7675,252.8125,0
237.184819222,50.79297,87.09375,3.7675,257.5,0
238.239479542,50.79297,87.09375,3.765625,250.9375,0
239.118573189,50.78125,87.1875,3.766875,258.4375,0
240.173098564,50.76563,87,3.765,255.625,0
241.228009701,50.75391,87.1875,3.763125,262.5,0
242.106902123,50.75391,86.90625,3.764375,257.5,0
243.161824703,50.74219,87.1875,3.76625,252.1875,0
