Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.602741718,68.99219,114.5625,3.890625,254.375,0
1.481749535,68.99219,114.5625,3.890625,255.625,0
2.536357403,68.98047,114.5625,3.89375,247.1875,0
3.591525078,68.96875,114.375,3.8925,265.9375,0
4.470348835,68.95703,114.1875,3.894375,251.5625,0
5.525703430,68.94531,114.1875,3.89,277.5,0
6.580142975,68.92969,114.28125,3.891875,251.875,0
7.634911060,68.91797,114.28125,3.89125,255.9375,0
8.513910771,68.91797,114.375,3.890625,253.125,0
9.568638802,68.90625,114.375,3.891875,254.0625,0
10.623784542,68.89453,114.28125,3.893125,265,0
11.502802372,68.88281,114.28125,3.891875,277.1875,0
12.557726860,68.87109,114.46875,3.89125,255.3125,0
13.612038613,68.87109,114.46875,3.890625,262.8125,0
14.491014958,68.85938,114.28125,3.891875,250.3125,0
15.545855045,68.84766,114.28125,3.891875,257.8125,0
16.600722313,68.83203,114.46875,3.89125,262.5,0
17.479501248,68.82031,114.09375,3.890625,271.875,0
18.534667015,68.82031,114.28125,3.889375,251.5625,0
19.589165688,68.80859,114.09375,3.891875,252.5,0
20.468153477,68.79688,114.1875,3.89125,244.0625,0
21.523019314,68.78516,114.1875,3.888125,255.9375,0
22.577654362,68.77344,114.28125,3.889375,276.5625,0
23.632693291,68.76172,114.28125,3.891875,265.9375,0
24.511462212,68.76172,114.09375,3.88875,273.75,0
25.566593170,68.75,113.90625,3.8875,276.25,0
26.621095657,68.73438,113.90625,3.891875,262.8125,0
27.500122070,68.72266,113.90625,3.89125,261.875,0
28.554869175,68.71094,114,3.89125,253.4375,0
29.609530926,68.71094,114,3.88875,281.875,0
30.488536835,68.69922,114.1875,3.890625,258.4375,0
31.543550968,68.6875,114.09375,3.888125,255,0
32.598488331,68.67578,114.1875,3.89125,247.5,0
33.477312565,68.66406,114.1875,3.89,257.1875,0
34.532181740,68.66406,114,3.89,268.4375,0
35.586794853,68.65234,114,3.89125,260.3125,0
36.465799332,68.63672,114.09375,3.888125,258.125,0
37.520611763,68.625,114.28125,3.889375,251.5625,0
38.575550556,68.61328,114.1875,3.89,259.375,0
39.630262375,68.60156,114,3.889375,279.6875,0
40.509241581,68.60156,113.8125,3.88875,268.4375,0
41.564013481,68.58984,114,3.888125,269.375,0
42.618782997,68.57813,113.90625,3.886875,266.5625,0
43.497817040,68.56641,114,3.888125,275.3125,0
44.552433491,68.55469,114.09375,3.88875,255.9375,0
45.607396603,68.55469,113.90625,3.889375,265.3125,0
46.486565590,68.53906,113.90625,3.889375,250.9375,0
47.541323662,68.52734,114,3.888125,270,0
48.595921993,68.51563,113.90625,3.89,260.9375,0
49.474923611,68.50391,113.90625,3.89,258.125,0
50.530043602,68.50391,113.90625,3.889375,257.1875,0
51.584475517,68.49219,113.8125,3.889375,261.25,0
52.463416100,68.48047,113.71875,3.88875,259.6875,0
53.518436909,68.46875,113.71875,3.889375,258.125,0
54.573228359,68.45703,113.71875,3.889375,267.5,0
55.627942562,68.44141,113.4375,3.889375,254.375,0
56.506962299,68.44141,113.4375,3.88625,273.4375,0
58.616481781,68.41797,113.53125,3.884375,269.6875,0
59.495478153,68.40625,113.34375,3.888125,268.75,0
60.550423622,68.39453,113.34375,3.89,255.3125,0
61.605048657,68.38281,113.34375,3.888125,268.4375,0
62.484041691,68.38281,113.34375,3.888125,264.6875,0
63.538930416,68.37109,113.53125,3.886875,270,0
64.594327927,68.35938,113.34375,3.888125,252.5,0
65.472849369,68.34375,113.4375,3.8875,257.1875,0
66.527441502,68.33203,113.4375,3.888125,267.1875,0
67.582216263,68.33203,113.4375,3.88875,265.625,0
68.461233616,68.32031,113.4375,3.885625,252.5,0
69.515839100,68.30859,113.4375,3.889375,258.4375,0
70.570836544,68.29688,113.53125,3.8875,262.1875,0
71.625492096,68.28516,113.4375,3.8875,253.4375,0
72.504559517,68.28516,113.4375,3.886875,259.375,0
73.559570789,68.27344,113.4375,3.889375,259.6875,0
74.614299774,68.26172,113.34375,3.888125,275.3125,0
75.493296147,68.24609,113.4375,3.885,261.5625,0
76.548037529,68.23438,113.4375,3.886875,253.75,0
77.603302956,68.23438,113.34375,3.88625,256.5625,0
78.482237339,68.22266,113.34375,3.8875,249.6875,0
79.536621094,68.21094,113.4375,3.88625,261.875,0
80.591421604,68.19922,113.34375,3.88625,252.1875,0
81.470400334,68.1875,113.53125,3.89,270.9375,0
82.525003433,68.1875,113.53125,3.88625,275,0
83.579765320,68.17578,113.34375,3.88625,273.75,0
84.459033966,68.16406,113.34375,3.885,265.9375,0
85.513653755,68.14844,113.25,3.88625,259.375,0
86.568605900,68.13672,113.15625,3.8875,250.625,0
87.623445988,68.125,113.15625,3.885625,265.625,0
88.502491474,68.125,113.15625,3.8875,272.5,0
89.557098866,68.11328,113.15625,3.8875,254.375,0
90.612213612,68.10156,113.25,3.88625,261.875,0
91.491296291,68.08984,113.25,3.885625,258.4375,0
