Time (s),W,X,Y,Z
0.022393703,-0.7846261,-0.2146955,-0.2176248,0.5362228
0.057041645,-0.7845786,-0.2146949,-0.2176468,0.5362835
0.089214802,-0.7845883,-0.2146157,-0.2176589,0.5362963
0.123862743,-0.7845644,-0.2146106,-0.2176958,0.5363182
0.156035900,-0.784482,-0.2146837,-0.217795,0.5363694
0.188209057,-0.7844387,-0.2146569,-0.2178107,0.5364371
0.222852707,-0.7844214,-0.2146177,-0.2177932,0.5364849
0.255025387,-0.7843495,-0.2145171,-0.2177893,0.536632
0.289673328,-0.7842712,-0.214485,-0.2178565,0.5367318
0.321846485,-0.7842159,-0.2145,-0.2179212,0.5367803
0.356494427,-0.7841066,-0.2144717,-0.2180152,0.5369133
0.388667584,-0.7840388,-0.2145134,-0.2181299,0.5369489
0.423311234,-0.7841081,-0.2144645,-0.2181049,0.5368773
0.455484867,-0.7840356,-0.2143758,-0.2181463,0.5370021
0.490132332,-0.783853,-0.214553,-0.2183909,0.5370983
0.522305012,-0.7837662,-0.2146235,-0.2185253,0.5371423
0.556952953,-0.7836773,-0.2145191,-0.2185547,0.5373015
0.589126110,-0.7836999,-0.2143954,-0.2185282,0.5373288
0.623770237,-0.783691,-0.214405,-0.2185346,0.5373353
0.655943394,-0.7836159,-0.2144833,-0.2186005,0.5373868
0.688116551,-0.7835131,-0.2145788,-0.2187128,0.5374528
0.722764492,-0.7834659,-0.2145279,-0.2187523,0.537526
0.754936695,-0.7834843,-0.2144872,-0.2187708,0.5375079
0.789585591,-0.7833871,-0.2145321,-0.218879,0.5375876
0.821753979,-0.78326,-0.2146714,-0.2190477,0.5376483
0.856401921,-0.7833619,-0.2147127,-0.2189946,0.5375051
0.888575077,-0.7834786,-0.2146571,-0.2189142,0.5373899
0.923223019,-0.7835352,-0.2147273,-0.2189153,0.5372788
0.955396175,-0.7836052,-0.2148156,-0.2189543,0.5371258
0.990044117,-0.7836291,-0.2147742,-0.2189409,0.5371128
1.022213459,-0.7836547,-0.2147233,-0.218919,0.5371044
1.056860924,-0.7837068,-0.21473,-0.2188697,0.5370461
1.089033604,-0.7837769,-0.2147684,-0.2188366,0.5369418
1.123681545,-0.7838365,-0.2148524,-0.2188186,0.5368285
1.155854702,-0.7839032,-0.2147842,-0.2187069,0.536804
1.190502644,-0.7840272,-0.2148255,-0.2186279,0.5366387
1.222671986,-0.7841042,-0.2148357,-0.2185037,0.5365726
1.254845142,-0.7840945,-0.2147117,-0.2183852,0.5366845
1.289493084,-0.7840664,-0.2147466,-0.218391,0.5367094
1.321665287,-0.7839815,-0.2149077,-0.2184864,0.5367299
1.356314182,-0.7839983,-0.2149269,-0.2184307,0.5367206
1.388486385,-0.7840641,-0.2147731,-0.2182719,0.5367506
1.423130512,-0.7841198,-0.2146649,-0.218121,0.5367737
1.455303669,-0.7841447,-0.2146905,-0.2180653,0.53675
1.489951611,-0.784164,-0.2148105,-0.2180395,0.5366841
1.522124767,-0.7842039,-0.2148797,-0.2179901,0.5366181
1.556772709,-0.7843263,-0.2148453,-0.2178508,0.5365095
1.588945866,-0.7844126,-0.21485,-0.2178032,0.536401
1.623589516,-0.7844333,-0.2149515,-0.2177958,0.5363327
1.655762196,-0.7844673,-0.2149491,-0.2177532,0.5363013
1.690410137,-0.7844611,-0.2148703,-0.2176675,0.5363767
1.722583294,-0.7844897,-0.2149147,-0.2176392,0.5363289
1.757231236,-0.7845367,-0.2150323,-0.2176093,0.5362248
1.789404392,-0.7846504,-0.215049,-0.2175299,0.5360839
1.821573734,-0.7847316,-0.2150294,-0.2174048,0.536024
1.856221676,-0.7847982,-0.2150308,-0.2173354,0.535954
1.888394833,-0.7847499,-0.2149891,-0.2173043,0.5360541
1.923042774,-0.7847551,-0.2150958,-0.2173557,0.5359828
1.955214977,-0.7848138,-0.2150803,-0.2173153,0.5359194
1.989862919,-0.7848152,-0.2150334,-0.2172915,0.5359458
2.022032261,-0.7848172,-0.2151696,-0.2173053,0.5358827
2.056680202,-0.784904,-0.2151535,-0.2171663,0.5358182
2.088853359,-0.7850286,-0.2150156,-0.2170244,0.5357485
2.123501301,-0.7849103,-0.2151807,-0.2172009,0.535784
2.155674458,-0.7846578,-0.2153806,-0.2175436,0.5359343
2.190322399,-0.7843455,-0.2160846,-0.2190992,0.5354745
2.222491741,-0.7842022,-0.2205966,-0.2244569,0.5316116
2.257139206,-0.7834014,-0.2325514,-0.2364209,0.5224317
2.289311886,-0.7822143,-0.2460589,-0.2528368,0.510193
2.321485043,-0.7843943,-0.2527446,-0.2683829,0.4954232
2.356132984,-0.7887292,-0.2598915,-0.286135,0.474465
2.388306141,-0.7925773,-0.2688443,-0.3055233,0.4503633
2.422950268,-0.7987108,-0.2728077,-0.3249437,0.4227012
2.455123425,-0.8064165,-0.2720507,-0.34101,0.3949944
2.489771366,-0.8146979,-0.2705349,-0.3589504,0.3617463
2.521943569,-0.8234744,-0.266569,-0.3751613,0.3266688
2.556592465,-0.8332782,-0.2620145,-0.3905328,0.2847939
2.588764668,-0.843513,-0.2530819,-0.4021481,0.2435981
2.623408795,-0.855574,-0.240119,-0.4111772,0.1946714
2.655581951,-0.8662903,-0.2255671,-0.4168757,0.1466384
2.690229893,-0.8786314,-0.1968951,-0.419534,0.09928797
2.722403050,-0.8891778,-0.1598384,-0.4208668,0.05756158
2.757050991,-0.8969378,-0.1144804,-0.4229378,0.01215843
2.789224148,-0.8999044,-0.07214577,-0.4250511,-0.03043555
