Time (s),Power (dBm),Percentage (%)
0.192114830,-62,76
0.691893101,-62,76
1.192004204,-62,76
1.691833973,-62,76
2.191920281,-60,80
2.691661358,-60,80
3.192059994,-60,80
3.691935539,-62,76
4.192070961,-61,78
4.691877842,-57,86
5.192047119,-67,66
5.691852093,-59,82
6.192087650,-57,86
6.691962719,-59,82
7.192061901,-60,80
7.691905022,-59,82
8.192125797,-62,76
8.691919327,-59,82
9.192203522,-53,94
9.691926956,-49,100
10.192090988,-53,94
10.691827297,-51,98
11.191988468,-51,98
11.691798210,-57,86
12.191939831,-51,98
12.691808701,-51,98
13.191986084,-57,86
13.691764355,-51,98
14.191933632,-51,98
14.691754341,-62,76
15.191877842,-62,76
15.691747666,-64,72
16.191999435,-59,82
16.691835880,-62,76
17.191994667,-59,82
17.691768646,-53,94
18.191879749,-53,94
18.691771031,-53,94
19.191907883,-53,94
19.691702366,-53,94
20.191894531,-57,86
20.691761971,-57,86
21.191963196,-63,74
21.691905976,-67,66
22.192008495,-57,86
22.691769600,-51,98
23.192023754,-57,86
23.691859245,-55,90
24.191918373,-55,90
24.691809654,-55,90
25.191976547,-55,90
25.691696167,-57,86
26.191805840,-60,80
26.691637993,-57,86
27.191820622,-65,70
27.691660881,-67,66
28.191767216,-51,98
28.691615105,-62,76
29.191742420,-53,94
29.691568852,-53,94
30.191737652,-63,74
30.691583634,-61,78
31.191699982,-57,86
31.691523552,-55,90
32.191804886,-55,90
32.691631794,-55,90
33.191795826,-57,86
33.691743374,-51,98
34.191826820,-55,90
34.691735745,-53,94
35.191923142,-59,82
35.691764355,-59,82
36.191935062,-59,82
36.691740513,-53,94
37.191877842,-53,94
37.691752911,-57,86
38.191887856,-49,100
38.691695213,-49,100
39.191895485,-47,100
39.691730023,-51,98
40.191893101,-57,86
40.691681862,-59,82
41.191846848,-57,86
41.691600800,-51,98
42.191718102,-57,86
42.691499710,-51,98
43.191695213,-53,94
43.691463947,-53,94
44.191647530,-71,58
44.691488266,-62,76
45.191864491,-49,100
45.691679478,-65,70
46.191849709,-53,94
46.691656590,-57,86
47.191793442,-60,80
47.691661358,-59,82
48.191942215,-59,82
48.691819668,-61,78
49.191905499,-62,76
49.691666126,-51,98
50.191723824,-55,90
50.691675663,-57,86
51.191810131,-49,100
51.691649914,-59,82
52.191788197,-55,90
52.691663265,-61,78
53.191825867,-51,98
53.691668987,-57,86
54.191838265,-51,98
54.691678524,-51,98
55.191780567,-51,98
55.691723347,-51,98
56.191886425,-51,98
56.691750527,-53,94
57.191866875,-55,90
57.691609383,-53,94
58.191781044,-49,100
58.691646576,-51,98
59.191721916,-49,100
59.691594601,-51,98
60.191719055,-53,94
60.691544533,-53,94
61.191718102,-49,100
61.691502571,-60,80
62.191661835,-62,76
62.691526413,-57,86
63.191640854,-51,98
63.691465378,-59,82
64.191794872,-55,90
64.691561222,-57,86
65.191726685,-55,90
65.691471577,-49,100
66.191524506,-57,86
66.691568375,-62,76
67.191642761,-53,94
67.691545010,-63,74
68.191681862,-55,90
68.691449166,-64,72
69.191656590,-65,70
69.691497326,-65,70
70.191595078,-65,70
70.691518307,-62,76
71.191703320,-53,94
71.691401005,-51,98
72.191656113,-57,86
72.691491604,-59,82
73.191581249,-53,94
73.691493988,-63,74
74.191687107,-59,82
74.691535950,-53,94
75.191704750,-55,90
75.691469670,-51,98
76.191649437,-49,100
76.691510677,-51,98
77.191591263,-51,98
77.691447258,-49,100
78.191630364,-51,98
78.691467285,-47,100
79.191681862,-49,100
79.691579342,-44,100
80.191653729,-51,98
80.691510677,-49,100
81.191546440,-51,98
81.691302300,-49,100
82.191625595,-49,100
82.691431046,-45,100
83.191567421,-49,100
83.691442967,-65,70
84.191612244,-55,90
84.691422939,-55,90
85.191594124,-59,82
85.691564083,-60,80
86.191786289,-53,94
86.691618443,-60,80
87.191663265,-55,90
87.691572189,-57,86
88.191732407,-51,98
88.691472531,-51,98
89.191639900,-60,80
89.691373348,-62,76
90.191554070,-57,86
90.691412449,-53,94
91.191605091,-57,86
91.691416741,-57,86
92.191626072,-57,86
92.691424370,-57,86
93.191582680,-59,82
93.691403389,-57,86
94.191756725,-65,70
94.691420555,-62,76
95.191685200,-67,66
95.691541672,-69,62
96.191607475,-53,94
96.691385746,-57,86
97.191613197,-51,98
97.691453934,-55,90
98.191591740,-53,94
98.691467285,-57,86
99.191733837,-57,86
99.691576004,-51,98
100.191745758,-57,86
100.691590309,-51,98
101.191687107,-57,86
101.691530705,-60,80
102.191720486,-51,98
102.691556454,-53,94
103.191676617,-49,100
103.691440582,-60,80
104.191553116,-71,58
104.691330910,-53,94
