Time (s),Humidity (%)
0.158454895,12.24902
1.156897545,11.38672
2.157861710,11.625
3.158825398,11.21191
4.157268524,12.73633
5.158232689,12.07422
6.156675816,12.99902
7.157639980,12.89844
8.158604622,12.42383
9.157047749,12.57422
10.158012390,13.09863
11.156455517,12.68652
12.157420158,11.9873
13.158384800,11.78809
14.156827927,13.38672
15.157793045,12.6377
16.158757687,11.75
17.157201767,12.64941
18.158166409,11.71289
19.156610012,11.43848
20.157575607,12.0625
21.158540726,11.86328
22.156984806,12.15039
23.157949925,11.01367
24.156394482,11.77637
25.157359600,11.81348
26.158325672,12.61328
27.156769276,12.91309
28.157735348,11.93848
29.156179905,11.92578
30.157145977,11.42578
31.158111572,12.40039
32.156556606,11.82617
33.157522202,11.33887
34.158488274,11.95117
35.156932831,11.96387
36.157898903,11.55176
37.156343460,11.17676
38.157308579,12.27637
39.158274651,11.16406
40.156719208,12.03809
41.157684803,11.12598
42.156128883,11.25098
43.157094002,12.26367
44.158059597,12.27539
45.156503201,11.93848
46.157468796,11.77539
47.158433914,11.45117
48.156877518,11.67578
49.157842159,11.71289
50.156285763,12.125
51.157250881,12.1875
52.158215523,12.3252
53.156658649,11.90039
54.157622337,10.9248
55.156064987,11.99902
56.157029152,12.02441
57.157992840,10.87402
58.156435013,11.83691
59.157398701,11.98633
60.158361912,12.74805
61.156803131,12.16113
62.157766342,13.35938
63.156208038,11.22363
64.157170296,11.59863
65.158132076,12.26074
66.156572819,11.58594
67.157535553,12.22266
68.155976296,12.14746
69.156937122,12.57227
70.157899380,12.40918
71.156339169,13.52051
72.157300472,12.49707
73.158261776,12.29688
74.156701565,11.75977
75.157661915,12.80859
76.156102181,12.49609
77.157062531,11.63379
78.158022404,12.24609
79.156461716,12.93262
80.157421589,11.18457
81.155860424,12.66992
82.156820297,12.24609
83.157780170,12.46973
84.156218529,11.77051
85.157177925,12.44531
86.158137322,12.10742
87.156574249,12.09473
88.157533646,11.5459
89.155971050,11.76953
90.156929493,12.36914
91.157887459,12.16992
92.156324863,12.24414
93.157282829,13.44238
94.155718327,12.51855
95.156676292,13.05469
96.157633781,11.81836
97.156069756,11.40723
98.157026768,11.64355
99.157983303,12.04297
100.156418800,12.54199
101.157375336,11.80566
102.155810356,12.7793
103.156767368,11.18066
104.157723904,12.4043
