Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.021976471,-0.03944254,0.1832445,-0.1465425,-0.005002967,-0.08752427,-0.995301,-2.06575,12.33051,42.43164,1007.43
0.056739807,0.2697827,-0.05207656,-0.02480158,-0.0001745862,-0.08705109,-1.00256,-2.417203,12.70465,42.86826,1007.43
0.089023590,0.1452215,-0.1112114,-0.02471977,0.0003140998,-0.08702841,-0.9962766,-2.053765,12.33614,42.86736,1007.434
0.121307373,-0.1646361,0.1232061,0.0362259,0.0003075033,-0.08558973,-1.000136,-2.053765,12.33614,42.86736,1007.434
0.156074524,-0.349815,0.1232911,-0.08547044,-0.0001690735,-0.09191494,-1.00984,-2.06575,12.33051,42.43164,1007.434
0.188357830,-0.101427,-0.05302522,0.03652994,-0.004047697,-0.0870818,-1.008353,-2.791965,12.703,42.43805,1007.434
0.223124981,0.1462322,0.005781822,-0.0854733,-0.001620874,-0.08703721,-0.9972394,-2.791965,12.703,42.43805,1007.434
0.255404949,0.2072404,0.005831927,0.1580454,-0.002100842,-0.09142181,-1.005482,-2.066411,12.69503,42.42702,1007.434
0.290172100,0.2678186,0.005382851,-0.08595228,-0.005474613,-0.09627241,-1.005985,-2.791304,12.33849,42.44267,1007.434
0.322455883,-0.104143,0.2982303,-0.0248715,-0.0006484557,-0.08945573,-0.9977387,-2.791304,12.33849,42.44267,1007.432
0.354738712,-0.288959,0.06262704,-0.08550042,-0.004995352,-0.09091341,-0.9958038,-2.076684,12.6902,42.05354,1007.432
0.389505863,0.02202189,-0.2312903,-0.02439493,-0.005495171,-0.08707284,-1.004483,-2.064038,12.33131,42.49389,1007.434
0.421790123,0.08406067,0.06243023,-0.02444848,-0.002103172,-0.09094279,-1.006929,-2.064038,12.33131,42.49389,1007.432
0.456552982,0.3309252,0.06278203,-0.02447483,-0.005486848,-0.09143639,-1.006925,-2.054426,12.70066,42.86275,1007.432
0.488836765,0.3297318,-0.05482424,0.09739132,-0.001142822,-0.08656992,-1.002555,-2.42985,13.06353,42.42792,1007.436
0.523603916,0.0193491,0.003898337,-0.08518922,-0.00451135,-0.09481949,-1.006463,-2.42985,13.06353,42.42792,1007.432
0.555887222,-0.2284687,0.1799171,0.09754075,-0.004521836,-0.08802156,-0.9996558,-2.428527,12.3345,42.43715,1007.431
0.588171005,-0.1041926,0.003793485,0.0363936,-0.0006453991,-0.0953071,-1.010825,-2.051391,11.97243,42.93423,1007.429
0.622938156,0.1440626,-0.2311262,-0.02442002,0.0007873646,-0.08706962,-1.008847,-2.051391,11.97243,42.93423,1007.429
0.655218124,-0.1038558,0.06257507,0.1585781,0.0007958547,-0.08947779,-1.005477,-1.702973,12.32652,42.42612,1007.427
0.689985275,-0.04195088,-0.1134027,-0.02429029,-0.004995603,-0.09384646,-1.004522,-2.079058,13.05391,41.98668,1007.424
0.722268581,-0.1038119,-0.05455043,-0.08517018,-0.00548308,-0.08897744,-0.9953083,-2.079058,13.05391,41.98668,1007.422
0.754552364,0.0205391,0.1801517,-0.02428371,-0.007903349,-0.09094954,-1.004016,-2.428527,12.3345,42.43715,1007.422
0.789319515,0.08218956,-0.05482424,-0.08519423,0.001286267,-0.09237999,-1.005494,-2.42985,13.06353,42.42792,1007.422
0.821603298,0.3911201,0.003586546,0.03659518,-0.008392531,-0.08755361,-1.001095,-2.077735,12.32487,41.99591,1007.422
0.856366634,0.2657675,-0.05520543,0.03647275,-0.004036918,-0.09045783,-1.004989,-2.077735,12.32487,41.99591,1007.422
0.888649464,-0.04419267,-0.1141436,0.03653423,-0.002107313,-0.0885166,-1.004982,-2.077735,12.32487,41.99591,1007.422
0.923518181,-0.04327953,-0.1725849,0.0364695,0.0007993717,-0.0899519,-1.002579,-2.053765,12.33614,42.86736,1007.42
0.955801964,0.019162,-0.1137307,-0.02437153,-0.00693455,-0.0894737,-0.9977252,-2.053765,12.33614,42.86736,1007.42
0.988085747,0.142895,-0.05461935,0.03642006,-0.005003051,-0.08850196,-0.9982072,-2.04139,13.07162,43.35611,1007.419
1.022852898,0.2660207,0.1218944,0.03633659,-0.002112016,-0.08804742,-1.00933,-2.077735,12.32487,41.99591,1007.419
1.055131912,-0.1065946,-0.3469359,0.03645624,-0.006461908,-0.08756281,-1.00545,-2.077735,12.32487,41.99591,1007.419
1.089899063,0.0173347,-0.4038214,-0.0240902,-0.004034857,-0.08947197,-0.9996651,-2.053765,12.33614,42.86736,1007.419
1.122183323,0.3268406,-0.3440435,-0.1457396,-0.005012644,-0.08512101,-1.000122,-1.702973,12.32652,42.42612,1007.422
1.156950474,-0.5401839,-0.1674741,-0.206098,-0.004523544,-0.08949464,-1.005949,-1.702973,12.32652,42.42612,1007.422
1.189234257,-0.9090072,-0.5186583,-0.2662939,-0.005004237,-0.08850688,-0.9996576,-1.690988,12.33216,42.86185,1007.424
1.221517086,-0.03858447,0.1864529,-0.1437475,-0.01033063,-0.08708667,-1.004472,-2.428138,13.06433,42.49017,1007.426
1.256280422,0.3949138,0.36119,0.03924654,-0.007426315,-0.08853181,-1.00497,-2.428138,13.06433,42.49017,1007.426
1.288564205,-0.3487854,-0.1096279,0.09983627,-0.001616859,-0.09092993,-1.003546,-1.689276,12.33296,42.9241,1007.426
1.323331356,-0.2844451,0.1834096,0.1603959,-0.003065477,-0.09043705,-0.9996727,-1.690988,12.33216,42.86185,1007.426
1.355615139,0.2122311,0.006995745,-0.02258319,-0.004523022,-0.08802647,-1.001106,-1.690988,12.33216,42.86185,1007.426
1.390382290,-0.09786862,0.2406709,0.09886245,-0.005499,-0.0856227,-1.004958,-2.076684,12.6902,42.05354,1007.422
1.422665596,-0.7775854,0.415338,-0.145074,-0.002600098,-0.08562423,-1.007865,-2.403505,12.71109,43.36624,1007.422
1.454945564,-0.5267549,0.4139763,0.0378236,-0.001154308,-0.08221947,-1.003981,-2.403505,12.71109,43.36624,1007.422
1.489712715,0.650568,0.1777347,-0.02313024,0.0003141836,-0.08605073,-0.9933704,-2.429188,12.69901,42.43254,1007.422
1.521996498,1.390297,-0.3510378,0.09850131,-0.0006634586,-0.08463119,-1.002062,-1.702312,11.96201,42.43074,1007.422
1.556763649,1.755434,-0.2905913,0.09852768,-0.005020468,-0.08417608,-1.006884,-1.702312,11.96201,42.43074,1007.426
1.589046955,1.871525,-0.4065729,0.03758694,-0.006468026,-0.08514481,-1.00592,-2.077074,11.96036,42.00053,1007.426
1.621330738,1.554417,-0.3460654,0.03754811,-0.005970477,-0.09241547,-1.00983,-1.704296,13.05555,42.41689,1007.424
1.656093597,0.7434725,-0.6369374,-0.02388251,-0.002075413,-0.09913518,-0.9968237,-2.414829,12.34094,42.93513,1007.424
1.688377857,0.05945152,-0.4584355,-0.08547127,-0.007405674,-0.09675366,-1.003567,-2.414829,12.34094,42.93513,1007.424
1.723145008,-1.239611,0.07092546,0.2794399,-0.01320695,-0.09578767,-0.9991979,-1.702973,12.32652,42.42612,1007.426
1.755428791,-2.533147,0.4809843,-0.08638749,-0.005004531,-0.09192877,-1.009829,-1.702312,11.96201,42.43074,1007.424
1.790194988,-2.589049,1.125234,-0.1471575,-0.003571413,-0.08417848,-1.008821,-1.702312,11.96201,42.43074,1007.424
1.822479248,-0.9777339,1.125234,-0.02527615,0.004637983,-0.0773587,-1.002516,-2.064699,12.69583,42.48927,1007.424
1.854758739,1.439239,0.4208008,0.09660529,0.002710978,-0.08124384,-1.004951,-2.440123,13.0587,42.05444,1007.424
1.889525890,3.112528,-0.5771464,0.09660529,0.008036391,-0.08022474,-0.9943208,-2.440123,13.0587,42.05444,1007.424
1.921809673,3.48437,-1.164174,0.157546,0.0003403795,-0.09864761,-0.9977931,-2.053375,13.06598,42.92038,1007.424
1.956576347,1.997002,-0.8706603,0.157546,-0.003046668,-0.1015985,-1.008922,-2.062715,11.60228,42.50312,1007.426
1.988860130,-0.1720762,-0.8119575,-0.2080983,-0.01028722,-0.1064536,-1.007483,-2.062715,11.60228,42.50312,1007.426
2.023627281,-2.031286,-0.5184436,-0.2690389,-0.01320945,-0.09726401,-1.006458,-2.42985,13.06353,42.42792,1007.426
