Time (s),Power (dBm),Percentage (%)
0.236792564,-49,100
0.736820221,-49,100
1.236824036,-49,100
1.736798763,-49,100
2.236797810,-49,100
2.736863613,-49,100
3.236540794,-49,100
3.736907005,-49,100
4.236553669,-49,100
4.736852646,-49,100
5.236654759,-51,98
5.736641884,-62,76
6.236660957,-51,98
6.736660004,-49,100
7.236669064,-61,78
7.736736298,-57,86
8.236442089,-55,90
8.736742496,-53,94
9.236415386,-69,62
9.736760616,-60,80
10.236514568,-69,62
10.736548424,-59,82
11.236570835,-59,82
11.736522674,-57,86
12.236510277,-57,86
12.736598968,-59,82
13.236272335,-57,86
13.736615181,-57,86
14.236283302,-55,90
14.736635208,-59,82
15.236401558,-53,94
15.736580849,-57,86
16.236576557,-61,78
16.736533165,-59,82
17.236587524,-59,82
17.736624718,-67,66
18.236342907,-65,70
18.736691475,-62,76
19.236316681,-51,98
19.736591339,-47,100
20.236419678,-53,94
20.736493587,-55,90
21.236398697,-57,86
21.736465454,-55,90
22.236480236,-57,86
22.736508369,-57,86
23.236226559,-57,86
23.736550331,-57,86
24.236240864,-57,86
24.736610889,-57,86
25.236365318,-57,86
25.736415386,-55,90
26.236417294,-57,86
26.736340046,-57,86
27.236264229,-57,86
27.736489296,-49,100
28.236175060,-59,82
28.736357212,-51,98
29.236408711,-55,90
29.736798286,-53,94
30.236530781,-67,66
30.736569881,-60,80
31.236564159,-60,80
31.736538887,-59,82
32.236574173,-53,94
32.736620903,-57,86
33.236341476,-57,86
33.736679554,-60,80
34.236462593,-55,90
34.736628056,-53,94
35.236561298,-53,94
35.736553669,-53,94
36.236396790,-55,90
36.736509323,-57,86
37.236567974,-58,84
37.736645222,-59,82
38.236309528,-60,80
38.736637115,-59,82
39.236270428,-62,76
39.736624718,-69,62
40.236609459,-60,80
40.736593723,-62,76
41.236651421,-67,66
41.736591816,-59,82
42.236388683,-60,80
42.736665726,-65,70
43.236382484,-65,70
43.736485004,-67,66
44.236347675,-53,94
44.736690521,-57,86
45.236457348,-60,80
45.736469746,-59,82
46.236488819,-59,82
46.736462593,-49,100
47.236461639,-49,100
47.736554146,-51,98
48.236227512,-53,94
48.736566544,-57,86
49.236230850,-57,86
49.736324787,-57,86
50.236351967,-57,86
50.736385345,-57,86
51.236393929,-57,86
51.736303806,-57,86
52.236339569,-57,86
52.736396313,-58,84
53.236141205,-57,86
53.736440182,-53,94
54.236073017,-57,86
54.736436367,-67,66
55.236195087,-62,76
55.736438751,-62,76
56.236464024,-51,98
56.736382961,-55,90
57.236411095,-60,80
57.736400604,-59,82
58.236193180,-60,80
58.736542225,-63,74
59.236193180,-55,90
59.736552715,-59,82
60.236173630,-62,76
60.736300945,-59,82
61.236298561,-57,86
61.736281872,-65,70
62.236286163,-65,70
62.736231804,-62,76
63.236052990,-60,80
63.736378193,-62,76
64.236057758,-60,80
64.736385822,-59,82
65.236013413,-60,80
65.736224651,-67,66
66.236205578,-67,66
66.736118317,-69,62
67.236110210,-60,80
67.736098289,-60,80
68.235972405,-57,86
68.736194611,-58,84
69.235905647,-69,62
69.736265182,-65,70
70.235851288,-65,70
70.736193180,-61,78
71.236176491,-62,76
71.736248016,-69,62
72.236286640,-57,86
72.736401558,-67,66
73.236336708,-53,94
73.736682892,-62,76
74.236292362,-57,86
74.736554146,-51,98
75.236465931,-55,90
75.736421108,-51,98
76.236331463,-51,98
76.736544132,-51,98
77.236393929,-51,98
77.736425877,-51,98
78.236182690,-51,98
78.736520767,-51,98
79.236187935,-51,98
79.736472607,-51,98
80.236336708,-49,100
80.736289978,-47,100
81.236346722,-60,80
81.736435413,-69,62
82.236141682,-67,66
82.736415386,-67,66
83.236086845,-59,82
83.736228466,-59,82
84.236051083,-65,70
84.736305237,-53,94
85.236032963,-51,98
85.736165523,-59,82
86.236182690,-65,70
86.736287117,-59,82
87.236055851,-57,86
87.736289024,-57,86
88.235938072,-53,94
88.736261845,-51,98
89.235956192,-51,98
89.736063957,-53,94
90.236079693,-53,94
90.736056805,-55,90
91.235835552,-55,90
91.736201763,-59,82
92.235922337,-57,86
92.736193180,-71,58
93.235801220,-62,76
93.736134529,-62,76
94.235959530,-53,94
94.736000538,-55,90
95.235951901,-62,76
95.735944271,-62,76
96.235960484,-62,76
96.736100197,-57,86
97.235842228,-62,76
97.736164093,-62,76
98.235811710,-61,78
98.736146927,-59,82
99.235906601,-60,80
99.735983372,-55,90
100.235962391,-53,94
100.735948563,-53,94
101.235901833,-53,94
101.735984802,-53,94
102.235690594,-53,94
102.736020088,-53,94
103.235659599,-57,86
103.736042023,-55,90
104.235832691,-53,94
104.735813618,-60,80
105.235846043,-49,100
105.735869884,-60,80
106.235868931,-57,86
106.735940456,-57,86
107.235608578,-59,82
107.735973835,-59,82
108.235618115,-59,82
108.735960960,-59,82
109.235713005,-59,82
109.735702991,-59,82
110.235712051,-57,86
110.735699177,-67,66
111.235704422,-71,58
111.735803604,-67,66
112.235524654,-65,70
112.735808372,-55,90
113.235474110,-57,86
113.735802650,-59,82
114.235585690,-55,90
114.735798359,-57,86
115.235866547,-62,76
115.735861778,-59,82
116.235779762,-64,72
116.735828876,-67,66
117.235615730,-53,94
117.735846519,-69,62
118.235584259,-59,82
118.735943317,-63,74
119.235651016,-63,74
119.735962868,-60,80
120.236030579,-62,76
120.735951900,-62,76
121.235978127,-61,78
121.735969543,-55,90
122.235748291,-57,86
122.736110687,-67,66
