Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.554347992,76.02344,124.6875,3.930625,272.8125,0
1.433771610,76.02344,124.78125,3.931875,262.1875,0
2.488023758,76.01172,124.875,3.929375,267.5,0
3.542973041,76,124.96875,3.930625,260.9375,0
4.421928406,75.98828,124.96875,3.93,273.4375,0
5.476912022,75.97656,124.5,3.9275,308.125,0
6.531891346,75.96094,124.5,3.931875,260.625,0
7.410511494,75.96094,124.5,3.931875,251.875,0
8.465127468,75.94922,124.5,3.92875,264.6875,0
9.519992351,75.9375,124.78125,3.9325,265.9375,0
10.574799061,75.92578,125.0625,3.93,253.75,0
11.453894138,75.91406,125.15625,3.9275,264.6875,0
12.508849621,75.91406,125.15625,3.93,253.75,0
13.563356399,75.90234,125.25,3.930625,267.8125,0
14.442464828,75.89063,125.25,3.93125,264.375,0
15.497232437,75.87891,125.15625,3.931875,252.5,0
16.551959515,75.86328,124.96875,3.928125,269.6875,0
17.430920124,75.85156,124.6875,3.928125,266.875,0
19.540528297,75.83984,124.875,3.930625,254.0625,0
20.419559002,75.82813,125.0625,3.930625,258.75,0
21.474760532,75.81641,125.0625,3.92875,256.5625,0
22.529213905,75.80469,125.0625,3.93,267.8125,0
23.408257484,75.80469,125.0625,3.9275,270,0
24.463073730,75.79297,124.875,3.92875,264.6875,0
25.517851829,75.78125,124.875,3.9275,256.875,0
26.572844028,75.76563,124.96875,3.92875,243.75,0
27.451794147,75.75391,124.875,3.93,270.625,0
28.506409645,75.74219,124.6875,3.928125,275.3125,0
29.561173439,75.74219,124.5,3.929375,271.25,0
30.440243721,75.73047,124.40625,3.92875,264.0625,0
31.495308399,75.71875,124.3125,3.926875,259.0625,0
32.549863815,75.70703,124.3125,3.93,257.1875,0
33.428842068,75.69531,124.5,3.92625,269.6875,0
35.538319111,75.68359,124.5,3.928125,263.75,0
36.417326450,75.66797,124.59375,3.9275,268.4375,0
37.472232342,75.65625,124.59375,3.930625,267.8125,0
38.526803970,75.64453,124.59375,3.931875,258.4375,0
39.405853271,75.63281,124.5,3.92625,259.375,0
40.460657596,75.63281,124.3125,3.929375,252.5,0
41.515455723,75.62109,124.40625,3.926875,253.125,0
42.570528984,75.60938,124.21875,3.92625,275.625,0
43.449366093,75.59766,124.125,3.925625,268.75,0
44.504250049,75.58594,124.125,3.93,261.875,0
45.559125423,75.57031,123.75,3.928125,257.8125,0
46.437979221,75.57031,124.125,3.928125,247.1875,0
47.492696285,75.55859,124.21875,3.929375,257.1875,0
48.547641277,75.54688,123.75,3.92625,262.5,0
49.426385403,75.53516,123.75,3.928125,269.6875,0
50.481187343,75.52344,123.75,3.925625,269.375,0
51.536094189,75.51172,124.03125,3.926875,266.5625,0
52.415240288,75.51172,124.21875,3.92875,261.5625,0
53.470404625,75.5,124.3125,3.928125,254.0625,0
54.524521351,75.48828,124.40625,3.930625,261.5625,0
55.579431534,75.47266,124.5,3.925625,272.1875,0
56.458612919,75.47266,124.5,3.925625,261.25,0
57.513330459,75.46094,124.59375,3.928125,256.25,0
58.568742752,75.44922,124.59375,3.925625,280.3125,0
59.447411537,75.4375,124.3125,3.926875,255,0
60.501915455,75.42578,124.21875,3.929375,246.5625,0
61.556744099,75.41406,124.3125,3.92625,265.625,0
62.435748577,75.41406,124.21875,3.928125,265,0
63.490610599,75.40234,124.3125,3.925,263.75,0
64.545671463,75.39063,124.40625,3.926875,263.75,0
65.424371242,75.375,124.40625,3.925625,269.375,0
66.478936672,75.36328,124.21875,3.926875,270.3125,0
