Time (s),W,X,Y,Z
0.012331486,0.9316975,0.01635615,-0.01467497,-0.3578889
0.044500351,0.9317011,0.01633493,-0.01464729,-0.3578821
0.079149246,0.9317327,0.01626597,-0.01463847,-0.3578031
0.111322880,0.9317383,0.01625493,-0.01461469,-0.3577901
0.145970821,0.9317158,0.01635772,-0.01453404,-0.3578469
0.178144455,0.9317166,0.01637369,-0.01454733,-0.3578441
0.212792397,0.9317537,0.01636452,-0.01456547,-0.357747
0.244962215,0.9317862,0.01661319,-0.01444411,-0.3576555
0.279611111,0.9318207,0.01679545,-0.01437587,-0.3575599
0.311784267,0.9318552,0.01665217,-0.01436391,-0.3574771
0.346432686,0.9318627,0.01662142,-0.01435455,-0.3574595
0.378605842,0.9319199,0.016666,-0.01435559,-0.3573083
0.413254261,0.9319297,0.01668394,-0.01434694,-0.3572823
0.445508957,0.931893,0.01672946,-0.01433547,-0.3573764
0.477683067,0.931869,0.0167028,-0.01434993,-0.3574394
0.512330532,0.9318765,0.01670321,-0.01432826,-0.3574205
0.544504642,0.9319102,0.01672642,-0.01429392,-0.3573332
0.579153061,0.9319798,0.01667844,-0.01426207,-0.357155
0.611326218,0.9320336,0.01662898,-0.01423288,-0.357018
0.645970821,0.9320437,0.01668788,-0.01418886,-0.3569908
0.678143978,0.9319627,0.01686561,-0.01415689,-0.3571954
0.712792873,0.9319429,0.01701203,-0.01408374,-0.3572427
0.744966030,0.9319524,0.0170889,-0.01400901,-0.3572171
0.779614448,0.9319642,0.01739619,-0.013808,-0.3571795
0.811787605,0.9319816,0.01756625,-0.01370846,-0.3571297
0.846432209,0.9320017,0.01766033,-0.01355206,-0.3570785
0.878606319,0.9319843,0.01892863,-0.01226763,-0.3571053
0.913253784,0.9318518,0.02148213,-0.01053726,-0.3573616
0.945429802,0.9316716,0.02563853,-0.007569616,-0.3576326
0.977603912,0.9314516,0.03299012,-0.002005235,-0.3576775
1.012251377,0.9304465,0.04518415,0.008633804,-0.3588605
1.044421673,0.9296694,0.05280489,0.02149684,-0.3592938
1.079070091,0.9295962,0.05357673,0.0383597,-0.3579617
1.111243248,0.9301435,0.05318583,0.06010725,-0.3535804
1.145891666,0.9313282,0.05141144,0.09262078,-0.3435603
1.178064823,0.9318485,0.04725433,0.1269842,-0.3315543
1.212713718,0.934904,0.02999628,0.1684241,-0.3054762
1.244882584,0.9355119,0.05915074,0.2185095,-0.2649528
1.279531479,0.934377,0.03315563,0.2642752,-0.2294048
1.311705112,0.9312282,0.004774245,0.306854,-0.1877752
1.346353054,0.9239424,-0.02395332,0.3531828,-0.1328387
1.378526687,0.9132675,-0.04581909,0.3932066,-0.07654546
1.413175583,0.8959055,-0.08025989,0.4325067,-0.02184592
1.445344448,0.8737615,-0.1188514,0.4673198,0.02559317
1.479993343,0.8447437,-0.1560679,0.5029249,0.07579526
1.512166500,0.8146191,-0.1819707,0.5336466,0.1230093
1.544340134,0.780331,-0.2060714,0.5629692,0.1682595
1.578988075,0.7389412,-0.2308863,0.5932077,0.2130482
1.611162186,0.6953378,-0.2602822,0.6212626,0.2437595
1.645806789,0.6463238,-0.2924599,0.6483142,0.2702759
