Time (s),W,X,Y,Z
0.017268658,0.8774742,-0.2433271,-0.03389724,-0.407811
0.050046444,0.8774176,-0.2433266,-0.03392047,-0.4079307
0.082824230,0.877348,-0.2434271,-0.03395798,-0.4080176
0.115602493,0.8773031,-0.2434641,-0.0339555,-0.4080923
0.150901794,0.8772971,-0.2433793,-0.03391271,-0.4081594
0.183679581,0.8772426,-0.243375,-0.03397051,-0.408274
0.216457367,0.8771898,-0.2434155,-0.03404578,-0.408357
0.249235630,0.8772021,-0.2433808,-0.03404827,-0.408351
0.282013416,0.8772423,-0.2433403,-0.03403464,-0.4082899
0.317312240,0.8772725,-0.2434022,-0.03397545,-0.4081933
0.350090027,0.8772138,-0.2433943,-0.0339931,-0.4083225
0.382868767,0.8771944,-0.2433913,-0.03401247,-0.4083646
0.415650844,0.8771946,-0.2434569,-0.03400856,-0.4083253
0.450945377,0.8771969,-0.2434204,-0.03400865,-0.4083419
0.483723163,0.8771483,-0.2434172,-0.03406096,-0.408444
0.516501427,0.8771323,-0.2434426,-0.03404593,-0.4084643
0.549279213,0.8771421,-0.2434334,-0.03402322,-0.4084509
0.582056999,0.8772019,-0.2434326,-0.0339665,-0.4083277
0.617356300,0.877285,-0.2435288,-0.03389785,-0.4080971
0.650134563,0.8773988,-0.2435098,-0.03378937,-0.4078727
0.682912350,0.8774309,-0.2434332,-0.03374448,-0.4078532
0.715690136,0.8774072,-0.2435142,-0.03377976,-0.407853
0.750989437,0.8773746,-0.2436126,-0.03379307,-0.4078633
0.783767700,0.877444,-0.2435849,-0.03374844,-0.407734
0.816545486,0.877457,-0.2435346,-0.03372455,-0.4077384
0.849323273,0.8773887,-0.2435724,-0.0337263,-0.4078628
0.882101059,0.8773401,-0.2437921,-0.03372607,-0.4078359
0.917400837,0.8772727,-0.2441591,-0.03365628,-0.4077672
0.950178623,0.8771334,-0.2447681,-0.03337658,-0.4077247
0.982956409,0.8766334,-0.2466931,-0.03269238,-0.4076951
1.015733719,0.8748695,-0.2535714,-0.03166362,-0.407345
1.051033497,0.8714476,-0.267786,-0.02710077,-0.4059103
1.083811283,0.8686218,-0.2779115,-0.01414709,-0.4058189
1.116589069,0.8643773,-0.2843651,0.005972027,-0.4105854
1.149366856,0.8563008,-0.2926726,0.03111683,-0.4204177
1.182145596,0.8425775,-0.3071665,0.06090697,-0.4343156
1.217444420,0.8206756,-0.327549,0.09645953,-0.4544517
1.250222206,0.7941875,-0.3460308,0.1319664,-0.478269
1.282999992,0.7613252,-0.3624477,0.167982,-0.5073708
1.315778255,0.7215352,-0.3790936,0.2008774,-0.5403246
1.348556042,0.6747805,-0.3991262,0.228062,-0.5744431
1.383855343,0.6196677,-0.4199481,0.250318,-0.6112479
1.416633129,0.5696216,-0.4321519,0.2690274,-0.6426725
1.449411392,0.5293348,-0.4301987,0.2954878,-0.6663695
1.482189178,0.5012529,-0.4139005,0.3391982,-0.6774985
1.517488003,0.4758855,-0.3924469,0.4009371,-0.67483
1.550266743,0.4489328,-0.3757052,0.4586076,-0.6660417
1.583044529,0.4111598,-0.3690425,0.5033584,-0.6618257
1.615822315,0.3640027,-0.3696207,0.5323508,-0.6664179
1.648600101,0.3134036,-0.3697416,0.5495804,-0.677981
1.683899879,0.2612124,-0.3661085,0.5606048,-0.6928799
1.716677189,0.2212289,-0.3592296,0.5698537,-0.7027845
1.749454975,0.1897604,-0.3523502,0.579614,-0.7074712
1.782232761,0.1645425,-0.3479591,0.5885319,-0.7085959
1.817532539,0.1414687,-0.3485864,0.5935308,-0.7091002
1.850310326,0.1227504,-0.353406,0.5943194,-0.7095411
1.883088112,0.106152,-0.3602462,0.5890744,-0.7131435
1.915865898,0.09707338,-0.3644979,0.5827329,-0.7174734
1.948644161,0.09505181,-0.3641054,0.5744195,-0.7246119
1.983943462,0.09858585,-0.3585654,0.561381,-0.7370148
2.016721249,0.1051742,-0.347664,0.5405636,-0.7566285
2.049499035,0.1196783,-0.3245557,0.5075937,-0.7869668
2.082277298,0.1488505,-0.2747258,0.4596726,-0.8292754
2.117576599,0.170082,-0.2059998,0.3896434,-0.8794554
2.150354385,0.1344987,-0.2744794,0.3540836,-0.881943
2.183132172,0.165479,-0.2115341,0.3887494,-0.8794154
2.215910435,0.1708833,-0.2181796,0.4479457,-0.8480383
2.248688221,0.1699887,-0.2179842,0.4219474,-0.8614957
2.283987045,0.1727887,-0.2163044,0.4322942,-0.856216
2.316764831,0.169791,-0.2163644,0.4269344,-0.8594835
2.349543571,0.1643853,-0.2185251,0.4192302,-0.8637695
2.382321358,0.1581099,-0.2197407,0.4088015,-0.8696116
2.417620182,0.1531755,-0.2212485,0.3995679,-0.874391
2.450398445,0.1519025,-0.2219424,0.3963876,-0.8758833
2.483176231,0.1532057,-0.2220966,0.3980317,-0.8748713
2.515954018,0.1549647,-0.2241389,0.3959912,-0.8749666
2.548731804,0.1597339,-0.2271798,0.3945793,-0.8739619
2.584031582,0.1726393,-0.2329113,0.4001504,-0.8674419
2.616809368,0.1903105,-0.2453986,0.4043492,-0.8583069
2.649587154,0.2113985,-0.2622001,0.4046628,-0.8481966
2.682364941,0.2336667,-0.2843942,0.40008,-0.8373072
2.717664719,0.2586337,-0.3115187,0.3890094,-0.8254477
2.750442505,0.2828232,-0.33931,0.3748389,-0.8130211
2.783220291,0.3096565,-0.3675446,0.3600903,-0.7974876
2.815998077,0.3376292,-0.3970326,0.3409975,-0.7802051
2.848776340,0.365705,-0.4273191,0.3175959,-0.7611955
2.884075642,0.3959993,-0.4581022,0.2863282,-0.7402505
2.916852951,0.4235653,-0.4842422,0.2534499,-0.7200645
2.949630737,0.4511728,-0.5092575,0.2212015,-0.6962741
2.982409477,0.4765605,-0.5320903,0.1856397,-0.6722617
3.017708302,0.5080764,-0.5474582,0.1534397,-0.6443847
3.050486088,0.5452405,-0.5482,0.1340107,-0.6171371
3.083264828,0.5919294,-0.5312822,0.1250687,-0.5902068
3.116042137,0.6396238,-0.5023621,0.1203283,-0.5662706
3.148819923,0.6815097,-0.4698109,0.114353,-0.5462356
3.184119225,0.7169787,-0.4371817,0.1021197,-0.5301065
3.216897488,0.7386591,-0.4185565,0.08385139,-0.5184494
3.249675274,0.7534593,-0.4115773,0.06171102,-0.5056902
3.282453060,0.768073,-0.4030391,0.03849115,-0.4927163
3.315230846,0.7841334,-0.3875884,0.01735208,-0.4808705
3.350530624,0.7995012,-0.3717012,-0.004360184,-0.4682356
3.383308411,0.8109236,-0.3599502,-0.02388338,-0.4570514
3.416086197,0.8210236,-0.3488914,-0.04242121,-0.4461201
3.448863983,0.8310611,-0.3357916,-0.06012656,-0.4354237
3.484163761,0.8408994,-0.3198909,-0.08089287,-0.4250201
3.516941547,0.8391704,-0.3385228,-0.1026735,-0.4090001
3.549719334,0.8312528,-0.3635913,-0.1086912,-0.4020375
3.582497120,0.8331141,-0.3575239,-0.09743873,-0.406486
3.615275383,0.8330208,-0.3538976,-0.08944361,-0.4116556
3.650574207,0.8340346,-0.3470117,-0.08406112,-0.4165702
3.683351993,0.8360181,-0.3393237,-0.08367356,-0.4189984
3.716130733,0.8399069,-0.328074,-0.08490646,-0.4199314
3.748908520,0.8432856,-0.3168004,-0.08551481,-0.4216893
3.784207344,0.8440106,-0.313374,-0.0858935,-0.4227207
3.816985130,0.8436369,-0.315151,-0.08597693,-0.4221284
3.849763393,0.8433688,-0.3179878,-0.08613025,-0.4205021
3.882541180,0.8427078,-0.322583,-0.08694177,-0.418154
3.915318966,0.8419107,-0.3278762,-0.08806561,-0.4153984
3.950618267,0.8415139,-0.3318108,-0.08918287,-0.412832
3.983396530,0.8418519,-0.3332145,-0.08938756,-0.4109636
4.016174316,0.8422813,-0.3338086,-0.08909924,-0.4096621
4.048952103,0.8428459,-0.3338395,-0.08866525,-0.4085686
4.084251881,0.8431246,-0.3343836,-0.08884354,-0.4075082
4.117029667,0.8432003,-0.3355494,-0.08923602,-0.4063059
4.149807453,0.8430905,-0.3374082,-0.08969605,-0.4048904
4.182585239,0.8431831,-0.3391761,-0.08982982,-0.4031875
4.215363503,0.843307,-0.3405361,-0.08983507,-0.4017783
4.250662804,0.8437193,-0.3410691,-0.08959838,-0.4005116
4.283440590,0.8441867,-0.3412145,-0.08940899,-0.3994437
4.316217899,0.8445101,-0.3416035,-0.0893384,-0.3984422
4.348996639,0.8446455,-0.3426027,-0.08933543,-0.3972963
