Time (s),Power (dBm),Percentage (%)
0.023774147,-62,76
0.523478508,-62,76
1.023801804,-62,76
1.523706913,-62,76
2.023689747,-63,74
2.523738384,-64,72
3.023963451,-64,72
3.523816109,-62,76
4.024049282,-64,72
4.523731709,-62,76
5.023873806,-65,70
5.523696423,-62,76
6.024074078,-64,72
6.523856640,-63,74
7.023848534,-65,70
7.523840428,-63,74
8.023804665,-64,72
8.523848534,-63,74
9.023937225,-59,82
9.523609638,-59,82
10.023917198,-60,80
10.523571968,-59,82
11.023676872,-55,90
11.523725510,-71,58
12.023711205,-53,94
12.523745537,-55,90
13.023667812,-57,86
13.523721695,-53,94
14.023772240,-57,86
14.523469925,-59,82
15.023789883,-59,82
15.523430348,-51,98
16.023818970,-53,94
16.523583412,-55,90
17.023557663,-57,86
17.523581028,-57,86
18.023587227,-53,94
18.523590565,-55,90
19.023645401,-57,86
19.523324013,-53,94
20.023703098,-60,80
20.523347378,-62,76
21.023663998,-53,94
21.523431301,-69,62
22.023441792,-69,62
22.523462296,-65,70
23.023539066,-60,80
23.523545742,-62,76
24.023602009,-62,76
24.523368359,-62,76
25.023651123,-62,76
25.523322582,-60,80
26.023650169,-62,76
26.523363114,-62,76
27.023416042,-63,74
27.523478508,-60,80
28.023455620,-58,84
28.523458958,-62,76
29.023407936,-60,80
29.523183346,-59,82
30.023504257,-73,54
30.523213387,-61,78
31.023530960,-49,100
31.523169041,-59,82
32.023365974,-65,70
32.523313999,-62,76
33.023292542,-62,76
33.523308277,-61,78
34.023200512,-62,76
34.523252964,-55,90
35.023589611,-55,90
35.523602486,-47,100
36.023909092,-49,100
36.523812294,-51,98
37.023747921,-49,100
37.523680687,-49,100
38.023879051,-53,94
38.523667336,-63,74
39.023773670,-55,90
39.523511887,-69,62
40.023868084,-62,76
40.523766041,-53,94
41.023768425,-60,80
41.523705959,-57,86
42.023657799,-57,86
42.523717880,-62,76
43.023811340,-59,82
43.523481369,-62,76
44.023784637,-62,76
44.523445606,-59,82
45.023633957,-59,82
45.523550987,-59,82
46.023609638,-57,86
46.523442745,-59,82
47.023543358,-62,76
47.523586750,-57,86
48.023650169,-53,94
48.523390770,-53,94
49.023657799,-57,86
49.523313522,-62,76
50.023652077,-53,94
50.523405075,-58,84
51.023464203,-59,82
51.523484707,-62,76
52.023440361,-73,54
52.523276806,-59,82
