Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.021669388,1.104818,0.003142005,0.1087952,-0.004144148,0.159288,-0.9924598,4.619007,-10.15129,34.03224,1007.184
0.054234505,0.7311115,0.003017336,0.1086013,-0.006472198,0.1509761,-0.988234,4.983613,-10.1516,33.52125,1007.184
0.086799622,0.1749831,-0.1752883,0.04724697,-0.003601272,0.1553874,-0.9881694,4.619007,-10.15129,34.03224,1007.18
0.121869564,0.112958,-0.1153364,-0.01381451,-0.005634372,0.1617007,-0.9929048,4.619007,-10.15129,34.03224,1007.183
0.154430866,-0.3176156,0.1226842,-0.01385426,0.00122592,0.1583817,-0.9915121,4.620638,-10.14871,34.47831,1007.181
0.186995983,-0.6853888,0.06285232,-0.01379796,0.0003136012,0.153976,-0.987228,4.983613,-10.1516,33.52125,1007.181
0.222066402,-0.6825541,0.06231534,0.1697263,-0.002665645,0.1587992,-0.987635,4.983613,-10.1516,33.52125,1007.181
0.254631519,-0.2500061,0.06219198,0.1695526,-0.002152472,0.1554284,-0.9930039,4.619007,-10.15129,34.03224,1007.181
0.287196636,0.1812994,0.002457458,0.1080268,-0.005587689,0.1582862,-0.9900569,4.252303,-10.15431,33.9697,1007.177
0.319761753,0.4263224,-0.1167382,0.04655981,-0.002184339,0.1592915,-0.9876279,4.252303,-10.15431,33.9697,1007.178
0.354827404,0.6087632,-0.1167852,-0.01472865,-0.005049247,0.1548692,-0.9852756,4.622824,-10.51806,33.52505,1007.18
0.387392521,0.2992428,-0.1762562,0.04633881,-0.004111146,0.1568497,-0.9905635,4.983613,-10.1516,33.52125,1007.18
0.419957638,0.05216432,-0.05681833,0.04618835,-0.003113882,0.1544417,-0.9925348,4.983613,-10.1516,33.52125,1007.178
0.455028534,0.1138875,0.06244872,-0.1374592,-0.005085034,0.156837,-0.9905627,4.989295,-10.51541,33.52386,1007.178
0.487593651,0.1135193,-0.1160249,-0.01494146,-0.006009832,0.1534054,-0.9867472,4.985244,-10.14902,33.96732,1007.18
0.520158768,0.2971756,0.1219613,-0.01486123,0.0007051495,0.1612908,-0.9914672,4.985244,-10.14902,33.96732,1007.175
0.555224419,0.05082297,0.002818481,0.1075838,-0.005541004,0.1548717,-0.9872087,4.622824,-10.51806,33.52505,1007.177
0.587789536,-0.6247388,0.06223225,0.04621471,-0.005009783,0.1514678,-0.9853275,4.989295,-10.51541,33.52386,1007.177
0.620354652,-0.5612629,0.002870651,-0.0149813,-0.008473945,0.1558054,-0.9871916,4.989295,-10.51541,33.52386,1007.174
0.655425072,-0.3134035,0.06245062,0.04616883,-0.003619389,0.1568473,-0.9886305,4.992789,-10.50988,34.47974,1007.176
0.687990189,-0.3737693,0.003162918,-0.07611082,0.0007007152,0.1617745,-0.9909764,4.613092,-9.787852,33.9659,1007.178
0.720555305,0.119028,-0.1158116,0.1074904,-0.008516641,0.1596882,-0.9861656,4.613092,-9.787852,33.9659,1007.178
0.753116608,0.4260447,-0.2345439,-0.07610461,-0.006559171,0.1582691,-0.9890893,4.250672,-10.15689,33.52363,1007.178
0.788186550,0.301602,0.06303225,0.04609079,-0.00455096,0.1524768,-0.99208,4.252303,-10.15431,33.9697,1007.177
0.820751667,0.05484199,-0.1153503,0.1071599,-0.005052411,0.1539238,-0.9910906,4.252303,-10.15431,33.9697,1007.177
0.853316784,-0.1290762,0.1227825,-0.07652942,-0.00649633,0.152447,-0.9911118,4.979563,-9.785206,33.96471,1007.177
0.888387203,-0.2513716,0.003897184,0.10704,-0.003630665,0.1578191,-0.9886157,3.880151,-9.793146,33.96828,1007.175
0.920952320,-0.00460387,-0.05545047,-0.1989709,-0.001653496,0.1554128,-0.988171,4.985244,-10.14902,33.96732,1007.175
0.953512669,-0.2499421,-0.1745223,-0.01523335,-0.002177052,0.1578513,-0.9915169,4.985244,-10.14902,33.96732,1007.177
0.988583088,-0.3719195,-0.2339647,0.1073281,-0.005103597,0.159249,-0.9866589,4.983613,-10.1516,33.52125,1007.174
1.021148205,0.05897668,-0.05544486,-0.137504,-0.003210927,0.1627043,-0.9928919,4.618773,-10.15166,33.96851,1007.176
1.053713322,0.05842763,0.06348183,0.1072591,-0.0007662018,0.1631934,-0.986603,4.618773,-10.15166,33.96851,1007.176
1.088783264,-0.06488359,-0.1149224,-0.0153226,-0.002609713,0.1548922,-0.9833441,4.252303,-10.15431,33.9697,1007.176
1.121348381,0.4878348,0.06370916,-0.07665135,-0.004562682,0.1544006,-0.9877002,4.618773,-10.15166,33.96851,1007.178
1.153909683,0.3014566,-0.05499045,0.1679787,-0.00557521,0.1573122,-0.9895884,4.618773,-10.15166,33.96851,1007.174
1.186474800,-0.06839588,0.004546709,-0.01582419,-0.00264911,0.1568666,-0.9900814,4.622824,-10.51806,33.52505,1007.175
1.221683979,-0.4974949,0.004825267,0.04536768,-0.005545817,0.1548804,-0.989142,4.989295,-10.51541,33.52386,1007.173
1.254248142,-0.3724119,-0.05406019,-0.13807,-0.007474653,0.152918,-0.9906203,4.989295,-10.51541,33.52386,1007.173
1.286813736,-0.1863118,0.1241364,-0.07678756,-0.009001936,0.1587277,-0.9900468,4.257984,-10.51812,33.97231,1007.173
1.321884155,0.183053,0.004704512,0.1065527,-0.001183086,0.1573517,-0.985725,4.624688,-10.51511,34.03485,1007.17
1.354444981,0.1824804,0.004387077,0.1062718,-0.0007194501,0.1583519,-0.9905438,4.624688,-10.51511,34.03485,1007.17
1.387010098,0.1205566,-0.114481,0.1059536,-0.002708719,0.1622072,-0.989033,3.880151,-9.793146,33.96828,1007.17
1.422080040,-0.002448466,-0.1142765,-0.07770657,-0.006549098,0.1572995,-0.9895876,4.989295,-10.51541,33.52386,1007.172
1.454645157,0.120327,-0.1732728,-0.07738963,-0.008903309,0.1509377,-0.9867821,4.989295,-10.51541,33.52386,1007.17
1.487210274,0.1197398,-0.05375393,-0.01598985,-0.009973796,0.1582357,-0.9915035,4.979563,-9.785206,33.96471,1007.173
1.522280693,0.1187126,0.1843127,-0.07727262,-0.006539404,0.1558549,-0.9925098,4.613092,-9.787852,33.9659,1007.169
1.554841995,-0.06567776,0.06538287,0.1063143,-0.006028328,0.1543904,-0.9896325,4.613092,-9.787852,33.9659,1007.173
1.587407112,-0.1261656,0.06507876,0.1061497,-0.008976978,0.1567796,-0.9891097,4.257984,-10.51812,33.97231,1007.173
1.619972229,0.1199178,0.06464574,0.04482458,-0.006045998,0.1548983,-0.9944584,4.991158,-10.51246,34.03366,1007.174
1.655042171,0.1804558,0.1830813,0.1058658,-0.002133599,0.1549183,-0.9876947,4.991158,-10.51246,34.03366,1007.172
1.687607288,-0.1271639,0.004134663,-0.2002749,-0.002190801,0.1602545,-0.9856797,4.991158,-10.51246,34.03366,1007.174
1.720172405,-0.3106295,-0.2335446,0.04464803,-0.005070974,0.1563357,-0.9871868,4.256353,-10.5207,33.52624,1007.174
1.755238056,-0.1867325,-0.1733555,0.1060353,-0.006562402,0.1587506,-0.9881153,4.256353,-10.5207,33.52624,1007.174
1.787803173,-0.001910001,-0.173134,-0.01621994,-0.006038778,0.1548851,-0.9915584,4.989295,-10.51541,33.52386,1007.176
1.820368290,-0.001593474,0.005772017,-0.01590441,-0.00170867,0.1602696,-0.9876134,4.619007,-10.15129,34.03224,1007.173
1.855438709,-0.1239469,0.06545122,0.04538414,-0.006533009,0.1563189,-0.9876691,4.619007,-10.15129,34.03224,1007.175
1.888003826,0.06100526,0.1249637,-0.1993874,-0.002635807,0.1554154,-0.9915536,4.983613,-10.1516,33.52125,1007.177
1.920569420,0.1832516,0.1841593,-0.07682861,-0.003136055,0.1568602,-0.990081,4.624688,-10.51511,34.03485,1007.177
1.955635071,0.428094,0.005281316,-0.01563751,-0.005545817,0.1548804,-0.989142,4.624688,-10.51511,34.03485,1007.174
1.988200188,0.1812043,0.1834041,0.106614,-0.004151057,0.1612031,-0.9861467,4.990926,-10.51283,33.96994,1007.176
2.020765305,-0.06494947,-0.05472614,0.1677051,-0.004107536,0.1568431,-0.9891135,4.622824,-10.51806,33.52505,1007.173
2.053330421,-0.2488424,0.1233429,-0.01596241,-0.005109235,0.1597349,-0.9866515,4.622824,-10.51806,33.52505,1007.173
2.088400364,-0.1861844,0.2411852,-0.01591175,-0.001671612,0.1568727,-0.988632,4.622824,-10.51806,33.52505,1007.175
2.120965481,0.2440892,0.1810572,-0.07743011,-0.004656117,0.1626567,-0.9866074,4.265296,-10.87935,34.421,1007.175
2.153526306,0.2428049,-0.05683964,0.1061769,-0.004621399,0.1578372,-0.9953818,4.265296,-10.87935,34.421,1007.173
2.188597202,-0.1268272,-0.05701946,-0.01634251,-0.002595964,0.152489,-0.9891813,4.622824,-10.51806,33.52505,1007.174
2.221162319,-0.3720725,-0.05699184,-0.07745628,-0.005488237,0.1500192,-0.9887329,4.983613,-10.1516,33.52125,1007.174
2.253726482,0.05928713,-0.1160167,0.1063425,-0.005107585,0.1587807,-0.9905331,4.983613,-10.1516,33.52125,1007.174
2.288796902,0.0587758,0.06224543,0.1064704,-0.007055741,0.1582803,-0.9929557,4.252303,-10.15431,33.9697,1007.176
2.321362019,0.1196588,-0.05710075,0.2899607,-0.004122422,0.1578215,-0.9905487,4.252303,-10.15431,33.9697,1007.177
2.353923321,0.1197307,-0.1167968,0.2284621,-0.006094845,0.1616461,-0.982271,4.259615,-10.51554,34.41839,1007.175
2.386488438,-0.06493454,0.2396321,0.04452769,-0.004145419,0.1607172,-0.9861541,4.259615,-10.51554,34.41839,1007.175
2.421558380,0.3652514,0.2389161,0.1054167,-0.0006606661,0.1534884,-0.9896514,4.254167,-10.15136,34.4795,1007.177
2.454123497,0.05724434,0.1790768,-0.01704708,-0.00212834,0.1539575,-0.9901263,4.257984,-10.51812,33.97231,1007.174
2.486688614,-0.3117677,0.000221526,-0.07815763,-0.004098289,0.1563506,-0.9876709,4.257984,-10.51812,33.97231,1007.176
2.521758556,0.05747268,-0.05914813,-0.01696062,-0.001167376,0.1558962,-0.9862305,4.263666,-10.88193,33.97493,1007.173
2.554319382,0.05752794,-0.177589,-0.01679558,-0.001698598,0.1593,-0.9881116,4.992557,-10.51024,34.41601,1007.175
2.586884499,-0.06541407,-0.1177015,0.04424201,-0.007030783,0.1563323,-0.9920188,4.992557,-10.51024,34.41601,1007.175
2.621955395,-0.06501095,0.0609965,0.04435479,-0.008457789,0.1533978,-0.9920622,4.985244,-10.14902,33.96732,1007.177
2.654520512,-0.1261576,0.1200236,-0.139002,-0.007496826,0.1553366,-0.9881665,4.614724,-9.78527,34.41198,1007.174
2.687084675,0.05872691,0.1790339,0.1055944,-0.004620641,0.158787,-0.9905335,4.614724,-9.78527,34.41198,1007.176
2.722419262,0.1198226,0.0595472,0.1054574,-0.001135131,0.152508,-0.9891825,4.985244,-10.14902,33.96732,1007.178
2.754980564,0.2422926,0.237673,-0.01725591,-0.003608492,0.1554005,-0.9910694,4.252303,-10.15431,33.9697,1007.178
2.787545681,-0.004573137,-0.0008277916,0.04384127,-0.003109448,0.1539579,-0.9930254,4.252303,-10.15431,33.9697,1007.176
2.820110798,-0.004342113,0.05858207,0.04377784,-0.002161788,0.1573478,-0.9876575,4.614724,-9.78527,34.41198,1007.177
2.855180263,-0.3109567,-0.1196702,-0.07844843,-0.005054439,0.1544031,-0.9896333,4.618773,-10.15166,33.96851,1007.181
2.887745857,-0.002438352,0.05862603,0.04413577,-0.007542307,0.1587489,-0.9905312,4.618773,-10.15166,33.96851,1007.177
2.920310974,0.1201053,0.1774051,-0.2620028,-0.004595684,0.156839,-0.9895965,4.981194,-9.782622,34.41079,1007.177
2.955376625,0.241707,-0.1201628,0.1052115,-0.005027453,0.1519757,-0.9901537,4.614956,-9.784901,34.4757,1007.177
2.987941742,0.05658338,0.05826615,0.0437751,-0.00213195,0.1539641,-0.9915763,4.614956,-9.784901,34.4757,1007.174
3.020506859,-0.1890817,0.1174725,-0.07859087,-0.007023185,0.156794,-0.9866945,4.985244,-10.14902,33.96732,1007.176
3.055577278,-0.1884062,0.1171249,0.1051026,-0.0001882282,0.1549481,-0.9886628,4.622824,-10.51806,33.52505,1007.172
3.088141918,0.05814365,0.05765153,-0.01730226,-0.006068617,0.1582689,-0.9876397,4.622824,-10.51806,33.52505,1007.172
3.120707035,-0.003273562,0.0576964,-0.07858472,-0.002660007,0.1583133,-0.9876423,4.622824,-10.51806,33.52505,1007.174
3.155773640,0.120027,-0.2991627,0.04385192,-0.00214532,0.1568422,-0.9833149,4.630136,-10.87928,33.97374,1007.175
3.188338757,0.05833829,0.05767371,-0.01743032,-0.008026465,0.1592131,-0.98714,4.630136,-10.87928,33.97374,1007.173
3.220903873,0.1810974,0.1763257,0.1050012,-0.005526876,0.1529434,-0.9906217,4.256353,-10.5207,33.52624,1007.173
3.253468037,0.1191793,-0.1213128,0.04391115,-0.001667556,0.155914,-0.9915469,4.983613,-10.1516,33.52125,1007.173
3.288538456,0.1191194,-0.00243386,-0.01715482,-0.002593557,0.1524846,-0.9882147,4.983613,-10.1516,33.52125,1007.171
3.321104050,0.05753089,0.05679563,0.1052564,-0.005068946,0.1558564,-0.9886442,4.252303,-10.15431,33.9697,1007.171
3.353664875,-0.003960963,-0.002674005,-0.01737946,-0.002111873,0.1534518,-0.9857836,4.983613,-10.1516,33.52125,1007.166
3.388734818,-0.1271527,0.05709837,0.1050956,-0.004540888,0.1515072,-0.9925781,4.983613,-10.1516,33.52125,1007.168
3.421299934,0.0578129,-0.002279319,-0.01715593,-0.003114707,0.1549188,-0.9905939,4.624455,-10.51547,33.97112,1007.168
3.453865051,-0.06503396,-0.1213439,-0.01729709,0.001263356,0.1554596,-0.9901066,4.618773,-10.15166,33.96851,1007.17
3.488934994,0.05809406,-0.06198296,0.04378637,-0.0002034919,0.1554516,-0.9925221,4.618773,-10.15166,33.96851,1007.169
3.521500111,0.1193266,0.05689583,-0.07877161,-0.004595238,0.1558869,-0.9939614,4.620405,-10.14908,34.41459,1007.169
3.554060936,0.1190138,0.05657081,0.04354522,-0.00505406,0.154878,-0.987209,4.990926,-10.51283,33.96994,1007.167
3.589130878,-0.004351258,-0.06278874,0.1045343,-0.00552086,0.1529324,-0.9882051,4.990926,-10.51283,33.96994,1007.167
3.621695995,-0.1276391,-0.062402,-0.01802178,-0.006027503,0.1539133,-0.9915733,4.257984,-10.51812,33.97231,1007.168
3.654261112,-0.1271957,0.1161645,0.04330868,-0.002162166,0.1568729,-0.9900817,4.257984,-10.51812,33.97231,1007.166
3.686826229,-0.3724397,-0.002580647,-0.07905544,-0.01046562,0.159665,-0.9866474,4.257984,-10.51812,33.97231,1007.166
3.721896172,-0.3709207,0.1160564,-0.01756673,-0.007471868,0.1533885,-0.9872294,4.630136,-10.87928,33.97374,1007.168
3.754457474,-0.1853088,0.2343401,-0.01761048,-0.004563885,0.1544028,-0.9881836,4.630136,-10.87928,33.97374,1007.168
3.787022591,-0.1847655,0.05497884,-0.01773068,-0.001651089,0.1554084,-0.9872043,4.630136,-10.87928,33.97374,1007.168
3.822093010,0.2457339,-0.1828314,-0.01788314,-0.004577189,0.155854,-0.9867112,4.257984,-10.51812,33.97231,1007.164
3.854657650,0.3063368,-0.003923144,0.104339,-0.0006582596,0.153484,-0.9886847,4.983613,-10.1516,33.52125,1007.165
3.887222767,0.4282002,-0.2414949,0.165094,-0.004572308,0.1544182,-0.991567,4.985244,-10.14902,33.96732,1007.163
3.922293186,0.1805395,-0.1809727,0.1038802,-0.0007250878,0.1588378,-0.9905365,4.985244,-10.14902,33.96732,1007.163
3.954854012,-0.6795732,-0.1206237,-0.07979591,-0.005590095,0.1582906,-0.9910235,4.618773,-10.15166,33.96851,1007.165
3.987418652,-0.7996068,-0.06061369,-0.1408427,-0.002618894,0.1539577,-0.9915758,4.257984,-10.51812,33.97231,1007.166
4.022489071,-0.6731387,0.2370382,-0.07963932,-0.0124158,0.159644,-0.9876127,4.257984,-10.51812,33.97231,1007.164
4.055054188,-0.4248063,0.1767773,0.1041298,-0.002739693,0.1641662,-0.9923868,4.257984,-10.51812,33.97231,1007.164
4.087619305,0.006517414,0.3538838,0.3488099,-0.009023284,0.1606691,-0.9895338,4.996607,-10.87664,33.97255,1007.164
