Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.811576366,70.53125,115.96875,3.895,265,0
1.866635799,70.51953,115.78125,3.89625,268.4375,0
2.745222568,70.50781,115.3125,3.896875,264.0625,0
3.800173283,70.50781,115.3125,3.895,259.6875,0
4.854928017,70.49219,115.125,3.895625,263.4375,0
5.733745575,70.48047,114.9375,3.895625,255.3125,0
6.788630962,70.46875,114.9375,3.89625,259.0625,0
7.843412399,70.45703,115.125,3.895,255.9375,0
8.722337246,70.45703,115.3125,3.894375,264.0625,0
9.777318954,70.44531,115.3125,3.89375,262.8125,0
10.831949711,70.43359,115.3125,3.89375,255,0
11.711362839,70.42188,115.5,3.89375,257.8125,0
12.765985966,70.41016,115.3125,3.895625,259.6875,0
13.820456505,70.39453,114.75,3.8925,273.4375,0
14.699597359,70.39453,114.75,3.89375,265,0
15.754342079,70.38281,114.5625,3.895,275.625,0
16.809288979,70.37109,114.46875,3.8925,255.3125,0
17.863795757,70.35938,114.5625,3.891875,258.75,0
18.742876530,70.34766,114.75,3.894375,268.75,0
19.797756672,70.33594,114.65625,3.894375,270.9375,0
20.852516651,70.32422,114.75,3.893125,285.9375,0
21.731434345,70.32422,114.84375,3.895,257.1875,0
22.786363125,70.3125,115.125,3.8925,257.1875,0
23.840963840,70.29688,115.125,3.8925,257.1875,0
24.720200062,70.28516,115.125,3.89375,257.1875,0
25.774958610,70.28516,115.125,3.894375,271.875,0
26.829853058,70.27344,115.03125,3.893125,265.9375,0
27.709370136,70.26172,115.21875,3.895,264.0625,0
28.763668060,70.25,115.21875,3.894375,263.75,0
29.818564415,70.23828,114.9375,3.89375,261.5625,0
30.697522163,70.22656,114.9375,3.89375,253.4375,0
31.752486229,70.22656,114.9375,3.89125,276.25,0
32.806961060,70.21484,114.65625,3.8925,271.875,0
33.861732960,70.19922,114.46875,3.89375,272.5,0
34.741007328,70.1875,114.5625,3.89375,255.625,0
35.795781136,70.17578,114.5625,3.89125,266.5625,0
36.850550175,70.16406,114.65625,3.89375,254.375,0
37.729562759,70.16406,114.375,3.89375,270.3125,0
38.784336567,70.15234,114.46875,3.89375,272.5,0
39.839096546,70.14063,114.65625,3.894375,263.125,0
40.718155861,70.12891,114.5625,3.89125,268.125,0
41.773063660,70.11719,114.75,3.891875,275.625,0
42.827558994,70.10156,114.84375,3.8925,265,0
43.706542492,70.10156,114.84375,3.891875,265,0
44.761338711,70.08984,114.75,3.89125,280.9375,0
45.816385269,70.07813,114.5625,3.8925,280.625,0
46.695299625,70.06641,114.46875,3.89375,253.75,0
47.750094891,70.05469,114.375,3.890625,286.5625,0
48.805043697,70.04297,114.65625,3.8925,256.25,0
49.859623909,70.04297,114.65625,3.8925,265.9375,0
50.738707066,70.03125,114.75,3.890625,269.0625,0
51.793422699,70.01953,115.21875,3.89375,255,0
52.848110199,70.00391,115.3125,3.891875,256.25,0
53.727424145,69.99219,114.9375,3.889375,270,0
54.781861782,69.99219,114.65625,3.89125,271.5625,0
55.836771965,69.98047,114.5625,3.889375,266.25,0
56.715768814,69.96875,114.65625,3.89,253.75,0
57.770370960,69.95703,114.9375,3.89125,256.25,0
58.825271606,69.94531,114.65625,3.89,256.875,0
59.704185009,69.93359,114.75,3.89,270.9375,0
60.759179115,69.93359,114.5625,3.8925,276.5625,0
61.814192772,69.92188,114.46875,3.890625,275.9375,0
62.869478226,69.90625,114.375,3.8925,257.1875,0
63.747734070,69.89453,114.5625,3.89,259.375,0
64.802515030,69.88281,114.5625,3.890625,263.125,0
65.857430458,69.88281,114.5625,3.891875,263.75,0
66.736422062,69.87109,114.5625,3.89125,259.375,0
67.791353226,69.85938,114.65625,3.891875,271.25,0
68.846060753,69.84766,114.46875,3.89,257.5,0
69.724816799,69.83594,114.46875,3.891875,266.25,0
70.779746532,69.82422,114.46875,3.891875,275.625,0
71.834547043,69.82422,114.75,3.89375,257.5,0
72.713372707,69.80859,114.84375,3.890625,312.5,0
73.768281937,69.79688,114.46875,3.890625,252.5,0
74.822946072,69.78516,114.28125,3.889375,255,0
75.702081680,69.77344,114.5625,3.89,250.3125,0
76.757079124,69.77344,114.5625,3.888125,255.3125,0
77.812046051,69.76172,114.28125,3.890625,255,0
78.866753578,69.75,114.28125,3.89,264.375,0
79.745499611,69.73828,114.5625,3.8925,260.9375,0
80.800299168,69.72656,114.65625,3.89,269.6875,0
81.855189800,69.71094,114.5625,3.889375,270.625,0
82.734199047,69.71094,114.65625,3.889375,243.4375,0
83.789294243,69.69922,114.46875,3.89,251.875,0
84.843602657,69.6875,114.46875,3.88875,284.0625,0
85.722473144,69.67578,114.46875,3.891875,256.5625,0
86.777479172,69.66406,114.65625,3.890625,268.75,0
87.832208633,69.65234,114.5625,3.889375,274.6875,0
88.711190700,69.65234,114.375,3.89,254.375,0
89.765992165,69.64063,114.375,3.890625,250,0
90.820577145,69.62891,114.1875,3.888125,249.375,0
91.699832439,69.61328,114.375,3.89125,257.1875,0
92.754448414,69.60156,113.90625,3.888125,253.125,0
93.809207439,69.58984,113.90625,3.88875,266.875,0
94.864203453,69.58984,113.90625,3.88875,255.9375,0
95.743072987,69.57813,113.90625,3.889375,272.1875,0
96.797953606,69.56641,114,3.89,268.125,0
97.852593899,69.55469,114.28125,3.891875,266.875,0
98.732146740,69.54297,114.375,3.89,261.5625,0
99.786535263,69.54297,114.375,3.888125,254.0625,0
