Time (s),Humidity (%)
0.834188938,16.86426
1.833677769,16.56445
2.833166599,16.70215
3.835160732,16.56445
4.834682465,16.12598
5.834171772,16.11426
6.833863735,16.55273
7.833353996,16.21484
8.835348606,17.00488
9.834838867,16.87891
10.834329128,17.12988
11.833819389,16.9668
12.833310604,17.28027
13.835306168,17.04297
14.834796905,17.19336
15.834287643,17.06836
16.833778858,17.51953
17.833489895,17.10645
19.835066318,17.64551
20.834557533,17.5332
21.834049225,16.68066
22.833544254,17.03223
23.833036423,17.14551
24.835049629,18.02246
25.834541798,18.18555
26.834033966,17.1582
27.833596706,17.94727
28.833089828,18.46191
29.835087776,18.34961
30.834580898,18.36133
31.834074020,18.32422
32.833567619,18.31152
33.833061218,18.03613
34.835060120,16.8584
35.834553719,18.19922
36.834145069,17.64844
37.833819389,17.24805
38.833313465,17.79883
39.835313320,17.43555
40.834807396,17.78711
41.834301472,17.56152
42.833796024,18.125
43.833291054,17.32422
44.832785130,17.59961
45.834785461,18.20117
46.834279537,18.25098
47.833774567,18.06348
48.833269596,17.46191
49.832763672,18.30078
50.834764004,19.5166
51.834258079,18.35156
52.834005833,18.46484
53.833500862,17.8877
54.832995415,17.96289
55.834995270,17.98828
56.834489346,17.83789
57.833984375,18.11328
58.833479404,17.75
59.832973957,18.12598
60.834973812,17.04883
61.834468842,17.14844
62.833963394,17.98828
63.833458424,18.15137
64.832953930,17.72559
65.832487583,18.62793
66.834488392,18.46484
67.833984375,18.25195
68.833570957,17.82617
70.832562447,18.34082
71.834563255,18.06445
72.834059238,18.67871
73.833619118,17.31348
74.833115101,17.57617
75.832665443,17.77734
76.834667206,17.55176
77.834221363,17.11328
78.833718300,17.51465
79.833214283,17.80273
80.832711220,17.15137
81.834888935,18.66699
82.834385872,17.61426
83.834002018,17.76563
84.833498955,17.31445
85.832996845,16.88867
86.832493782,17.65332
87.834496498,17.67871
88.833993912,17.20215
89.833491802,17.55273
90.832989216,17.12695
91.832487583,17.00195
92.834490299,16.96387
93.833988190,17.49121
94.833486080,17.62891
95.833011150,16.77637
96.832540035,16.77637
97.834543705,17.32813
98.834042072,17.83008
99.833540916,16.96484
100.833039761,17.01563
101.832538605,16.94043
102.834952831,17.37988
103.834452629,17.55469
104.833988190,17.62988
105.833487511,16.37695
106.832986355,17.85547
107.834991455,16.91602
108.834491253,16.90332
109.833990574,16.90332
110.833490372,17.0791
111.832990646,17.46777
112.832489967,18.20801
113.834495068,17.16699
114.834136486,17.54395
115.833636761,18.12012
117.832637310,16.7666
118.834642410,16.8916
119.834143162,17.35645
120.833643436,17.64453
121.833144188,17.15625
122.832644463,17.25586
123.834650993,17.58203
124.834151745,17.43164
125.833652496,16.90527
126.833153725,16.76758
127.832654476,16.67969
128.832298756,17.60742
129.834304810,17.23145
130.833806038,16.49121
131.833306789,16.75488
132.832828522,17.04297
133.832329750,17.30664
134.834336281,17.05566
135.833837032,17.54492
136.833338737,17.95898
137.832921505,17.7832
138.832597733,17.70801
139.834604740,17.00586
140.834106445,18.57324
141.833608150,16.95605
142.833110332,17.75879
143.832615852,17.74609
144.832118034,17.6582
146.833627701,17.29492
147.833130360,18.28613
148.832787037,17.84668
149.832290173,18.41113
150.834297657,18.07324
151.833800316,17.72266
152.833396912,17.27051
153.832899570,18.07324
154.832402706,17.42188
155.834411621,18.41211
156.833914280,17.93652
157.833495140,17.74805
158.832998753,18.25
159.832502365,18.40039
160.832005978,18.21191
