Time (s),Humidity (%)
0.101294041,15.62402
1.099501133,15.08301
2.100190640,15.34082
3.100880623,15.75977
4.101571083,15.07129
5.099778175,15.8584
6.100469112,15.16992
7.101159573,15.8584
8.101850510,15.25684
9.100059032,15.6875
10.100750923,14.45703
11.101441860,15.51563
12.099650860,15.31934
13.100342751,15.35547
14.101035118,15.60254
15.101727486,15.49219
16.099936485,14.92676
17.100629807,15.29492
18.101322651,15.2334
19.099532604,14.81641
20.100225449,15.93555
21.100919247,16.25586
22.101612568,15.70215
23.099822998,14.79199
24.100516319,15.91211
25.101210117,15.88672
26.099421501,14.98926
27.100115299,15.44434
28.100809574,14.90332
29.101503372,15.18652
30.099715233,14.95313
31.100409508,15.48242
32.101103783,14.73145
33.099315643,13.6123
34.100010872,14.04297
35.100705624,14.89258
36.101400852,16.03613
37.099613190,15.56934
38.100308895,15.22461
