Time (s),W,X,Y,Z
0.034250259,0.3310298,0.5530212,-0.6431258,-0.4093944
0.066530705,0.3310596,0.5530168,-0.6431266,-0.4093747
0.101294041,0.3310086,0.5530674,-0.6430926,-0.4094014
0.133574486,0.3309633,0.5531071,-0.6430619,-0.4094325
0.168337345,0.3308764,0.5532252,-0.6429642,-0.4094966
0.200618267,0.3308623,0.5532389,-0.6429467,-0.4095171
0.232898712,0.3309351,0.5531325,-0.6430434,-0.4094498
0.267661572,0.3308237,0.5532717,-0.64296,-0.409483
0.299942017,0.3307256,0.5534379,-0.6427885,-0.409607
0.334705353,0.3306155,0.5536292,-0.6426186,-0.4097039
0.366985798,0.3305736,0.5537246,-0.6425745,-0.4096777
0.401749134,0.3305526,0.553778,-0.64253,-0.4096924
0.434029579,0.3305345,0.5538343,-0.6424395,-0.4097726
0.466310024,0.3304906,0.5538425,-0.642441,-0.4097947
0.501073360,0.3304791,0.5538033,-0.6424962,-0.4097703
0.533353805,0.3305695,0.5536834,-0.6425655,-0.4097509
0.568117142,0.3305377,0.5538145,-0.6424202,-0.4098271
0.600397587,0.3304321,0.5539772,-0.6423166,-0.4098547
0.632678032,0.3303593,0.5540646,-0.6422501,-0.4098998
0.667440891,0.3302662,0.5541592,-0.6421227,-0.4100462
0.699721813,0.3301981,0.554212,-0.6420706,-0.4101114
0.734484672,0.3301984,0.5542005,-0.6420757,-0.4101186
0.766765118,0.3302131,0.554289,-0.6419964,-0.4101112
0.801528454,0.3303035,0.5542086,-0.6420638,-0.4100416
0.833808899,0.3303239,0.5541448,-0.6421188,-0.4100255
0.866089344,0.3302387,0.5542206,-0.642013,-0.4101573
0.900852680,0.330176,0.554235,-0.6419968,-0.4102134
0.933133125,0.3302435,0.5541571,-0.6420777,-0.4101378
0.967896461,0.330397,0.5540183,-0.6422265,-0.409969
1.000176907,0.3304324,0.5540479,-0.6421692,-0.4099898
1.034939766,0.3303865,0.5541295,-0.6420516,-0.4101007
1.067220688,0.3303116,0.5541811,-0.6420043,-0.4101654
1.099501133,0.3302683,0.5541842,-0.6420134,-0.4101819
1.134263992,0.3302715,0.5541598,-0.6420509,-0.4101534
1.166544437,0.3303081,0.5541329,-0.6420972,-0.4100881
1.201307774,0.3304013,0.5540256,-0.6422098,-0.4099815
1.233588219,0.3304231,0.5539874,-0.6422551,-0.4099446
1.268351555,0.330308,0.5541036,-0.6421858,-0.4099891
1.300632000,0.3301877,0.5542558,-0.6420512,-0.4100907
