Time (s),W,X,Y,Z
0.014383793,0.1655903,0.6169566,-0.5310072,-0.5537177
0.046944141,0.1655598,0.6169866,-0.5309549,-0.5537435
0.082009316,0.1656111,0.6169721,-0.5309585,-0.5537412
0.114570141,0.1656097,0.616966,-0.530952,-0.5537544
0.147130489,0.1656142,0.6169629,-0.5309722,-0.5537373
0.182195663,0.1655467,0.6169744,-0.5309799,-0.5537372
0.214755535,0.1654101,0.6170617,-0.5309101,-0.5537477
0.247315884,0.1653659,0.6170625,-0.5309228,-0.553748
0.279876232,0.1654677,0.6170025,-0.5309808,-0.5537286
0.314941406,0.1655069,0.6170024,-0.5309218,-0.5537735
0.347501755,0.1655168,0.6170146,-0.5308806,-0.5537967
0.380062580,0.1655235,0.6170198,-0.530871,-0.553798
0.415126800,0.1656192,0.6169336,-0.5309511,-0.5537887
0.447687149,0.1656049,0.6169482,-0.5309324,-0.5537946
0.480247974,0.1655785,0.616963,-0.5309015,-0.5538155
0.515313148,0.1655075,0.6170229,-0.5308852,-0.5537859
0.547873497,0.1655535,0.6170512,-0.5309016,-0.5537248
0.580433845,0.1655794,0.6170617,-0.5308642,-0.5537412
0.615499020,0.1654911,0.6171565,-0.5306888,-0.5538301
0.648058891,0.1654067,0.6172355,-0.5305732,-0.553878
0.680619240,0.1652948,0.6173393,-0.5304613,-0.5539029
0.713180065,0.1652084,0.6174414,-0.5303838,-0.5538889
0.748244762,0.165267,0.6173686,-0.5304434,-0.5538954
0.780805588,0.1654041,0.6172997,-0.5305526,-0.5538269
0.813365936,0.1654861,0.6172535,-0.530636,-0.553774
0.848430634,0.165471,0.6172362,-0.5306985,-0.553738
0.880990982,0.1654882,0.6172163,-0.5307189,-0.5537353
0.913551331,0.1654728,0.6172644,-0.5306855,-0.5537184
0.948616505,0.1654417,0.6172783,-0.5306297,-0.5537657
0.981176853,0.1654607,0.6173019,-0.5306076,-0.5537546
1.013737679,0.1654799,0.6173167,-0.5305408,-0.5537967
1.048802376,0.1654923,0.6173112,-0.5305033,-0.553835
1.081362247,0.1655058,0.6173162,-0.5305038,-0.5538246
1.113923073,0.1654688,0.6173571,-0.5304807,-0.5538124
1.146483421,0.1654818,0.6173397,-0.5305244,-0.5537862
1.181548595,0.1654114,0.6173363,-0.530528,-0.5538074
1.214108944,0.1652751,0.6174324,-0.5304493,-0.5538164
1.246669293,0.1652912,0.617398,-0.5304956,-0.5538056
1.281734467,0.1652858,0.6174216,-0.5304844,-0.5537916
1.314294338,0.1651942,0.6175249,-0.5303428,-0.5538393
1.346854687,0.1652395,0.6175342,-0.5303006,-0.5538559
1.381919861,0.1653121,0.6175048,-0.5303702,-0.5538004
1.414480686,0.165366,0.6174346,-0.5304707,-0.5537664
1.447041035,0.1652801,0.6174778,-0.5304801,-0.5537347
1.482106209,0.1652075,0.6174677,-0.5305291,-0.5537208
1.514666557,0.1652871,0.6173667,-0.53065,-0.5536939
