Time (s),Power (dBm),Percentage (%)
0.317003250,-65,70
0.816981792,-65,70
1.316963196,-65,70
1.817140102,-65,70
2.316793919,-65,70
2.817184448,-65,70
3.316934109,-65,70
3.816956043,-65,70
4.316978455,-62,76
4.817127705,-64,72
5.316882610,-65,70
5.817115307,-62,76
6.316787720,-62,76
6.817125320,-59,82
7.316855908,-65,70
7.817004204,-59,82
8.316991329,-57,86
8.817067146,-57,86
9.316803932,-60,80
9.817127705,-55,90
10.316734791,-65,70
10.817082405,-55,90
11.316771030,-59,82
11.816927910,-57,86
12.316898346,-59,82
12.817064285,-53,94
13.316727161,-55,90
13.816987991,-57,86
14.316744328,-62,76
14.817094803,-53,94
15.316709042,-65,70
15.816878796,-67,66
16.316927910,-65,70
16.817035198,-57,86
17.316705227,-60,80
17.817047596,-62,76
18.316763878,-62,76
18.817077160,-57,86
19.316892147,-62,76
19.816887855,-57,86
20.316922665,-55,90
20.816969395,-60,80
21.316678047,-60,80
21.817059040,-60,80
22.316690922,-59,82
22.816894054,-60,80
23.316869259,-60,80
23.816839218,-60,80
24.316704273,-60,80
24.816988468,-62,76
25.316648483,-60,80
25.816833496,-61,78
26.316661358,-60,80
26.816981792,-60,80
27.316666126,-62,76
27.816884518,-62,76
28.316877842,-60,80
28.816932678,-62,76
29.316657543,-62,76
29.816978931,-62,76
30.316680908,-60,80
30.816959381,-59,82
31.316825390,-62,76
31.816823006,-57,86
32.316818237,-57,86
32.816910744,-59,82
33.316630364,-57,86
33.816989422,-59,82
34.316649437,-55,90
34.816899776,-69,62
35.316836357,-57,86
35.816775799,-59,82
36.316586018,-57,86
36.816804409,-57,86
37.316659927,-59,82
37.816967010,-51,98
38.316585064,-59,82
