Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.579207420,89.03516,145.59375,4.020625,274.0625,0
1.634204864,89.02344,145.59375,4.021875,258.75,0
2.512950420,89.02344,145.5,4.015625,260,0
3.567795277,89.01172,145.5,4.019375,269.375,0
4.622628689,89,145.59375,4.0225,253.125,0
5.501680851,88.98828,145.59375,4.0175,257.8125,0
6.556497574,88.97656,145.59375,4.02,252.8125,0
7.611020565,88.96484,145.5,4.019375,260,0
8.490171909,88.96484,145.5,4.018125,272.1875,0
9.544980526,88.94922,145.6875,4.020625,245.625,0
10.599628925,88.9375,145.5,4.02,277.1875,0
11.654772758,88.92578,145.59375,4.019375,272.1875,0
12.533481121,88.91406,145.6875,4.01875,259.0625,0
13.588366985,88.90234,145.78125,4.02,273.125,0
14.643156052,88.90234,146.15625,4.020625,265.9375,0
15.522191524,88.89063,146.0625,4.018125,264.375,0
16.577112675,88.87891,146.0625,4.019375,267.1875,0
17.631659508,88.86719,146.0625,4.019375,266.5625,0
18.510735035,88.85156,146.0625,4.01875,270.625,0
19.565510750,88.83984,146.0625,4.019375,260.3125,0
20.620171547,88.83984,145.6875,4.020625,259.6875,0
21.499492168,88.82813,145.40625,4.018125,253.75,0
22.554029465,88.81641,145.5,4.01875,259.6875,0
23.608892918,88.80469,145.6875,4.01875,265.625,0
24.488120079,88.80469,145.6875,4.019375,262.5,0
25.542655468,88.79297,145.875,4.01625,256.25,0
26.597520828,88.78125,146.15625,4.019375,266.875,0
27.652320385,88.76953,145.875,4.015625,265.3125,0
28.531352997,88.75391,145.875,4.018125,249.6875,0
29.586101055,88.74219,146.0625,4.01875,262.8125,0
30.640967846,88.74219,146.0625,4.015625,265.625,0
31.519867897,88.73047,146.15625,4.02,247.1875,0
32.574687004,88.71875,146.25,4.018125,271.5625,0
33.629539490,88.70703,146.34375,4.016875,276.875,0
34.508616447,88.69531,146.25,4.019375,256.5625,0
35.563242435,88.68359,145.96875,4.01875,277.5,0
36.617928028,88.68359,146.15625,4.016875,253.75,0
37.497117996,88.67188,145.96875,4.01875,269.375,0
