Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.022530079,-0.259937,-0.09708831,0.1050594,-0.2703466,-0.4098209,0.8623789,-0.7268143,36.93176,-30.53915,1007.152
0.057176590,-0.259937,-0.03790329,0.04377241,-0.2620617,-0.4064872,0.859437,-1.476658,37.32931,-30.09086,1007.151
0.089348793,0.1086454,0.1396517,-0.07880163,-0.2655341,-0.4084558,0.8536692,-0.7207785,37.31857,-30.09473,1007.151
0.121520519,-0.997102,-0.09708831,-0.3239497,-0.2717516,-0.4083093,0.8686704,-0.7207785,37.31857,-30.09473,1007.154
0.156167984,-0.259937,-0.1562733,0.04377241,-0.2655524,-0.4079889,0.8512633,-1.104239,37.69939,-30.54094,1007.154
0.188339710,-0.1985066,-0.2154583,0.04377241,-0.2645805,-0.4099317,0.8517202,-1.103982,38.08052,-30.5428,1007.152
0.222986221,-0.0756458,0.1396517,0.2889205,-0.265945,-0.406449,0.8618836,-1.103982,38.08052,-30.5428,1007.152
0.255158901,0.1700758,0.3172068,0.1050594,-0.2655685,-0.410905,0.8507574,-1.103982,38.08052,-30.5428,1007.152
0.289805412,-1.242824,0.2580218,-0.07880163,-0.2693809,-0.4083844,0.8604537,-1.104496,37.31826,-30.53908,1007.151
0.321977139,-0.3213674,0.1396517,-0.07880163,-0.2669876,-0.4137583,0.8574951,-1.104496,37.31826,-30.53908,1007.151
0.356623650,0.04721503,-0.03790329,0.04377241,-0.26407,-0.4132987,0.8560256,-1.104239,37.69939,-30.54094,1007.149
0.388796329,-0.3213674,-0.09708831,0.2889205,-0.2684154,-0.4040467,0.8571065,-0.7265568,37.31289,-30.54101,1007.149
0.423442840,-0.1985066,0.1396517,0.1663465,-0.2626507,-0.4172151,0.8526062,-0.7265568,37.31289,-30.54101,1007.155
0.455614567,-0.6899499,-0.03790329,0.04377241,-0.2650585,-0.4065352,0.8512707,-0.7260427,38.07515,-30.54473,1007.153
0.490262031,-0.4442283,-0.03790329,0.1663465,-0.2689254,-0.4093836,0.8570672,-1.476144,38.09157,-30.09458,1007.153
0.522433758,0.1700758,0.1988368,0.1663465,-0.2660138,-0.4113473,0.8560598,-1.476144,38.09157,-30.09458,1007.153
0.557080269,-0.6899499,-0.2746433,-0.01751461,-0.2684841,-0.409912,0.8517568,-1.09846,37.70507,-30.09466,1007.151
0.589251995,-0.3213674,-0.09708831,-0.1400886,-0.2567528,-0.4128539,0.8554791,-0.720521,37.6997,-30.09659,1007.15
0.621424675,-0.259937,0.02128172,0.04377241,-0.2626266,-0.4113904,0.852654,-0.720521,37.6997,-30.09659,1007.152
0.656071186,-0.1370762,-0.09708831,0.2276335,-0.266939,-0.4098456,0.8613829,-0.720521,37.6997,-30.09659,1007.152
0.688243389,-0.997102,-0.09708831,0.04377241,-0.2660199,-0.4128035,0.8560479,-1.109759,38.07484,-30.98908,1007.152
0.722889900,-0.259937,0.3172068,-0.3239497,-0.2659975,-0.4122996,0.8584619,-1.109759,38.07484,-30.98908,1007.15
0.755062103,-1.240457,0.02099804,-0.2617128,-0.2586884,-0.4128293,0.8574253,-1.860118,37.71012,-30.53707,1007.15
0.789708614,0.4203891,-0.03762988,0.228694,-0.2660362,-0.409917,0.8526979,-1.47088,37.335,-29.64458,1007.148
0.821880817,-0.255459,0.02169019,0.1665903,-0.2655541,-0.4142769,0.8541034,-1.47088,37.335,-29.64458,1007.148
0.856527805,-0.3778727,0.3164063,0.16584,-0.2650235,-0.4156912,0.8598709,-0.7265568,37.31289,-30.54101,1007.148
0.888700008,-0.7435656,0.1968024,-0.01788953,-0.2650194,-0.4147204,0.8598788,-0.7262993,37.69402,-30.54287,1007.148
0.923346519,-0.0655314,0.07845919,-0.2012878,-0.2660118,-0.4108619,0.8560638,-0.7262993,37.69402,-30.54287,1007.148
0.955518246,-0.1871999,0.1374914,-0.01662547,-0.2563139,-0.4070981,0.8468465,-1.470366,38.09726,-29.6483,1007.147
0.990165234,-0.7389432,0.1958133,0.04475363,-0.2679839,-0.4118376,0.8541462,-1.086904,37.71644,-29.2021,1007.148
1.022337437,-0.1835205,0.01807257,-0.01671581,-0.2684959,-0.4166928,0.8536289,-1.086904,37.71644,-29.2021,1007.152
1.056983948,-0.6123993,-0.5734294,-0.01712281,-0.2665319,-0.4166915,0.8550567,-1.481922,38.08589,-30.54086,1007.152
1.089156151,0.9226379,-0.2764478,0.1049635,-0.2650947,-0.412371,0.8497769,-1.092425,38.09189,-29.65024,1007.152
1.123803139,-0.1844222,-0.2750859,-0.07903124,-0.2665402,-0.4137976,0.8526706,-0.7202644,38.08084,-30.09845,1007.152
1.155974865,0.3073294,0.1397732,-0.07876654,-0.2660725,-0.4147857,0.8507301,-0.7202644,38.08084,-30.09845,1007.151
1.188146591,0.7351255,0.3755719,0.1053771,-0.2631246,-0.4138149,0.8526386,-1.09846,37.70507,-30.09466,1007.151
1.222794056,-0.2484627,-0.3941635,0.2889679,-0.2699171,-0.4180973,0.8594146,-0.720521,37.6997,-30.09659,1007.151
1.254965782,0.4258949,-0.1568931,0.1043132,-0.2635719,-0.4128084,0.8569891,-0.720521,37.6997,-30.09659,1007.153
1.289612293,-0.1266129,-0.03772368,-0.01843027,-0.2607174,-0.4119225,0.8478118,-1.103724,38.46165,-30.54466,1007.153
1.321784973,-0.1272526,0.4346476,-0.201774,-0.2694456,-0.413279,0.855112,-1.104753,36.93712,-30.53722,1007.149
1.356431484,-0.1256152,0.07824253,-0.01727725,-0.2695166,-0.4167285,0.8483362,-1.104753,36.93712,-30.53722,1007.149
1.388603210,0.1820102,-0.335777,0.4113986,-0.2699781,-0.4162185,0.8512367,-1.104239,37.69939,-30.54094,1007.149
1.423250675,0.3643655,0.01993432,0.04283176,-0.2626408,-0.4109198,0.85073,-0.7207785,37.31857,-30.09473,1007.149
1.455422401,0.9753729,-0.09859145,-0.08022436,-0.2669753,-0.4147143,0.8594151,-0.7207785,37.31857,-30.09473,1007.148
1.490068912,0.2356607,0.01987696,-0.2026,-0.2688747,-0.4078867,0.8623811,-1.09846,37.70507,-30.09466,1007.15
1.522240639,-0.7465671,-0.09818381,-0.2629456,-0.2655524,-0.4079889,0.8512633,-0.3370609,37.31889,-29.65038,1007.148
1.556888103,0.2363781,0.4336124,-0.0173548,-0.2645743,-0.4123439,0.8536282,-0.3370609,37.31889,-29.65038,1007.148
1.589059830,0.174485,0.3137903,0.04342625,-0.2674615,-0.410358,0.8575276,-0.7268143,36.93176,-30.53915,1007.148
1.623706341,-0.07075024,0.01698935,0.1040422,-0.2679616,-0.4113338,0.8565602,-0.3425817,37.69433,-30.09852,1007.148
1.655879021,0.297195,-0.04224609,0.1034643,-0.2670607,-0.4138248,0.8488193,-0.3425817,37.69433,-30.09852,1007.148
1.690525532,0.5417658,-0.1012455,-0.01908338,-0.2640762,-0.4108865,0.8541176,-0.7265568,37.31289,-30.54101,1007.148
1.722697258,0.3555554,-0.04177769,-0.08035005,-0.2640864,-0.4113793,0.8531497,-0.7265568,37.31289,-30.54101,1007.148
1.754869461,-0.01341665,0.01750329,0.1645682,-0.2660422,-0.4123402,0.85316,-0.7265568,37.31289,-30.54101,1007.15
1.789516449,0.6609698,0.3723504,-0.01951572,-0.2635514,-0.4166583,0.8612951,-1.110016,37.6937,-30.98722,1007.15
1.821688175,-0.0785029,0.07570601,-0.08091517,-0.2645236,-0.4108471,0.8589421,-0.7144861,38.08652,-29.65217,1007.15
1.856334686,1.147636,0.0162073,0.2861434,-0.2699135,-0.4093897,0.8556304,-0.7144861,38.08652,-29.65217,1007.15
1.888507366,-0.2671465,-0.2788922,0.2850925,-0.266034,-0.414267,0.855072,-0.7202644,38.08084,-30.09845,1007.149
1.923153877,0.2849728,0.1363295,-0.08340022,-0.264554,-0.4113584,0.8555642,-1.104496,37.31826,-30.53908,1007.149
1.955326080,0.222612,0.01822028,-0.08305991,-0.267435,-0.4108176,0.8608975,-1.104496,37.31826,-30.53908,1007.149
1.989973068,0.406118,-0.3360414,0.2241046,-0.2674755,-0.4137558,0.8574997,-0.720521,37.6997,-30.09659,1007.149
2.022144794,0.7110949,-0.3349499,0.1625575,-0.2656315,-0.4114458,0.8435236,-1.470622,37.71613,-29.64644,1007.151
2.056791306,1.013237,-0.09755667,0.2227273,-0.2669433,-0.4050138,0.8585308,-1.470622,37.71613,-29.64644,1007.151
2.088963509,0.6421431,-0.215102,0.2215695,-0.2684432,-0.4156777,0.8594208,-1.098718,37.32394,-30.0928,1007.149
2.123610497,0.3933926,-0.3322493,-0.2078738,-0.2645136,-0.4084201,0.8589621,-1.482436,37.32362,-30.53714,1007.149
2.155782223,0.08446384,0.02371381,-0.02328053,-0.2615636,-0.4059968,0.8604004,-1.482436,37.32362,-30.53714,1007.149
2.190429688,0.5142974,0.4968109,-0.02281347,-0.2626064,-0.4084706,0.8536418,-1.104496,37.31826,-30.53908,1007.146
