Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.610934257,89.04688,148.40625,4.02375,260.625,0
1.489590168,89.03516,148.5,4.023125,255.9375,0
2.544287205,89.02344,148.5,4.023125,262.8125,0
3.599208355,89.01172,148.5,4.0225,262.5,0
4.478211403,89,148.21875,4.02125,276.5625,0
5.532972813,89,148.21875,4.0225,264.6875,0
6.587868214,88.98828,148.125,4.020625,261.5625,0
7.466784954,88.97656,148.21875,4.019375,260,0
8.521857262,88.96484,148.3125,4.02,260.625,0
9.576287746,88.94922,148.21875,4.0225,269.6875,0
10.631203175,88.9375,148.3125,4.021875,273.4375,0
11.510091782,88.9375,148.5,4.020625,251.5625,0
12.564909458,88.92578,148.21875,4.02125,267.8125,0
13.619781971,88.91406,148.125,4.023125,256.5625,0
14.498736858,88.90234,147.65625,4.021875,259.0625,0
15.553770065,88.89063,147.75,4.02125,260.9375,0
16.608191490,88.89063,148.125,4.0225,248.75,0
17.487752914,88.87891,147.65625,4.020625,289.0625,0
18.541981220,88.86719,147.65625,4.01875,277.1875,0
19.596876621,88.85156,147.5625,4.023125,260.3125,0
20.475774765,88.83984,147.75,4.02,254.0625,0
21.530696869,88.82813,148.03125,4.021875,256.25,0
22.585392952,88.82813,148.125,4.021875,256.875,0
23.464509010,88.81641,148.21875,4.01875,263.4375,0
24.519243240,88.80469,148.59375,4.021875,255,0
25.573897362,88.79297,148.59375,4.02,253.125,0
26.628807068,88.78125,148.5,4.021875,259.6875,0
27.507727146,88.78125,148.40625,4.02,263.4375,0
28.562665462,88.76953,148.59375,4.021875,272.1875,0
29.617546081,88.75391,148.59375,4.019375,262.8125,0
30.496455669,88.74219,148.3125,4.02,260,0
31.551398754,88.73047,148.3125,4.019375,258.75,0
32.606008530,88.73047,147.9375,4.019375,274.375,0
33.485213756,88.71875,148.03125,4.018125,273.75,0
34.539813042,88.70703,148.21875,4.01875,259.0625,0
35.594450474,88.69531,148.125,4.019375,257.8125,0
36.473605156,88.68359,148.03125,4.020625,257.5,0
37.528243542,88.68359,148.03125,4.020625,255,0
