Time (s),Humidity (%)
0.632829189,13.31445
1.633759022,14.58496
2.632167816,13.38965
3.633097649,13.58887
4.631506920,14.53516
5.632437229,13.44043
6.633368015,12.51855
7.631777763,13.31641
8.632709026,13.3291
9.633640289,13.47852
10.632050514,12.95508
11.632982254,12.73145
12.633913994,13.44141
13.632324696,13.2793
14.633256912,12.89355
15.631668091,13.47949
16.632600307,12.96875
17.633533001,13.82813
18.631944179,14.04004
19.632877827,13.60449
20.633810043,13.01953
21.632222176,12.82031
22.633155346,13.55469
23.631567478,12.25977
24.632501125,12.18457
25.633434296,13.29395
26.631846905,13.24414
27.632781029,12.54688
28.633714676,13.49316
29.632127285,12.57129
30.633061886,13.07031
31.631474495,12.6709
32.632409096,13.53125
33.633343697,13.31934
34.631757259,13.1582
35.632691383,12.27344
36.633625984,12.63477
37.632040024,11.96094
