Time (s),Humidity (%)
0.881100655,15.49902
1.881669044,16.50879
2.882198811,16.04785
3.882729053,15.8291
4.880852222,16.41406
5.881396294,15.50195
6.881927967,16.14648
7.882459640,15.62402
8.880517960,15.40527
9.881051064,16.17285
10.881584167,15.94238
11.882157803,16.36914
12.882758141,14.98145
13.880946159,16.45508
14.881481171,16.84473
15.882016182,16.06641
16.882568836,14.72754
17.880731583,15.78711
18.881307602,14.89844
19.881942749,15.77539
20.882479668,15.08203
21.880534172,15.22852
22.881071091,14.98535
23.881608963,14.70605
24.882147312,15.79004
25.882685184,15.12012
26.880893707,15.20605
27.881432056,15.5957
28.881970406,15.1084
29.882508755,15.1582
30.880565166,16.07129
31.881103516,15.21875
32.881642818,15.88867
33.882182598,15.13379
34.882721424,15.3418
35.880778789,16.08398
36.881317615,15.4873
37.881982326,15.04883
38.882521629,15.90137
39.880578995,15.74316
40.881118774,15.38965
41.881689548,15.70703
42.882229328,15.28125
43.880286694,15.48828
44.880826473,15.54883
45.881366730,15.37891
46.881906509,15.37891
47.882446766,15.0498
48.880504608,14.98926
49.881045818,15.63477
50.881587028,15.28223
51.882342815,15.57422
52.880468369,15.83008
53.881010056,14.94141
54.881551743,15.81934
55.882094383,15.92871
56.882636547,15.17383
57.880696297,16.02637
58.881239414,15.67383
59.881842136,15.72363
60.882385731,16.75879
61.880446911,14.84668
62.880990505,16.15039
63.881535053,15.32227
64.882079124,15.01758
65.880141735,15.00586
66.880691051,15.26172
67.881236076,15.0791
68.881799698,15.15234
69.882348061,14.86035
70.880410671,15.75
71.880956173,16.21289
72.881502151,16.22559
73.882174492,15.67773
74.880238056,15.94629
75.880859375,14.91016
76.881505489,15.82422
77.882051945,15.33691
78.880177021,16.09277
79.880796909,15.49512
80.881343365,15.90918
81.881889820,14.77637
82.882436275,15.10547
83.880499363,15.11719
84.881045818,15.37305
85.881592274,15.75098
86.882391930,15.51953
87.880455494,15.36133
88.881001472,14.80078
89.881547928,14.8252
91.880157948,15.60449
92.880802155,15.73828
93.881348610,15.8125
94.881895065,15.99512
95.882442474,16.46973
96.880557537,15.26367
97.881104469,15.71484
98.881650925,14.78906
99.882197857,15.33691
100.880277634,15.47168
101.880824566,15.06934
102.881372452,15.62988
103.881919384,15.66699
104.879983902,15.93457
105.880531788,15.63086
106.881080151,15.49609
107.881628036,14.91211
108.882175446,15.61914
109.880383491,15.11914
110.880931854,15.27832
111.881479740,15.47266
