Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.029736519,-0.007494915,0.2242202,0.2632544,-0.9316437,-0.01483931,-0.3136266,31.32664,-16.95383,9.20598,1007.304
0.062292099,-0.1926828,0.3425662,-0.1042665,-0.9326075,-0.01724859,-0.320913,31.33395,-17.31506,9.654663,1007.307
0.097352505,0.3606167,0.04444167,0.01820643,-0.9297249,-0.01333421,-0.3184392,30.97153,-17.6841,9.212393,1007.307
0.129909039,-0.07046463,-0.07421638,-0.104305,-0.9360994,-0.0100066,-0.3203158,30.97153,-17.6841,9.212393,1007.305
0.162460804,-0.2540457,-0.3112778,0.2018294,-0.9306529,-0.01628434,-0.3136496,31.6988,-17.315,9.207403,1007.303
0.195016861,-0.3761806,-0.1317342,0.3230791,-0.9321786,-0.01000195,-0.3101687,30.95877,-16.95869,8.824823,1007.306
0.230077267,0.05525569,0.04654042,0.2606539,-0.9292541,-0.01234725,-0.3203582,30.95877,-16.95869,8.824823,1007.302
0.262632847,0.1775834,0.3431025,-0.1068564,-0.9355727,-0.0129267,-0.317944,30.96585,-17.32029,9.209782,1007.302
0.295189380,0.237924,0.2830436,-0.1675819,-0.9370351,-0.01199151,-0.3140613,30.97153,-17.6841,9.212393,1007.302
0.330249309,0.05239382,-0.1332408,0.07770186,-0.9380178,-0.01246375,-0.3198681,30.97153,-17.6841,9.212393,1007.302
0.362802029,-0.132074,-0.1323806,0.07790306,-0.9345316,-0.01779287,-0.3136689,30.97153,-17.6841,9.212393,1007.301
0.395357609,-0.0702396,0.1056719,0.0167506,-0.9316707,-0.01383893,-0.3198952,31.33801,-17.68145,9.211203,1007.301
0.430418014,-0.00859708,0.2239645,0.0776652,-0.931201,-0.01142281,-0.3155084,31.33801,-17.68145,9.211203,1007.301
0.462974071,0.2371421,0.3419948,0.01641797,-0.9321532,-0.01290203,-0.3135965,31.33232,-17.31764,9.208591,1007.303
0.495530605,0.1746865,0.1032178,0.01661975,-0.929698,-0.0143346,-0.3121707,30.97317,-17.68152,9.658464,1007.303
0.530590057,-0.2560583,-0.07500654,-0.105852,-0.9307769,-0.0070213,-0.3202754,30.97317,-17.68152,9.658464,1007.301
0.563142776,-0.1323649,-0.2529196,0.07764047,-0.9351026,-0.01146262,-0.3179221,30.96609,-17.31992,9.273506,1007.303
0.595698357,0.1752908,-0.1333933,0.01656609,-0.9262978,-0.01427477,-0.3155566,30.96445,-17.3225,8.827435,1007.303
0.628254414,-0.009890225,0.1046635,0.01667139,-0.9311962,-0.0114316,-0.3135751,30.96445,-17.3225,8.827435,1007.307
0.663314819,0.05090901,0.103738,0.07810429,-0.9331512,-0.01144381,-0.3164736,31.32524,-16.95605,8.823633,1007.305
0.695871353,-0.07260417,0.162684,0.07790104,-0.9326457,-0.01384943,-0.3203778,31.33801,-17.68145,9.211203,1007.305
0.728426933,0.05034095,0.04388022,0.07767938,-0.9331501,-0.01001905,-0.3092012,31.33801,-17.68145,9.211203,1007.304
0.763483524,0.1116089,0.04394865,0.016216,-0.9345622,-0.01535893,-0.3145984,30.96017,-16.95648,9.20717,1007.308
0.796039581,-0.1958268,-0.01558065,0.01632264,-0.9365747,-0.01050985,-0.3179061,31.70611,-17.67622,9.656086,1007.308
0.828595161,-0.1340416,-0.01559143,0.07762793,-0.9325593,-0.02019042,-0.3151575,31.70611,-17.67622,9.656086,1007.306
0.863655567,-0.1339743,0.04431202,-0.1669921,-0.935603,-0.008590874,-0.3096604,30.60101,-17.32035,9.657042,1007.306
0.896211624,0.2345783,-0.1340316,-0.2275875,-0.9331609,-0.009999271,-0.3135513,31.34369,-18.04527,9.213814,1007.311
0.928767681,-0.5030472,0.1633413,-0.3486553,-0.9296734,-0.01675755,-0.3136578,31.34369,-18.04527,9.213814,1007.309
0.963824272,-0.009314481,-0.2534803,-0.1638916,-0.9345601,-0.01583824,-0.3160559,31.33256,-17.31727,9.272316,1007.309
0.996380329,0.1131611,-0.1339147,-0.04118967,-0.9311257,-0.01821894,-0.3170623,31.33801,-17.68145,9.211203,1007.307
1.028935909,-0.07176655,-0.1337978,-0.04159762,-0.9331158,-0.01388654,-0.3136106,31.33801,-17.68145,9.211203,1007.305
1.063996315,-0.3166159,-0.1332853,0.3862323,-0.9369707,-0.01876786,-0.3199653,30.96017,-16.95648,9.20717,1007.31
1.096552372,-0.3768143,-0.4290272,0.6293978,-0.9302379,-0.01139033,-0.3198592,30.96585,-17.32029,9.209782,1007.308
1.129108906,-0.3137896,-0.4867217,0.3215456,-0.9298099,-0.005093533,-0.3139631,30.96585,-17.32029,9.209782,1007.308
1.161660671,-0.3123752,0.1090452,0.1367137,-0.9350496,-0.01441324,-0.3102332,31.33256,-17.31727,9.272316,1007.308
1.196721077,0.05719554,0.1089391,0.01361887,-0.9326164,-0.01628117,-0.3199315,31.33824,-17.68108,9.274927,1007.306
1.229276657,0.240869,0.3462133,-0.2309461,-0.9365256,-0.0139288,-0.3140914,31.33824,-17.68108,9.274927,1007.304
1.261833191,0.3010092,0.2858251,-0.1688823,-0.9277324,-0.01624404,-0.3141352,30.61238,-18.04798,9.662264,1007.309
1.296911239,-0.1925701,0.106501,-0.2288603,-0.9292525,-0.01044757,-0.3106616,30.97317,-17.68152,9.658464,1007.307
1.329467773,1.034517,0.2247498,-0.227659,-0.9287531,-0.009988274,-0.3034045,30.97317,-17.68152,9.658464,1007.307
1.362019539,0.4795044,0.2225464,-0.1044473,-0.9282057,-0.01865357,-0.319972,31.33824,-17.68108,9.274927,1007.307
1.397079944,-0.137102,0.1615091,-0.2877209,-0.9379779,-0.01681715,-0.3242849,31.69335,-16.95082,9.268517,1007.305
1.429635525,-0.9359937,0.1624174,-0.2261929,-0.938972,-0.01346365,-0.3164988,30.23883,-17.68902,9.278494,1007.309
1.462191582,-0.7493904,-0.8463417,-0.3477271,-0.9282038,-0.01627896,-0.3078513,30.23883,-17.68902,9.278494,1007.308
1.497251987,-0.8084969,-0.7837241,0.08075533,-0.9336563,-0.008563276,-0.3101453,30.95309,-16.59488,8.822212,1007.308
1.529808521,-0.3745288,-0.127508,0.3854439,-0.9277011,-0.01772814,-0.3083573,31.33256,-17.31727,9.272316,1007.306
1.562360287,0.1797986,0.3477765,0.01732933,-0.9326414,-0.01290618,-0.3140795,31.33256,-17.31727,9.272316,1007.308
1.594915867,0.8546513,0.4650775,-0.5935255,-0.934585,-0.01389021,-0.3169929,31.33256,-17.31727,9.272316,1007.307
1.629976749,0.3590089,0.2847989,-0.5299897,-0.9316719,-0.01240977,-0.3135895,30.96445,-17.3225,8.827435,1007.305
1.662532329,-0.07119723,-0.2512979,-0.03909836,-0.9306416,-0.01868312,-0.3204535,30.96445,-17.3225,8.827435,1007.305
1.695088863,-0.5009425,-0.6655576,0.3272205,-0.9331504,-0.01192093,-0.3184144,31.33256,-17.31727,9.272316,1007.305
1.730149269,-0.8675413,-0.5437682,0.264393,-0.937467,-0.01542779,-0.3078294,31.33256,-17.31727,9.272316,1007.308
1.762701034,-0.1887278,-0.06700993,0.3241116,-0.9340833,-0.01343531,-0.308769,31.33256,-17.31727,9.272316,1007.306
1.795257091,0.1811669,0.4678265,0.01740792,-0.929244,-0.01188991,-0.3140673,30.9604,-16.95611,9.270895,1007.304
1.830317497,0.6720314,0.2882634,-0.2265831,-0.929244,-0.01188991,-0.3140673,31.70471,-17.67844,9.273739,1007.304
1.862873077,0.4240895,0.1089442,-0.2861296,-0.9287159,-0.01623916,-0.3180011,31.70471,-17.67844,9.273739,1007.304
1.895429611,0.1150517,-0.01010734,-0.1623533,-0.9331191,-0.01340503,-0.3126365,30.9604,-16.95611,9.270895,1007.304
1.930490017,-0.008373514,-0.4256087,-0.03976014,-0.9311213,-0.01727569,-0.310764,31.33661,-17.68367,8.828856,1007.307
1.963041782,-0.9305559,-0.2457848,-0.04025052,-0.9287354,-0.01192312,-0.3053675,31.33661,-17.68367,8.828856,1007.307
1.995597839,-0.7419697,-0.2445772,0.02069058,-0.9317138,-0.009004009,-0.3145042,30.9618,-16.9539,9.653242,1007.305
2.030658245,-0.6770316,-0.06504238,-0.04063782,-0.9340518,-0.01777333,-0.3165693,31.70876,-18.04483,8.830278,1007.305
2.063214779,-0.1218178,-0.1242021,-0.1626407,-0.9326748,-0.009515803,-0.3116109,31.70876,-18.04483,8.830278,1007.305
2.095770359,0.1248461,0.2320143,-0.1007593,-0.9301908,-0.01575692,-0.321376,30.59938,-17.32294,9.21097,1007.309
2.128326416,0.3081278,0.2908665,-0.03916827,-0.9321375,-0.01435756,-0.3141021,30.97014,-17.68632,8.830046,1007.309
2.163383007,0.5528659,0.2900191,-0.2837555,-0.9292014,-0.01577279,-0.3150933,30.97014,-17.68632,8.830046,1007.307
2.195939064,0.7968182,0.289266,0.08367649,-0.9369795,-0.01637348,-0.3121947,30.9604,-16.95611,9.270895,1007.307
2.228495121,0.2413477,0.1098121,0.08371931,-0.9335523,-0.02016796,-0.3228902,30.96585,-17.32029,9.209782,1007.307
2.263555527,0.2400381,0.1094608,-0.03883591,-0.9365022,-0.01634955,-0.3160618,30.96585,-17.32029,9.209782,1007.307
2.296111584,0.116024,0.1686073,0.08345242,-0.9340442,-0.01873856,-0.3180341,30.60367,-17.68896,8.831234,1007.312
2.328667641,0.1773869,0.04949906,0.02218151,-0.9340659,-0.01727204,-0.3199453,30.96445,-17.3225,8.827435,1007.31
2.363723755,0.05391984,0.2279857,-0.1003146,-0.9287471,-0.01285318,-0.3145658,30.96445,-17.3225,8.827435,1007.31
2.396280289,0.1156906,-0.01006479,0.02224354,-0.9302167,-0.01190481,-0.3135832,30.97177,-17.68373,9.276117,1007.31
2.428835869,-0.06920871,0.1088074,-0.09980407,-0.9325572,-0.02066974,-0.3166149,30.97153,-17.6841,9.212393,1007.308
2.463896274,-0.1307793,0.1087215,0.02268722,-0.9287031,-0.01673826,-0.3151085,30.97153,-17.6841,9.212393,1007.31
2.496452331,0.05387282,-0.1886974,-0.1608307,-0.9355839,-0.01195488,-0.3179291,30.9604,-16.95611,9.270895,1007.31
2.529008865,-0.007526997,-0.128895,0.0223867,-0.9316462,-0.01483492,-0.3145933,31.33964,-17.67887,9.657274,1007.314
