Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.652063847,42.318,32.4
1.650139809,42.314,32.4
2.650698185,42.338,32.402
3.651256561,42.322,32.404
4.651815415,42.398,32.406
5.649915219,42.36,32.408
6.650548935,42.41,32.41
7.651108742,42.414,32.412
8.651669026,42.468,32.412
9.649761677,42.436,32.414
10.650429249,42.46,32.416
11.651087284,42.444,32.418
12.651648045,42.556,32.422
13.652209759,42.496,32.424
14.650400162,42.498,32.424
15.651089668,42.438,32.428
16.651652336,42.444,32.428
17.652215004,42.48,32.432
18.650295258,42.534,32.434
19.650859356,42.512,32.436
20.651422978,42.572,32.438
21.651987076,42.556,32.442
22.650079727,42.586,32.444
23.650701523,42.55,32.446
24.651266575,42.586,32.448
25.651831627,42.596,32.452
26.650000572,42.64,32.454
27.650567055,42.658,32.456
28.651133537,42.656,32.458
29.651700497,42.662,32.46
30.652266979,42.66,32.462
31.650358677,42.646,32.464
32.650943756,42.668,32.466
34.652079582,42.67,32.47
35.650246620,42.736,32.472
36.650960446,42.706,32.472
37.651528835,42.67,32.472
38.652097225,42.7,32.474
39.650182724,42.716,32.474
40.650752068,42.702,32.476
41.651320458,42.766,32.476
42.651889324,42.712,32.476
43.649975777,42.774,32.476
44.650544167,42.704,32.476
45.651113510,42.732,32.478
46.651682377,42.728,32.478
47.649860859,42.736,32.478
48.650451183,42.754,32.478
49.651020527,42.756,32.478
50.651619911,42.736,32.478
51.649709225,42.748,32.478
52.650279045,42.766,32.478
53.650847912,42.77,32.478
54.651479244,42.732,32.478
55.652048588,42.728,32.478
56.650134564,42.726,32.478
57.650894165,42.746,32.478
58.651463509,42.764,32.478
59.652082443,42.782,32.48
60.650168896,42.752,32.478
61.650738716,42.754,32.48
62.651393891,42.752,32.48
63.651962757,42.73,32.478
64.650049210,42.75,32.48
