Time (s),W,X,Y,Z
0.000000000,0.4512046,0.654338,-0.4864525,-0.3581171
0.032552719,0.4511774,0.6543699,-0.4863977,-0.3581677
0.065110207,0.4511734,0.6543833,-0.4863726,-0.3581822
0.097667217,0.4512386,0.6543283,-0.4864306,-0.3581215
0.132728577,0.4512778,0.6542838,-0.4864922,-0.3580699
0.165285587,0.4513155,0.6542498,-0.4865267,-0.3580378
0.197842598,0.4512351,0.6543417,-0.4864227,-0.3581122
0.232900620,0.4512018,0.6543794,-0.4863563,-0.3581757
0.265457630,0.4512053,0.654384,-0.4863316,-0.3581962
0.298014641,0.4512949,0.6542792,-0.4864498,-0.3581146
0.333076477,0.4513301,0.6542134,-0.4865428,-0.3580639
0.365633488,0.4513729,0.654148,-0.4866067,-0.3580424
0.398190975,0.4513513,0.6541594,-0.4865787,-0.358087
0.433248043,0.4512775,0.654232,-0.486501,-0.3581529
0.465805054,0.4511776,0.6543341,-0.4864232,-0.3581981
0.498362064,0.4511391,0.6543798,-0.4863694,-0.358236
0.533423901,0.4511378,0.6543653,-0.4863784,-0.3582519
0.565981388,0.4511086,0.6544012,-0.4863338,-0.3582836
0.598538399,0.4509976,0.6545299,-0.4861586,-0.3584262
0.631091595,0.4510215,0.6544781,-0.4862469,-0.358371
0.666153431,0.4510823,0.6543826,-0.4863717,-0.3582995
0.698710442,0.4510261,0.6544496,-0.4862921,-0.3583561
0.731267452,0.4510755,0.6543672,-0.4863683,-0.3583407
0.766329289,0.4511402,0.6542923,-0.4864377,-0.3583017
0.798886299,0.4511441,0.6543052,-0.4864379,-0.3582731
0.831439495,0.4511474,0.6543346,-0.4863374,-0.3583516
0.866500855,0.4511102,0.6544078,-0.4862512,-0.358382
0.899057865,0.451117,0.6544145,-0.4862226,-0.3583998
0.931614876,0.4510633,0.6544812,-0.4861531,-0.3584397
0.966676712,0.4509411,0.6545903,-0.4860519,-0.3585315
0.999234200,0.4507963,0.6547437,-0.4858738,-0.3586749
1.031787395,0.4507719,0.6547617,-0.4858312,-0.3587306
1.064344406,0.4507732,0.654777,-0.4858238,-0.3587109
1.099406242,0.4508172,0.654752,-0.4858533,-0.3586614
1.131963253,0.450669,0.6549255,-0.4856653,-0.3587854
1.164520264,0.4506583,0.6549462,-0.485624,-0.3588171
1.199581623,0.4507824,0.6547748,-0.4858437,-0.3586763
1.232135296,0.4507775,0.6547925,-0.485805,-0.3587026
1.264692307,0.4507424,0.6548369,-0.4857472,-0.3587441
1.299753666,0.4507049,0.654889,-0.4856631,-0.3588101
1.332310677,0.4507124,0.6548961,-0.4856257,-0.3588381
1.364868164,0.4507147,0.6549184,-0.4855796,-0.3588568
1.399929524,0.4507103,0.6549363,-0.4855413,-0.3588818
1.432482720,0.4507675,0.6548572,-0.485585,-0.3588951
1.465040207,0.4507737,0.6548233,-0.4856134,-0.3589106
1.500102043,0.4507727,0.6548263,-0.4855979,-0.3589273
1.532659054,0.4508313,0.6547503,-0.4856971,-0.3588581
1.565216065,0.4508772,0.6546757,-0.4857818,-0.3588221
1.597773075,0.4509856,0.6545535,-0.4858823,-0.3587727
1.632830620,0.4508607,0.6546965,-0.4857232,-0.3588841
1.665387631,0.4508417,0.6547306,-0.4856679,-0.3589205
1.697945118,0.4508228,0.6547482,-0.4856677,-0.3589124
1.733006478,0.4508398,0.6547078,-0.4857432,-0.3588629
1.765563488,0.4508271,0.6546918,-0.4857831,-0.3588537
1.798120976,0.4508082,0.6547074,-0.4857803,-0.3588528
1.833178520,0.4507963,0.6547458,-0.4857522,-0.3588359
1.865735531,0.4508151,0.654724,-0.485797,-0.3587911
1.898293019,0.4507997,0.6547193,-0.4858547,-0.358741
1.933354855,0.4507458,0.6547714,-0.4857957,-0.3587935
1.965911865,0.4507506,0.6547918,-0.4857438,-0.3588203
1.998468876,0.450733,0.6548112,-0.4857291,-0.3588272
2.031022072,0.4507204,0.6548271,-0.4856876,-0.3588705
2.066083908,0.4506703,0.6548741,-0.4856306,-0.3589244
2.098640919,0.450644,0.6549189,-0.485588,-0.3589336
2.131198406,0.4506788,0.654861,-0.4856789,-0.3588726
2.166259289,0.4507259,0.6547951,-0.4857765,-0.3588013
2.198816299,0.4508106,0.6547078,-0.4858772,-0.358718
2.231369495,0.4508672,0.6546698,-0.4859338,-0.3586395
2.266431332,0.4509641,0.654577,-0.4860479,-0.3585327
2.298988342,0.4510237,0.6545084,-0.486145,-0.3584509
2.331545830,0.4509748,0.6545535,-0.4861163,-0.358469
2.366607666,0.4510252,0.6544703,-0.4862096,-0.358431
2.399164677,0.4510676,0.6543916,-0.4862763,-0.3584307
2.431717873,0.4509818,0.6544333,-0.4862782,-0.3584602
2.464274883,0.4508979,0.6544148,-0.4862849,-0.3585905
2.499336720,0.4507406,0.6544876,-0.4862387,-0.3587179
2.531893730,0.4505307,0.6546013,-0.4861569,-0.3588851
2.564451218,0.4503955,0.6546506,-0.486159,-0.358962
2.599513054,0.4504569,0.6545594,-0.4862318,-0.3589524
2.632065773,0.4506369,0.6544657,-0.4863375,-0.3587542
2.664623261,0.4507169,0.6544752,-0.4863054,-0.3586798
2.699684143,0.4507151,0.6545206,-0.4862432,-0.3586836
2.732241631,0.4505844,0.654637,-0.4861261,-0.3587938
2.764798641,0.4503722,0.6547761,-0.4859879,-0.3589941
2.799860478,0.4502163,0.6548573,-0.4859157,-0.359139
2.832413674,0.4501959,0.6548193,-0.4859631,-0.3591698
2.864970684,0.4501418,0.6548377,-0.4859706,-0.3591941
2.900032521,0.4501944,0.6547917,-0.4860016,-0.3591697
2.932589531,0.4503048,0.6547091,-0.486052,-0.3591137
2.965146542,0.4503543,0.6547323,-0.4859905,-0.3590926
2.997704029,0.4504649,0.654761,-0.485861,-0.3590767
3.032761574,0.4505207,0.6548877,-0.4856275,-0.3590915
3.065319061,0.4504265,0.6551427,-0.4852412,-0.3592667
3.097876072,0.4503399,0.6551247,-0.4852194,-0.3594376
3.132937908,0.4500956,0.6551651,-0.485333,-0.3595168
3.165494919,0.4499145,0.6551625,-0.485509,-0.3595105
3.198051930,0.4500281,0.6549727,-0.4856337,-0.3595455
3.233108997,0.4499012,0.6550772,-0.4855943,-0.3595671
3.265666485,0.4498679,0.6550578,-0.485564,-0.3596849
3.298223496,0.4498082,0.6551021,-0.4854773,-0.3597964
3.333285332,0.4500094,0.6549953,-0.4854437,-0.3597845
3.365842342,0.4500901,0.6550953,-0.4852974,-0.359699
3.398399353,0.4501633,0.655162,-0.4851932,-0.3596264
3.430952549,0.4502335,0.6551515,-0.4851947,-0.3595552
3.466014385,0.4503075,0.655062,-0.4853087,-0.359472
3.498571873,0.450289,0.654955,-0.4854899,-0.3594453
3.531128883,0.4502972,0.6547332,-0.4858008,-0.3594191
3.566190720,0.4500397,0.6546741,-0.4860349,-0.3595329
3.598747730,0.449833,0.6546781,-0.4861749,-0.3595949
3.631300926,0.4497688,0.6546732,-0.4862418,-0.3595937
3.666362763,0.4499325,0.6545573,-0.4863734,-0.3594219
3.698919773,0.4500746,0.6545087,-0.4864047,-0.3592899
3.731476784,0.4501329,0.6544653,-0.4864344,-0.3592558
3.766538620,0.4501367,0.6544092,-0.486557,-0.3591874
3.799096108,0.4499937,0.6543829,-0.4866863,-0.3592395
3.831649304,0.449692,0.6544192,-0.4867731,-0.3594333
3.864206314,0.4493775,0.6544017,-0.486865,-0.3597339
3.899268151,0.4491079,0.6544199,-0.4869196,-0.3599636
3.931825161,0.4488687,0.6545386,-0.4869129,-0.3600549
3.964382172,0.4488603,0.6544985,-0.4869567,-0.3600793
3.999443531,0.4488826,0.6545963,-0.4868133,-0.3600676
4.031996727,0.4488354,0.6547463,-0.4865729,-0.3601783
4.064554214,0.4487796,0.6548534,-0.4864002,-0.3602864
4.099615574,0.448804,0.6548638,-0.4863867,-0.3602554
4.132172585,0.4489297,0.65477,-0.4864805,-0.3601427
4.164730072,0.4489442,0.6547437,-0.4865293,-0.3601066
4.199791431,0.4490118,0.6546671,-0.4866473,-0.3600021
4.232344627,0.4490733,0.65459,-0.4867703,-0.3598993
4.264902115,0.4491368,0.6545037,-0.4869752,-0.3596996
4.299963951,0.4490983,0.6544828,-0.4870364,-0.3597031
4.332520962,0.4489959,0.654486,-0.4870814,-0.3597639
4.365077972,0.4487853,0.6542131,-0.4875,-0.3599557
4.397634983,0.44763,0.6538467,-0.4882115,-0.3610942
