Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1360771,-0.1307444,-0.04785294,-0.8998827,-0.2374115,-0.3344544,33.84811,-10.07977,9.721806,1007.322
0.032552719,0.1976045,-0.2497062,0.01334646,-0.9003189,-0.2417911,-0.3345208,33.48733,-10.44623,9.725605,1007.322
0.065110207,0.3821869,0.1071794,-0.1702517,-0.9013295,-0.2379319,-0.3310773,33.85543,-10.441,10.17049,1007.318
0.097667217,0.1360771,-0.1307444,-0.04785294,-0.8984194,-0.2373969,-0.3334889,33.85543,-10.441,10.17049,1007.316
0.132728577,0.1976045,-0.3686681,0.01334646,-0.8959844,-0.2368902,-0.3310666,33.85543,-10.441,10.17049,1007.316
0.165285587,0.01302216,0.1071794,-0.04785294,-0.902261,-0.2423024,-0.3345268,34.22027,-10.44094,9.723228,1007.316
0.197842598,0.1360771,0.1666603,0.1357453,-0.8945171,-0.2364072,-0.3262269,34.22027,-10.44094,9.723228,1007.315
0.232900620,0.1976045,-0.1307444,0.07454586,-0.896468,-0.2373781,-0.3320404,33.48733,-10.44623,9.725605,1007.313
0.265457630,-0.1100328,-0.01178248,0.07454586,-0.8988874,-0.2393403,-0.3349682,33.12249,-10.4463,10.17287,1007.317
0.298014641,0.1360771,-0.1307444,0.01334646,-0.8959686,-0.2383457,-0.3315722,33.12249,-10.4463,10.17287,1007.317
0.333076477,0.07454962,0.04769846,0.07454586,-0.8984,-0.238859,-0.3325444,33.48896,-10.44365,10.17168,1007.315
0.365633488,-0.1715602,0.04769846,0.01334646,-0.8974386,-0.2378723,-0.3330137,34.21054,-9.710733,10.16408,1007.314
0.398190975,0.07454962,-0.1902253,0.1357453,-0.8994078,-0.2359562,-0.3324992,34.21054,-9.710733,10.16408,1007.314
0.433248043,-0.04850529,-0.01178248,-0.04785294,-0.8959883,-0.2373585,-0.3349408,33.84811,-10.07977,9.721806,1007.314
0.465805054,-0.04850529,0.04769846,0.1357453,-0.8984185,-0.237874,-0.3354297,33.48733,-10.44623,9.725605,1007.314
0.498362064,-0.04850529,-0.1307444,0.01334646,-0.8955163,-0.2349468,-0.3295873,33.48733,-10.44623,9.725605,1007.318
0.530919552,0.01302216,-0.07126342,-0.1702517,-0.8969501,-0.2373932,-0.3301066,33.84975,-10.07719,10.16788,1007.318
0.565981388,0.1976045,-0.1307444,0.1357453,-0.8968776,-0.2432329,-0.3282622,34.22455,-10.80696,9.343493,1007.318
0.598538399,-0.04850529,-0.1902253,0.01334646,-0.8954909,-0.2378469,-0.3330152,34.22455,-10.80696,9.343493,1007.316
0.631091595,0.01302216,0.1666603,0.07454586,-0.8983114,-0.2471063,-0.3355706,33.85138,-10.07461,10.61395,1007.316
0.666153431,-0.04850529,-0.3686681,0.01334646,-0.8968942,-0.2427272,-0.3326049,33.48164,-10.08242,9.722994,1007.314
