Time (s),Power (dBm),Percentage (%)
0.206899166,-51,98
0.706694603,-51,98
1.206863880,-51,98
1.706594944,-51,98
2.206789494,-51,98
2.706497669,-57,86
3.206764698,-45,100
3.706604958,-49,100
4.206598759,-43,100
4.706617356,-43,100
5.206813812,-49,100
5.706494332,-59,82
6.206775665,-53,94
6.706671715,-49,100
7.206800461,-45,100
7.706540108,-47,100
8.206805706,-47,100
8.706614018,-41,100
9.206749439,-45,100
9.706614971,-53,94
10.206773758,-53,94
10.706597328,-53,94
11.206913948,-53,94
11.706689358,-51,98
12.206753731,-43,100
12.706487179,-47,100
13.206815243,-45,100
13.706621647,-43,100
14.206758499,-43,100
14.706632614,-53,94
15.206768513,-45,100
15.706670284,-57,86
16.206859589,-51,98
16.706656456,-55,90
17.206888199,-51,98
17.706715584,-51,98
18.206881523,-59,82
18.706630230,-43,100
19.206778050,-62,76
19.706602574,-60,80
20.206763744,-57,86
20.706594944,-57,86
21.206758022,-51,98
21.706547260,-47,100
22.206970215,-57,86
22.706781864,-45,100
23.206818104,-47,100
23.706773281,-43,100
24.206909657,-53,94
24.706751347,-45,100
25.206920147,-43,100
25.706761360,-43,100
26.208206177,-43,100
26.708011627,-47,100
27.208504677,-45,100
27.708382607,-47,100
28.208428383,-53,94
28.708221913,-55,90
29.208340168,-57,86
29.708194256,-55,90
30.208315849,-62,76
30.708141804,-44,100
31.208312035,-55,90
31.708139897,-59,82
32.208414078,-53,94
32.708272934,-43,100
33.208395481,-59,82
33.708118916,-53,94
34.208319187,-49,100
34.708160401,-47,100
35.208265305,-59,82
35.708172798,-51,98
36.208271503,-57,86
36.708072663,-57,86
37.208248615,-45,100
37.708124638,-49,100
38.208234310,-47,100
38.708063126,-51,98
39.208102703,-43,100
39.707935333,-43,100
40.208139420,-45,100
40.707904339,-43,100
41.208052158,-51,98
41.707920551,-45,100
42.208021641,-44,100
42.707905770,-43,100
43.208123207,-47,100
44.208066464,-55,90
44.707771778,-55,90
45.208060741,-62,76
45.707795620,-67,66
46.208070755,-57,86
46.707876682,-59,82
47.207896709,-63,74
47.707945347,-62,76
48.208095074,-55,90
48.708049774,-47,100
49.208350182,-59,82
49.708073616,-53,94
50.208204269,-57,86
50.708026409,-45,100
51.208174706,-62,76
51.707980633,-45,100
52.208154202,-43,100
52.707964897,-53,94
53.208125114,-53,94
53.707937241,-47,100
54.208217621,-53,94
54.708045960,-45,100
55.208074093,-45,100
55.708009243,-57,86
56.208180904,-47,100
56.707985878,-60,80
57.208025932,-51,98
57.707997322,-45,100
58.208133698,-45,100
58.707975865,-45,100
59.208419800,-43,100
59.708255291,-47,100
60.208349705,-51,98
60.708111763,-51,98
61.208281517,-62,76
61.708106995,-49,100
62.208229542,-53,94
62.708051682,-53,94
63.208198547,-55,90
63.708048344,-49,100
64.208345413,-43,100
64.708184242,-43,100
