Time (s),Power (dBm),Percentage (%)
0.411904812,-51,98
0.911722183,-51,98
1.411847114,-51,98
1.911754608,-51,98
2.411861896,-51,98
2.911685467,-51,98
3.411894321,-51,98
3.911746502,-51,98
4.411822319,-51,98
4.911715031,-51,98
5.411892414,-51,98
5.911638737,-51,98
6.411792278,-51,98
6.911561489,-51,98
7.411734581,-51,98
7.911587238,-51,98
8.411737919,-51,98
8.911552906,-51,98
9.411798477,-51,98
9.911582470,-51,98
10.411912918,-51,98
10.911785126,-51,98
11.411867618,-51,98
11.911687374,-51,98
12.411735535,-51,98
12.911678314,-51,98
13.411717892,-51,98
13.911675453,-47,100
14.411819935,-53,94
14.911555767,-45,100
15.411849975,-49,100
15.911667347,-47,100
16.411720276,-43,100
16.911699772,-43,100
17.411830425,-53,94
17.911565304,-57,86
18.411781311,-61,78
18.911517143,-53,94
19.411705971,-47,100
19.911528587,-55,90
20.411703586,-47,100
20.911546230,-49,100
21.411706924,-51,98
21.911545277,-55,90
22.411758900,-45,100
22.911503792,-43,100
23.411824226,-45,100
23.911661148,-45,100
24.411850929,-45,100
24.911589622,-45,100
25.411635876,-45,100
25.911631107,-45,100
26.411776066,-45,100
26.911662102,-45,100
27.411771297,-43,100
27.911625385,-53,94
28.411803245,-51,98
28.911655426,-49,100
29.411811828,-47,100
29.911652088,-55,90
30.411787987,-49,100
30.911623478,-45,100
31.411728382,-47,100
31.911516666,-53,94
32.411687374,-62,76
32.911484241,-55,90
33.411692619,-59,82
33.911468506,-51,98
34.411643505,-57,86
34.911485672,-59,82
35.411669731,-65,70
35.911504745,-59,82
36.411774635,-55,90
36.911604404,-49,100
37.411736965,-51,98
37.911538601,-51,98
38.411731243,-49,100
38.911583424,-55,90
39.411726475,-57,86
39.911580563,-63,74
40.411758900,-51,98
40.911576271,-49,100
41.411721229,-51,98
41.911572456,-53,94
42.411763668,-51,98
42.911613464,-55,90
43.411744594,-53,94
43.911550045,-51,98
44.411658287,-45,100
44.911431789,-43,100
45.411631107,-43,100
45.911451817,-43,100
46.411645412,-43,100
46.911477566,-43,100
47.411587715,-49,100
47.911415100,-49,100
48.411581516,-49,100
48.911437035,-49,100
49.411705971,-45,100
49.911567211,-45,100
50.411684036,-53,94
50.911470413,-63,74
51.411682606,-53,94
51.911489964,-49,100
52.411678791,-51,98
52.911532402,-45,100
53.411618233,-51,98
53.911564827,-53,94
54.411708832,-57,86
54.911494255,-55,90
55.411719322,-55,90
55.911526680,-55,90
56.411611557,-55,90
56.911484241,-57,86
57.411551952,-53,94
57.911377430,-51,98
58.411566257,-49,100
58.911406517,-53,94
59.411582947,-57,86
59.911437988,-57,86
60.411588669,-55,90
60.911388397,-51,98
61.411553860,-51,98
61.911397934,-53,94
62.411717415,-45,100
62.911502361,-55,90
63.411640644,-49,100
63.911375999,-49,100
64.411634922,-51,98
64.911488056,-49,100
65.411489963,-49,100
65.911484718,-43,100
66.411628723,-45,100
66.911324978,-49,100
67.411659717,-49,100
67.911513805,-51,98
68.411670685,-43,100
68.911478996,-43,100
69.411653995,-53,94
69.911460400,-43,100
70.411531448,-47,100
70.911353588,-43,100
71.411528587,-43,100
71.911324501,-64,72
72.411499500,-62,76
72.911378384,-49,100
73.411483765,-59,82
73.911368847,-49,100
74.411494732,-57,86
75.411616325,-65,70
75.911448479,-62,76
76.411581993,-62,76
76.911318779,-63,74
77.411587715,-65,70
77.911439896,-65,70
78.411585331,-57,86
78.911472321,-60,80
79.411615848,-55,90
79.911434650,-55,90
80.411612987,-57,86
80.911464214,-53,94
81.411629677,-49,100
81.911432743,-49,100
82.411608696,-49,100
82.911365509,-47,100
83.411471844,-55,90
83.911335468,-47,100
84.411469459,-51,98
84.911286831,-51,98
85.411448002,-69,62
85.911324024,-61,78
86.411490917,-43,100
86.911351681,-43,100
87.411659717,-43,100
87.911277771,-45,100
88.411551952,-45,100
88.911441803,-45,100
89.411517143,-53,94
89.911241055,-44,100
90.411540985,-51,98
90.911393166,-43,100
91.411535740,-59,82
91.911389828,-62,76
92.411568165,-53,94
92.911385059,-47,100
93.411520004,-47,100
93.911417484,-47,100
94.411581993,-49,100
94.911405086,-45,100
95.411561012,-47,100
95.911298752,-47,100
96.411456585,-47,100
96.911269665,-47,100
97.411401749,-49,100
97.911260605,-60,80
98.411410332,-45,100
98.911226273,-61,78
99.411427021,-51,98
99.911262512,-45,100
100.411586761,-57,86
100.911258221,-55,90
101.411516666,-67,66
101.911379337,-57,86
102.411460876,-57,86
102.911348820,-53,94
103.411493778,-49,100
103.911262035,-49,100
104.411524773,-53,94
104.911341667,-53,94
105.411390304,-49,100
105.911374092,-58,84
106.411519527,-51,98
106.911229610,-47,100
107.411497116,-43,100
107.911342144,-53,94
108.411384582,-49,100
108.911262512,-49,100
109.411383629,-51,98
109.911221981,-51,98
110.411387920,-49,100
110.911182880,-49,100
111.411357880,-49,100
111.911176681,-49,100
112.411396026,-51,98
112.911184788,-51,98
113.411510467,-51,98
113.911178112,-49,100
114.411483288,-49,100
114.911304474,-49,100
115.411339283,-51,98
115.911301136,-51,98
116.411444664,-49,100
116.911297798,-49,100
117.411476612,-49,100
117.911329269,-49,100
118.411438942,-49,100
118.911324978,-51,98
119.411468506,-49,100
119.911323071,-49,100
120.411491871,-47,100
120.911337376,-47,100
121.411410332,-47,100
121.911183834,-49,100
122.411303520,-49,100
122.911144257,-49,100
123.411334991,-51,98
123.911143303,-49,100
124.411342144,-49,100
124.911137581,-49,100
125.411312580,-49,100
125.911144733,-51,98
