Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.009188175,-0.5297514,1.167434,-0.1694463,-0.1197981,-0.278404,0.9439975,-7.245672,32.36008,-37.49693,1007.145
0.041360378,-0.2840298,1.049063,-0.1694463,-0.1211747,-0.2768665,0.953663,-7.239637,32.7469,-37.05251,1007.147
0.076006889,-0.9597643,0.9898785,-0.4758814,-0.1197183,-0.2904206,0.9593216,-7.239637,32.7469,-37.05251,1007.147
0.108178616,-0.7140427,1.285803,-0.2920204,-0.1197152,-0.271075,0.950323,-7.245157,33.12234,-37.50065,1007.147
0.142825126,-2.618385,1.108248,-0.3533074,-0.1227923,-0.2895717,0.9415233,-7.245415,32.74121,-37.49879,1007.143
0.174996853,0.2074135,1.700099,-0.1081593,-0.1221568,-0.2754165,0.952238,-7.245415,32.74121,-37.49879,1007.143
0.209643364,-1.082625,1.108248,0.3821369,-0.126119,-0.2827035,0.948841,-6.861698,32.74153,-37.05444,1007.146
0.241815567,-1.144056,0.6347684,0.688572,-0.1280486,-0.2792886,0.9498511,-6.867733,32.35471,-37.49886,1007.146
0.276462078,-1.389777,1.818469,0.3821369,-0.1188828,-0.2852339,0.9400766,-6.867733,32.35471,-37.49886,1007.144
0.308633804,-0.2840298,1.226619,0.0757018,-0.1295892,-0.2880552,0.9449733,-7.623354,32.74658,-37.49685,1007.144
0.343280315,-0.2840298,0.2204733,-0.04687225,-0.1329096,-0.2845664,0.954673,-7.23938,33.12803,-37.05437,1007.146
0.375452041,-1.082625,-0.01626678,0.0757018,-0.130035,-0.2797937,0.9460095,-7.23938,33.12803,-37.05437,1007.146
0.410099029,-1.635499,-0.2530068,0.3208499,-0.130525,-0.2783425,0.9450621,-6.866961,33.49812,-37.50444,1007.148
0.442269802,-0.2840298,-0.1346368,0.01441477,-0.126651,-0.2943469,0.949232,-7.239637,32.7469,-37.05251,1007.148
0.476916790,-0.468321,-0.3713769,0.3208499,-0.1270969,-0.283184,0.9488462,-7.239637,32.7469,-37.05251,1007.148
0.509088516,-0.2225994,-0.3121918,0.1982758,-0.1295792,-0.2846612,0.9445191,-6.861441,33.12267,-37.0563,1007.148
0.541260242,-0.03830811,0.04291824,0.1369888,-0.1300874,-0.2875785,0.9435358,-7.245415,32.74121,-37.49879,1007.148
0.575906753,0.3917048,0.3980283,0.4434239,-0.1266272,-0.2836867,0.9469097,-7.245415,32.74121,-37.49879,1007.148
0.608078957,0.5145656,-0.4897469,0.2595628,-0.1281376,-0.2880737,0.9435136,-7.617834,32.37114,-37.04871,1007.148
0.642725468,0.3302744,0.1612883,0.1369888,-0.1266921,-0.28568,0.9401458,-7.245672,32.36008,-37.49693,1007.144
0.674897194,-0.4068906,0.9306934,0.3821369,-0.1168965,-0.2837617,0.9434442,-7.245672,32.36008,-37.49693,1007.144
0.709543705,-0.5297514,0.1612883,0.3821369,-0.1310186,-0.2865658,0.9483728,-7.23938,33.12803,-37.05437,1007.144
0.741715431,-0.3454602,-0.07545179,0.565998,-0.1354141,-0.2904157,0.9498281,-7.23938,33.12803,-37.05437,1007.144
0.776361942,-0.1611689,0.2204733,0.1982758,-0.1276822,-0.2861715,0.938705,-6.861956,32.3604,-37.05258,1007.142
0.808534145,0.7602872,-0.1938218,-0.04687225,-0.1285486,-0.2831655,0.9503058,-6.861956,32.3604,-37.05258,1007.142
0.843180656,-0.2225994,-0.1346368,0.01441477,-0.1271395,-0.2837064,0.9440222,-7.623354,32.74658,-37.49685,1007.144
0.875351906,0.2688439,-0.3121918,0.0757018,-0.1329986,-0.2923844,0.9478613,-6.861698,32.74153,-37.05444,1007.144
0.909998417,0.8217177,-0.1938218,0.01441477,-0.1304964,-0.2821849,0.950332,-6.861698,32.74153,-37.05444,1007.148
0.942170143,-0.03830811,-0.1938218,-0.2307333,-0.1276274,-0.2856381,0.9449749,-7.244901,33.50348,-37.50251,1007.148
0.976816654,0.2688439,0.1612883,0.0757018,-0.1231652,-0.2764082,0.9488654,-6.867218,33.11698,-37.50258,1007.148
1.008988380,-0.5297514,-0.1938218,0.1982758,-0.1256918,-0.2866298,0.9435026,-6.867218,33.11698,-37.50258,1007.144
1.043635368,0.4531352,0.1021032,0.01441477,-0.126668,-0.2808223,0.9406676,-7.623611,32.36545,-37.49499,1007.15
1.075807095,0.8217177,-0.01626678,-0.1081593,-0.12718,-0.2876117,0.9410984,-8.001294,32.75195,-37.49492,1007.15
1.107978821,0.8831481,-0.3121918,-0.2307333,-0.1265866,-0.2836497,0.9517295,-8.001294,32.75195,-37.49492,1007.146
1.142625332,0.7602872,0.1021032,0.01441477,-0.1280389,-0.2710591,0.9470269,-7.233859,32.75258,-36.60622,1007.146
1.174797535,-0.4068906,-0.4897469,0.3821369,-0.129549,-0.2793145,0.945527,-6.861956,32.3604,-37.05258,1007.146
1.209444046,0.6988568,-0.01626678,0.0757018,-0.125633,-0.2841585,0.9493064,-6.861956,32.3604,-37.05258,1007.146
1.241615772,0.1459831,0.04291824,-0.2307333,-0.1237241,-0.2779211,0.941146,-7.623354,32.74658,-37.49685,1007.146
1.276261806,-0.09973852,-0.3713769,-0.1081593,-0.1290832,-0.2846562,0.9454786,-6.862213,31.97926,-37.05072,1007.146
1.308433533,0.1459831,-0.1938218,0.2595628,-0.1330517,-0.2866299,0.9387513,-6.862213,31.97926,-37.05072,1007.146
1.343080044,0.3917048,-0.4305618,0.565998,-0.130547,-0.2846489,0.9454923,-7.25011,33.11747,-37.88317,1007.146
1.375251770,0.7602872,-0.2530068,0.3821369,-0.1276496,-0.2871091,0.9430349,-7.23938,33.12803,-37.05437,1007.147
1.409898281,0.3917048,-0.4897469,0.01441477,-0.1261334,-0.2793317,0.9454949,-7.23938,33.12803,-37.05437,1007.146
1.442070484,0.8831481,0.3388433,-0.1081593,-0.1251694,-0.283216,0.9459358,-6.873511,32.34903,-37.94514,1007.146
1.476716995,0.2074135,-0.07545179,-0.3533074,-0.1280083,-0.2734491,0.9518269,-6.483758,32.73616,-37.05637,1007.146
1.508888721,-0.2840298,-0.1346368,-0.1081593,-0.1242102,-0.275499,0.9402066,-6.483758,32.73616,-37.05637,1007.146
1.543535232,0.8831481,0.1612883,0.1369888,-0.1276497,-0.286142,0.9425609,-7.239637,32.7469,-37.05251,1007.147
1.575707436,1.1903,-0.1938218,-0.3533074,-0.1226954,-0.278845,0.9478768,-7.245415,32.74121,-37.49879,1007.147
1.610353947,1.251731,-0.1938218,-0.1081593,-0.1265505,-0.2739455,0.9513272,-7.245415,32.74121,-37.49879,1007.149
1.642525673,0.2074135,-0.1938218,0.0757018,-0.1251596,-0.2778878,0.9445337,-7.239895,32.36576,-37.05064,1007.147
1.674696922,0.4531352,-0.1938218,0.0757018,-0.1290385,-0.2836485,0.9503064,-7.245415,32.74121,-37.49879,1007.147
1.709343433,0.5145656,-0.07545179,-0.2307333,-0.1216767,-0.2812289,0.9541137,-7.245415,32.74121,-37.49879,1007.147
1.741515160,0.4531352,0.2204733,-0.1694463,-0.1275691,-0.2734959,0.9460384,-7.245415,32.74121,-37.49879,1007.147
1.776161671,0.0231223,-0.4305618,-0.1694463,-0.1236692,-0.2793218,0.948364,-7.240152,31.98463,-37.04878,1007.146
1.808333874,0.2074135,-0.3713769,-0.2307333,-0.1290004,-0.274426,0.9503821,-7.250367,32.73634,-37.88131,1007.147
1.842980385,-1.082625,-0.4897469,-0.04687225,-0.122712,-0.2720902,0.9426307,-7.250367,32.73634,-37.88131,1007.147
1.875152111,-0.5297514,-0.4305618,0.2595628,-0.1212336,-0.2774036,0.9469111,-7.245672,32.36008,-37.49693,1007.147
1.909798622,0.3917048,0.6347684,0.1369888,-0.1280932,-0.2812634,0.9454973,-7.251193,32.73553,-37.94507,1007.147
1.941970348,0.3302744,0.04291824,0.1369888,-0.1265462,-0.2787773,0.9541793,-7.251193,32.73553,-37.94507,1007.147
1.976616859,0.5145656,0.2796583,0.1369888,-0.121181,-0.2744543,0.9517549,-7.250367,32.73634,-37.88131,1007.147
2.008789063,0.2688439,-0.07545179,0.0757018,-0.1187614,-0.2754522,0.9497961,-6.861956,32.3604,-37.05258,1007.147
2.043435574,-0.2225994,-0.2530068,-0.2920204,-0.1309358,-0.2773027,0.9537505,-6.861956,32.3604,-37.05258,1007.147
2.075607300,0.1459831,0.1021032,0.0757018,-0.1266214,-0.277395,0.9445514,-7.245672,32.36008,-37.49693,1007.147
2.110253811,-0.2840298,0.04291824,0.1369888,-0.1281036,-0.2769208,0.9421592,-7.251193,32.73553,-37.94507,1007.147
2.142425060,0.575996,-0.01626678,0.01441477,-0.1226855,-0.2725497,0.9460006,-7.251193,32.73553,-37.94507,1007.146
2.174596786,-0.09973852,0.1612883,0.01441477,-0.1256014,-0.2667213,0.9446299,-7.251193,32.73553,-37.94507,1007.146
2.209243774,-0.2840298,-0.3121918,-0.1081593,-0.1236226,-0.2768616,0.9527218,-7.251193,32.73553,-37.94507,1007.146
2.241415500,-0.2225994,-0.1346368,0.1369888,-0.1280936,-0.2744938,0.9421791,-7.251193,32.73553,-37.94507,1007.146
2.276062012,0.3917048,-0.01626678,0.0757018,-0.1285833,-0.2798122,0.9445498,-6.86799,31.97358,-37.497,1007.146
2.308233738,0.6374264,0.3388433,-0.04687225,-0.1260932,-0.2705909,0.9460486,-6.873254,32.73016,-37.947,1007.147
2.342880249,-0.2840298,0.3980283,-0.2920204,-0.1265402,-0.2773212,0.9541913,-6.873254,32.73016,-37.947,1007.143
2.375052452,-0.6526123,0.4572133,-0.3533074,-0.1251251,-0.2764058,0.9479196,-7.24593,31.97894,-37.49506,1007.142
2.409698963,-1.512638,0.1612883,-0.2307333,-0.1295872,-0.2885369,0.9454513,-7.245672,32.36008,-37.49693,1007.143
2.441870689,-0.2225994,0.3980283,0.01441477,-0.1320473,-0.287576,0.9425901,-7.245672,32.36008,-37.49693,1007.143
2.476517200,1.436022,0.2796583,-0.04687225,-0.1260748,-0.2720249,0.9489287,-7.245672,32.36008,-37.49693,1007.143
2.508688450,0.3302744,0.1612883,-0.2920204,-0.1255037,-0.270501,0.9580938,-6.861956,32.3604,-37.05258,1007.143
2.543334961,-0.9597643,-0.01626678,-0.1081593,-0.1246775,-0.2822477,0.9459392,-6.861956,32.3604,-37.05258,1007.143
2.575506687,0.2074135,0.2796583,-0.1081593,-0.1305532,-0.2822367,0.9435842,-6.489793,32.34934,-37.50079,1007.147
2.610153198,0.3302744,0.04291824,-0.4145944,-0.125591,-0.2700969,0.947494,-7.24593,31.97894,-37.49506,1007.147
2.642325401,-0.09973852,-0.1938218,-0.1694463,-0.1280753,-0.2749607,0.9445851,-7.24593,31.97894,-37.49506,1007.147
2.676971912,-0.1611689,-0.01626678,-0.1081593,-0.127081,-0.2754325,0.9469819,-7.24593,31.97894,-37.49506,1007.147
2.709143639,-0.2840298,0.04291824,-0.2920204,-0.1231936,-0.2774012,0.9459653,-6.867733,32.35471,-37.49886,1007.147
2.741315365,-0.03830811,-0.01626678,-0.2307333,-0.128063,-0.2759167,0.9465051,-6.867733,32.35471,-37.49886,1007.143
2.775962353,-0.8369035,-0.01626678,-0.4145944,-0.1275909,-0.2836707,0.9483647,-6.867476,32.73585,-37.50072,1007.143
2.808134079,0.08455271,0.2796583,-0.2307333,-0.1281035,-0.2788549,0.9431072,-6.861956,32.3604,-37.05258,1007.145
2.842780590,0.2074135,0.7531384,0.1982758,-0.1266376,-0.2783769,0.9430975,-7.239637,32.7469,-37.05251,1007.145
2.874952316,0.1459831,0.6939534,-0.1081593,-0.1285165,-0.2744322,0.9498955,-7.239637,32.7469,-37.05251,1007.145
2.909598351,-0.2840298,0.04291824,-0.4758814,-0.1255645,-0.2715235,0.951338,-6.867733,32.35471,-37.49886,1007.143
2.941770077,-0.1611689,0.2204733,-0.4145944,-0.1212316,-0.2778853,0.9473891,-7.250625,32.35521,-37.87945,1007.143
2.976416588,-1.451208,0.1021032,-0.04687225,-0.1305331,-0.2783498,0.9440981,-7.250625,32.35521,-37.87945,1007.143
3.008588791,-0.3454602,0.4572133,0.2595628,-0.1334342,-0.28363,0.9498656,-7.623869,31.98431,-37.49313,1007.143
3.043235302,0.3917048,0.2204733,0.01441477,-0.1324624,-0.2817045,0.9484264,-7.240152,31.98463,-37.04878,1007.143
3.075407028,0.2688439,0.2796583,-0.1694463,-0.1231328,-0.2734774,0.9512992,-7.240152,31.98463,-37.04878,1007.143
3.110053539,-0.4068906,0.3388433,-0.2920204,-0.1299661,-0.2748954,0.9518332,-6.861698,32.74153,-37.05444,1007.142
3.142225265,-1.389777,0.2796583,0.0757018,-0.1285489,-0.2763959,0.9469877,-7.245672,32.36008,-37.49693,1007.142
3.176871776,-1.574068,0.3980283,0.1369888,-0.1326147,-0.2832937,0.9310627,-7.245672,32.36008,-37.49693,1007.142
3.209043979,-0.1611689,0.6939534,-0.04687225,-0.1329505,-0.2797678,0.9474829,-7.245157,33.12234,-37.50065,1007.137
3.243690491,-0.4068906,0.3980283,0.0757018,-0.13094,-0.2753722,0.9523203,-6.86799,31.97358,-37.497,1007.142
3.275862217,-0.7140427,0.3980283,0.0757018,-0.1275731,-0.2734996,0.9455564,-6.86799,31.97358,-37.497,1007.142
3.308033466,-1.144056,-0.2530068,0.1369888,-0.1246653,-0.2822366,0.9473853,-7.251451,32.3544,-37.94321,1007.142
3.342679977,-0.8369035,0.2796583,0.0757018,-0.1320492,-0.2899956,0.9435342,-6.861956,32.3604,-37.05258,1007.142
3.374851703,-0.1611689,0.5163984,-0.04687225,-0.1305694,-0.2841856,0.9426043,-6.861956,32.3604,-37.05258,1007.142
3.409498691,0.1459831,0.4572133,-0.04687225,-0.1285994,-0.2827282,0.9440439,-7.62284,33.50885,-37.50057,1007.142
3.441670418,-0.09973852,0.1021032,-0.04687225,-0.1344306,-0.2788081,0.9450947,-7.628821,31.97944,-37.87566,1007.142
3.476316929,-0.8369035,0.1612883,-0.2307333,-0.1295935,-0.2832235,0.9421211,-7.628821,31.97944,-37.87566,1007.14
