Time (s),Humidity (%)
0.385801315,13.37207
1.386725902,12.40039
2.385128498,12.46289
3.386053085,13.40918
4.386977196,12.28809
5.385380268,12.91113
6.386304378,14.04297
7.387228012,12.4375
8.385631561,13.27148
9.386555195,12.2627
10.387479305,12.30078
11.385881901,13.94336
12.386806488,12.74902
13.385209083,12.51172
14.386133671,12.61133
15.387057304,12.4248
16.385460853,12.93555
17.386385441,13.03516
18.387310028,12.41309
19.385714054,12.64941
20.386638641,13.23535
21.385042190,13.24707
22.385966778,13.63379
23.386892319,14.31836
24.385296345,12.66211
25.386221409,12.26367
26.387146473,14.03223
27.385550976,13.27344
28.386476517,13.17383
29.387401581,12.41406
30.385806084,12.97461
31.386733055,11.33008
32.385137558,12.8877
33.386063576,13.37305
34.386990070,12.8252
35.385394573,12.21484
36.386321068,13.53516
37.387247562,14.51855
38.385653019,12.61426
39.386579513,12.63965
40.384984970,13.59863
41.385911465,12.75098
42.386837959,13.0127
43.385243893,14.56934
44.386171341,12.73926
45.387097835,14.10938
46.385503769,13.89746
47.386430740,12.98828
48.384836674,13.57422
49.385764122,13.2998
50.386691093,13.72363
51.385097980,14.03516
52.386024952,12.97656
53.386952877,13.2998
54.385358810,12.29102
55.386286259,12.32715
56.387213230,12.85059
57.385620117,13.1123
58.386547088,12.76367
59.384953022,12.55273
60.385880947,13.49902
61.386808395,12.39063
62.385214805,11.85547
63.386142254,12.34082
64.387069225,12.65234
65.385476112,12.31641
66.386403084,11.60645
67.384809971,13.3623
68.385736942,12.46582
69.386664390,12.91406
70.385070801,12.2041
71.385998249,13.25
72.386925220,13.27539
73.385331154,11.81836
74.386259079,13.4873
75.384665012,11.83008
76.385592460,12.19141
77.386519909,12.40332
78.384925842,12.83887
79.385853290,13.79785
80.386780262,11.80566
81.385186672,14.22168
82.386114120,11.64355
83.384520054,12.25391
84.385447025,13.53613
85.386374473,13.25
86.384780407,13.51172
87.385706901,13.10059
88.386633873,12.58984
89.385039806,12.97656
90.385966778,13.375
91.386893749,13.15039
92.385299682,13.58594
93.386227131,13.02637
94.384632110,13.61133
95.385559559,12.35352
96.386487007,13.44922
97.384891987,12.29102
98.385819435,13.63574
99.386746406,13.17578
100.385151863,13.33691
101.386078834,12.49023
102.384484291,13.57422
103.385411739,13.375
104.386338234,12.73926
105.384744167,12.24121
106.385670662,12.70215
107.386597156,13.27441
108.385003090,12.76465
109.385929584,12.31543
110.384335041,13.1377
111.385261536,13.71094
112.386188984,14.2832
113.384593963,12.76465
114.385521412,13.92188
115.386447906,13.61133
116.384853840,13.58594
117.385780811,12.81445
118.386708259,13.22559
119.385114193,13.18848
120.386041641,13.72363
121.384448051,13.76074
122.385375976,12.77734
123.386302948,14.38379
124.384710312,12.62793
125.385638237,13.46289
