Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.385801315,42.5,32.33
1.386725902,42.52,32.33
2.385128498,42.558,32.328
3.386053085,42.552,32.328
4.386977196,42.49,32.326
5.385380268,42.504,32.326
6.386304378,42.506,32.326
7.387228012,42.52,32.326
8.385631561,42.47,32.326
9.386555195,42.472,32.326
10.387479305,42.472,32.326
11.385881901,42.49,32.326
12.386806488,42.498,32.326
13.385209083,42.454,32.326
14.386133671,42.458,32.326
15.387057304,42.516,32.326
16.385460853,42.54,32.326
17.386385441,42.546,32.328
18.387310028,42.536,32.328
19.385714054,42.564,32.328
20.386638641,42.496,32.328
21.385042190,42.534,32.33
22.385966778,42.538,32.33
23.386892319,42.536,32.33
24.385296345,42.516,32.332
25.386221409,42.588,32.332
26.387146473,42.548,32.334
27.385550976,42.506,32.334
28.386476517,42.586,32.336
29.387401581,42.61,32.336
30.385806084,42.506,32.336
31.386733055,42.556,32.338
32.385137558,42.57,32.338
33.386063576,42.574,32.338
34.386990070,42.618,32.34
35.385394573,42.6,32.34
36.386321068,42.598,32.342
37.387247562,42.548,32.342
38.385653019,42.572,32.344
39.386579513,42.606,32.344
40.384984970,42.596,32.346
41.385911465,42.59,32.346
42.386837959,42.61,32.346
43.385243893,42.546,32.346
44.386171341,42.628,32.348
45.387097835,42.6,32.348
46.385503769,42.696,32.348
47.386430740,42.624,32.348
48.384836674,42.616,32.348
49.385764122,42.634,32.35
50.386691093,42.636,32.35
51.385097980,42.618,32.35
52.386024952,42.644,32.35
53.386952877,42.678,32.352
54.385358810,42.634,32.348
55.386286259,42.626,32.342
56.384692192,42.59,32.344
57.385620117,42.588,32.346
58.386547088,42.64,32.346
59.384953022,42.586,32.348
60.385880947,42.586,32.348
61.386808395,42.626,32.35
62.385214805,42.632,32.35
63.386142254,42.602,32.35
64.387069225,42.6,32.35
65.385476112,42.668,32.35
66.386403084,42.618,32.35
67.384809971,42.63,32.35
68.385736942,42.564,32.35
69.386664390,42.648,32.35
70.385070801,42.598,32.35
71.385998249,42.648,32.35
72.386925220,42.618,32.35
73.385331154,42.632,32.35
74.386259079,42.634,32.35
75.384665012,42.612,32.35
76.385592460,42.618,32.35
77.386519909,42.626,32.35
78.384925842,42.602,32.35
79.385853290,42.57,32.35
80.386780262,42.572,32.35
81.385186672,42.586,32.35
82.386114120,42.588,32.35
83.384520054,42.604,32.35
84.385447025,42.58,32.35
85.386374473,42.61,32.35
86.384780407,42.606,32.348
87.385706901,42.612,32.348
88.386633873,42.57,32.348
89.385039806,42.582,32.35
90.385966778,42.63,32.348
91.386893749,42.604,32.348
92.385299682,42.604,32.348
93.386227131,42.592,32.348
94.384632110,42.624,32.348
95.385559559,42.626,32.348
96.386487007,42.61,32.348
97.384891987,42.556,32.348
98.385819435,42.568,32.348
99.386746406,42.59,32.348
100.385151863,42.608,32.348
101.386078834,42.592,32.348
102.384484291,42.572,32.348
103.385411739,42.572,32.348
104.386338234,42.59,32.348
105.384744167,42.584,32.348
106.385670662,42.592,32.348
107.386597156,42.578,32.348
108.385003090,42.61,32.348
109.385929584,42.606,32.348
110.384335041,42.566,32.348
111.385261536,42.604,32.348
112.386188984,42.618,32.348
113.384593963,42.62,32.348
114.385521412,42.572,32.348
115.386447906,42.57,32.348
116.384853840,42.538,32.348
117.385780811,42.618,32.348
118.386708259,42.628,32.35
119.385114193,42.628,32.35
120.386041641,42.6,32.35
121.384448051,42.65,32.352
122.385375976,42.586,32.352
123.386302948,42.656,32.352
124.384710312,42.642,32.354
125.385638237,42.694,32.354
