Time (s),Power (dBm),Percentage (%)
0.335126877,-67,66
0.835097790,-67,66
1.335125923,-67,66
1.835196018,-67,66
2.334859848,-67,66
2.835168362,-67,66
3.334999561,-67,66
3.835021496,-67,66
4.334975720,-65,70
4.834958553,-67,66
5.334902287,-67,66
5.835070133,-67,66
6.334787846,-67,66
6.835083485,-67,66
7.334840775,-67,66
7.834858417,-71,58
8.334920406,-55,90
8.834980011,-64,72
9.334697723,-57,86
9.834991455,-62,76
10.334667206,-60,80
10.834990025,-55,90
11.334604263,-62,76
11.834892273,-57,86
12.334919930,-57,86
12.835028172,-51,98
13.334726811,-53,94
13.835060596,-47,100
14.334702492,-55,90
14.834940910,-37,100
15.334843159,-37,100
15.834821224,-45,100
16.334756851,-53,94
16.834910870,-47,100
17.334630489,-55,90
17.834814072,-49,100
18.334586620,-49,100
18.834839344,-53,94
19.334621430,-53,94
19.834706306,-73,54
20.334714413,-62,76
20.835042477,-59,82
21.334864616,-59,82
21.835135937,-57,86
22.334809780,-62,76
22.834951401,-69,62
23.334953308,-60,80
23.834897518,-62,76
24.334937573,-58,84
24.835058689,-57,86
25.334699631,-69,62
25.835031509,-61,78
26.334829807,-62,76
26.834840298,-59,82
27.334885120,-59,82
27.834815979,-59,82
28.334637642,-59,82
28.835185528,-59,82
29.334831238,-59,82
29.834968567,-59,82
30.334979534,-59,82
30.834988594,-59,82
31.334772110,-57,86
31.835124969,-59,82
32.334849358,-71,58
32.834867954,-57,86
33.334721565,-59,82
33.835081577,-61,78
34.334749222,-65,70
34.834862709,-57,86
35.334920883,-55,90
35.835033894,-65,70
36.334737778,-62,76
36.834988117,-62,76
37.334648132,-59,82
37.834998608,-53,94
38.334586144,-57,86
38.834808350,-59,82
39.334815502,-62,76
39.834857941,-62,76
40.334554672,-59,82
40.834919453,-61,78
41.334517002,-57,86
41.834826946,-55,90
42.334702015,-62,76
42.834692955,-57,86
43.334676743,-65,70
43.834692001,-59,82
44.334528446,-49,100
44.835127830,-49,100
45.334998131,-49,100
45.834998608,-58,84
46.334982872,-62,76
46.834917545,-61,78
47.334973812,-65,70
47.834829807,-64,72
48.334687710,-67,66
48.835027218,-59,82
49.334806442,-57,86
49.834821701,-60,80
50.334837437,-61,78
50.834794521,-57,86
51.334796906,-60,80
51.834931374,-57,86
52.334655285,-59,82
52.835175514,-59,82
53.334892273,-59,82
53.834938526,-59,82
54.334978581,-59,82
54.835052013,-59,82
55.334766388,-59,82
55.835047722,-59,82
56.334733009,-59,82
56.835048199,-57,86
57.334655762,-65,70
57.834826946,-57,86
58.334839344,-59,82
58.834930420,-57,86
59.334625721,-59,82
59.834979534,-57,86
60.334593296,-62,76
60.834870338,-59,82
61.334762096,-53,94
61.834758759,-59,82
62.334643841,-55,90
62.834791660,-65,70
63.334527969,-61,78
63.834737778,-57,86
64.334505081,-53,94
64.834727287,-57,86
65.334697247,-61,78
65.834774017,-59,82
66.334795475,-61,78
66.834738255,-53,94
67.334560394,-59,82
67.834890842,-57,86
68.334687710,-59,82
68.834761143,-57,86
69.334708214,-47,100
69.834657192,-45,100
70.334654331,-53,94
70.834814072,-60,80
71.334504604,-62,76
71.834799290,-57,86
72.334568024,-67,66
72.834582806,-55,90
73.334640503,-53,94
73.834689140,-61,78
74.334403992,-60,80
74.834709644,-65,70
75.334358215,-69,62
75.834544182,-65,70
76.334527969,-59,82
76.834510326,-60,80
77.334300041,-62,76
77.834582806,-60,80
78.334272862,-60,80
78.834631443,-60,80
79.334496498,-60,80
79.834770203,-60,80
80.334436417,-62,76
80.834623814,-60,80
81.334635735,-60,80
81.834747791,-62,76
82.334532738,-59,82
82.834863663,-55,90
83.334692955,-59,82
83.834718704,-59,82
84.334677219,-60,80
84.834683418,-57,86
85.334671974,-57,86
85.834787369,-57,86
86.334436417,-57,86
86.834984302,-57,86
87.334731102,-55,90
87.834761143,-53,94
88.334790707,-59,82
88.834891319,-55,90
89.334624291,-55,90
89.834959507,-53,94
90.334602833,-53,94
90.834924698,-55,90
91.334738731,-62,76
91.834684849,-59,82
92.334749222,-59,82
92.834778309,-62,76
93.334536553,-51,98
93.834857464,-59,82
94.334484577,-81,38
94.834799290,-59,82
95.334670544,-71,58
95.834602833,-55,90
96.334650040,-57,86
96.834603786,-64,72
97.334387302,-57,86
97.834705353,-64,72
98.334542751,-62,76
98.834568500,-63,74
99.334508896,-57,86
99.834549427,-65,70
100.334517956,-55,90
100.834607601,-55,90
101.334273338,-65,70
101.834665775,-62,76
102.334413052,-64,72
102.834425449,-67,66
103.334599495,-65,70
103.834702492,-67,66
104.334440231,-65,70
104.834708691,-65,70
105.334352970,-65,70
105.834715366,-67,66
106.334522724,-67,66
106.834476471,-69,62
107.334531784,-65,70
107.834619522,-57,86
108.334310532,-59,82
108.834639549,-64,72
109.334313870,-59,82
109.834487915,-60,80
110.334526539,-60,80
110.834472656,-65,70
111.334427834,-59,82
111.834433079,-60,80
112.334326744,-58,84
112.834526539,-67,66
113.334403992,-59,82
113.834423542,-65,70
114.334294796,-60,80
114.834407330,-62,76
115.334234238,-62,76
115.834392548,-57,86
116.834528446,-59,82
117.334189415,-59,82
117.834321022,-55,90
118.334320545,-57,86
118.834423542,-55,90
119.334122658,-47,100
119.834430218,-55,90
120.334075451,-60,80
120.834402561,-64,72
121.334243298,-61,78
121.834247112,-55,90
122.334217548,-57,86
122.834237575,-65,70
123.334045410,-55,90
123.834705830,-53,94
124.334308624,-57,86
124.834519863,-59,82
125.334516049,-53,94
125.834516525,-57,86
126.334307671,-51,98
126.834624290,-55,90
127.334340572,-67,66
127.834650993,-62,76
128.334343433,-69,62
128.834398746,-59,82
129.334449768,-67,66
129.834562302,-60,80
130.334192753,-57,86
130.834557056,-60,80
131.334238052,-65,70
131.834536076,-57,86
132.334335804,-65,70
132.834314346,-62,76
133.334346771,-62,76
133.834392071,-62,76
134.334092140,-62,76
134.834420204,-62,76
135.334087372,-62,76
135.834246159,-62,76
136.334234715,-62,76
136.834191322,-62,76
137.334221840,-59,82
137.834343433,-55,90
138.333992481,-62,76
138.834359646,-62,76
139.334130764,-62,76
139.834145546,-57,86
140.334166050,-53,94
140.834237099,-53,94
141.333960533,-55,90
141.834238529,-57,86
