Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.013285160,-0.9276237,0.338302,0.3733691,0.4905493,0.4972131,0.7019184,-17.65951,-1.324742,-43.99096,1006.859
0.046061993,-0.6761391,0.2192566,0.1892316,0.4886169,0.4943216,0.7086664,-17.64598,-2.053616,-43.9795,1006.857
0.081360340,-0.6113428,0.4544242,0.005383096,0.49056,0.4938441,0.7076999,-17.64598,-2.053616,-43.9795,1006.857
0.114136696,0.01165501,0.2757019,0.0659903,0.48764,0.4957378,0.7033717,-18.01537,-1.676419,-43.11454,1006.856
0.146913528,0.01164636,0.09783769,-0.05659063,0.4910312,0.4996858,0.7067272,-17.65274,-1.689179,-43.98523,1006.854
0.179690838,0.8184083,-0.1386167,-0.05622575,0.4886,0.5016338,0.7096182,-17.65274,-1.689179,-43.98523,1006.854
0.212467194,-0.5496938,0.2159852,0.1878801,0.4880933,0.5098857,0.7062374,-17.65951,-1.324742,-43.99096,1006.854
0.247765541,-0.6078432,0.03837066,0.1866724,0.4861927,0.4918328,0.7038624,-17.65129,-1.677291,-43.11501,1006.852
0.280541897,-0.6679538,-0.07991533,0.1860266,0.4895817,0.4967549,0.7072164,-17.65129,-1.677291,-43.11501,1006.852
0.313319206,-0.3554454,0.1562989,0.06324344,0.4925031,0.4938737,0.7096207,-17.65878,-1.318798,-43.55585,1006.852
0.346095562,0.1418198,0.3328285,0.001686087,0.4929779,0.4987614,0.7115376,-17.28867,-1.690052,-43.9857,1006.85
0.381393910,0.5743284,-0.1402433,0.06297818,0.4900618,0.4997045,0.7105804,-17.28867,-1.690052,-43.9857,1006.85
0.414170265,-0.6683034,-0.02226485,-0.05920752,0.4881005,0.5064631,0.7043172,-16.91783,-2.055361,-43.98044,1006.849
0.446947574,-0.4169209,0.331863,0.0630395,0.4924978,0.4958118,0.7081736,-17.65202,-1.683235,-43.55012,1006.849
0.479723930,0.01835748,0.0357694,-0.1203887,0.4871496,0.4986894,0.708182,-17.65202,-1.683235,-43.55012,1006.853
0.512500763,-0.04346785,0.09486449,0.1847232,0.4895823,0.4967649,0.7086605,-17.2947,-1.319671,-43.55632,1006.854
0.547798633,-0.2915649,-0.3186262,0.1230916,0.4905636,0.4923864,0.7081834,-17.28867,-1.690052,-43.9857,1006.853
0.580575943,-0.04249737,-0.1411057,-0.06033226,0.4871573,0.4952735,0.7072244,-17.28867,-1.690052,-43.9857,1006.853
0.613352299,-0.3515639,-0.08210517,0.2450521,0.4857027,0.4952948,0.7120414,-17.66616,-0.959456,-43.93453,1006.853
0.646129131,-0.04042349,0.2722851,0.1836537,0.4949296,0.492863,0.7014333,-16.92386,-1.68498,-43.55106,1006.853
0.681427956,0.5187819,0.3308311,-0.1220035,0.4866732,0.4952929,0.7105951,-16.92386,-1.68498,-43.55106,1006.853
0.714204311,0.2688077,0.0352609,0.0006332949,0.4876483,0.4933428,0.7091516,-17.65274,-1.689179,-43.98523,1006.853
0.746981144,0.206585,-0.08275329,0.06181559,0.4900607,0.4996877,0.7081736,-17.65129,-1.677291,-43.11501,1006.851
0.779757500,-0.4139061,0.03552874,0.0007234332,0.4857023,0.4952881,0.7110787,-17.65129,-1.677291,-43.11501,1006.851
0.812534809,0.2694726,0.03579155,0.0004523071,0.4847252,0.4961971,0.7028966,-17.65878,-1.318798,-43.55585,1006.849
0.847832680,-0.2269421,0.03587529,0.2444616,0.4905567,0.4963194,0.7134725,-17.65951,-1.324742,-43.99096,1006.854
