Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.782659054,83.91016,139.40625,3.990625,255.3125,0
1.661794662,83.89844,139.40625,3.990625,257.1875,0
2.716162205,83.88672,139.3125,3.990625,266.25,0
3.771059036,83.88672,139.40625,3.990625,261.25,0
4.650127411,83.87109,139.6875,3.9875,261.25,0
5.704778194,83.85938,139.6875,3.99125,250.3125,0
6.759681225,83.84766,139.6875,3.9875,254.6875,0
7.638916016,83.84766,139.875,3.99125,253.125,0
8.693496704,83.83594,139.96875,3.990625,255,0
9.748299599,83.82422,140.0625,3.988125,279.6875,0
10.803094387,83.8125,139.875,3.989375,266.875,0
11.681899548,83.80078,139.78125,3.989375,260.9375,0
12.736969948,83.80078,139.78125,3.98875,263.75,0
13.791805744,83.78906,139.78125,3.990625,266.875,0
14.671146870,83.77344,139.40625,3.99,272.8125,0
15.725431919,83.76172,139.21875,3.98875,273.75,0
16.780240059,83.75,139.03125,3.989375,254.6875,0
17.659265995,83.73828,138.9375,3.98875,254.375,0
18.714009762,83.73828,138.75,3.988125,262.8125,0
19.768789768,83.72656,138.9375,3.988125,266.5625,0
20.648074627,83.71484,139.03125,3.986875,276.25,0
21.702672481,83.70313,139.125,3.988125,258.4375,0
22.757417679,83.69141,138.75,3.98875,260.3125,0
23.636402130,83.69141,138.65625,3.985625,265.9375,0
24.691062450,83.67578,138.9375,3.9875,272.8125,0
25.746033668,83.66406,138.9375,3.985625,256.25,0
26.800697803,83.65234,138.9375,3.9875,255.3125,0
27.679767609,83.64063,138.9375,3.988125,255.3125,0
28.734547138,83.62891,139.125,3.98875,279.6875,0
29.789229393,83.62891,139.03125,3.989375,261.25,0
30.668288231,83.61719,138.9375,3.98875,255.9375,0
31.723056316,83.60547,138.75,3.98875,269.6875,0
32.777839661,83.59375,138.65625,3.99,257.8125,0
33.656864643,83.57813,138.75,3.988125,275,0
34.711722374,83.57813,138.65625,3.988125,273.4375,0
35.766420364,83.56641,138.65625,3.984375,258.125,0
36.645416737,83.55469,138.65625,3.985625,259.0625,0
37.700760841,83.54297,138.5625,3.98625,299.6875,0
38.754985332,83.53125,138.375,3.985625,272.5,0
39.633970737,83.53125,138.46875,3.986875,261.5625,0
40.688934803,83.51953,138.375,3.98875,268.125,0
41.743598938,83.50781,138.46875,3.988125,251.25,0
42.798805237,83.49609,138.5625,3.98875,241.875,0
43.677667141,83.48047,138.65625,3.98875,267.5,0
44.732924461,83.46875,138.84375,3.986875,276.875,0
45.787137032,83.46875,138.65625,3.988125,258.125,0
46.666089535,83.45703,138.75,3.985625,257.8125,0
47.720722198,83.44531,138.75,3.989375,251.875,0
48.775633335,83.43359,138.84375,3.9875,265.625,0
49.654774189,83.42188,138.84375,3.9875,272.8125,0
50.709826946,83.42188,138.84375,3.985625,273.75,0
51.764239311,83.41016,138.75,3.989375,255,0
52.643268108,83.39844,138.75,3.988125,260.9375,0
53.697932243,83.38281,139.03125,3.985,255.9375,0
54.752908230,83.37109,138.84375,3.988125,261.25,0
55.631762028,83.37109,138.84375,3.985625,255.3125,0
56.686899185,83.35938,138.84375,3.986875,254.375,0
57.741462231,83.34766,138.9375,3.98875,262.5,0
58.796217918,83.33594,138.46875,3.985625,261.875,0
59.675069809,83.32422,138.65625,3.984375,270.9375,0
60.729917526,83.3125,138.75,3.986875,257.1875,0
61.784704685,83.3125,138.75,3.98625,247.8125,0
62.663870811,83.30078,138.75,3.985,266.5625,0
63.718619823,83.28516,138.65625,3.9875,268.4375,0
64.773365974,83.27344,138.375,3.983125,277.5,0
65.652347088,83.26172,138.1875,3.9875,241.5625,0
66.707094192,83.25,138.1875,3.986875,265,0
67.761842728,83.25,138.375,3.986875,251.5625,0
68.640819073,83.23828,138.46875,3.985,257.8125,0
69.695776939,83.22656,138.28125,3.98375,256.875,0
70.750607967,83.21484,138.5625,3.988125,247.5,0
71.805245399,83.20313,138.46875,3.9875,259.0625,0
72.684357166,83.20313,138.46875,3.985625,262.1875,0
73.739264965,83.1875,138.65625,3.985,263.4375,0
74.794394493,83.17578,138.375,3.981875,281.25,0
75.672876358,83.16406,138.1875,3.986875,269.6875,0
76.727721691,83.15234,137.90625,3.985625,276.5625,0
77.782437324,83.14063,138,3.985625,266.875,0
78.661399364,83.14063,137.625,3.983125,276.5625,0
