Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.804280281,48.01,33.514
1.805020809,48.014,33.512
2.803277016,48.014,33.51
3.804017067,48.016,33.508
4.804756641,48.024,33.508
5.803013325,47.964,33.506
6.803752422,47.952,33.504
7.804490566,47.892,33.502
8.802746296,47.992,33.5
9.803484917,47.87,33.5
10.804222584,47.908,33.496
11.804960251,47.916,33.494
12.803215504,47.868,33.492
13.803952694,47.88,33.492
14.804690361,47.906,33.492
15.802944183,47.87,33.49
16.803681850,47.856,33.49
17.804418564,47.868,33.488
18.802672386,47.882,33.488
19.803409576,47.852,33.488
20.804145813,47.902,33.488
21.804883003,47.842,33.488
22.803136826,47.836,33.488
23.803873062,47.828,33.486
24.804610252,47.876,33.486
25.802863598,47.858,33.486
26.803600788,47.844,33.488
27.804337025,47.908,33.486
28.805073261,47.892,33.486
29.803327084,47.9,33.486
30.804063320,47.87,33.488
31.804800510,47.878,33.488
32.803054333,47.854,33.488
33.803790569,47.884,33.488
34.804527760,47.838,33.488
35.802781582,47.858,33.488
36.803517818,47.914,33.488
37.804255009,47.88,33.486
38.804991722,47.872,33.486
39.803244591,47.864,33.484
40.803980827,47.816,33.484
41.804717541,47.872,33.484
42.802969933,47.874,33.484
43.803706169,47.828,33.484
44.804441929,47.86,33.484
45.802695274,47.868,33.484
46.803431034,47.884,33.484
47.804167271,47.852,33.484
48.804903030,47.864,33.484
49.803155422,47.832,33.482
50.803891182,47.844,33.482
51.804627418,47.868,33.482
52.802879810,47.83,33.482
53.803615570,47.882,33.482
54.804351330,47.824,33.482
55.802604675,47.764,33.482
56.803340435,47.884,33.482
57.804076195,47.842,33.482
58.804811954,47.846,33.482
59.803064823,47.832,33.484
60.803800583,47.858,33.484
61.804537296,47.876,33.484
62.802790165,47.846,33.484
63.803525925,47.838,33.484
64.804261684,47.836,33.484
65.802515030,47.874,33.484
66.803250313,47.822,33.482
67.803986072,47.806,33.482
68.804721355,47.85,33.48
69.802973747,47.82,33.48
70.803709030,47.834,33.48
71.804444790,47.84,33.478
72.802696228,47.808,33.48
73.803431511,47.836,33.48
74.804166317,47.818,33.478
75.802418232,47.874,33.478
76.803153515,47.814,33.478
77.803889275,47.84,33.478
78.804624081,47.81,33.478
79.802875996,47.79,33.48
80.803610802,47.878,33.48
81.804346561,47.834,33.478
82.802598476,47.786,33.478
83.803334236,47.856,33.48
84.804069519,47.84,33.48
85.802321911,47.784,33.482
86.803057671,47.848,33.482
87.803793430,47.836,33.482
88.804529190,47.854,33.482
89.802782059,47.866,33.482
90.803517818,47.868,33.484
91.804253578,47.88,33.484
92.802506924,47.854,33.486
93.803242683,47.848,33.486
94.803978920,47.878,33.486
95.804715157,47.89,33.486
96.802968502,47.842,33.486
97.803704262,47.856,33.486
98.804440021,47.864,33.486
99.802692890,47.908,33.484
100.803428650,47.866,33.484
101.804164410,47.84,33.482
102.802416801,47.838,33.482
103.803152084,47.818,33.482
104.803887844,47.814,33.482
105.804622650,47.828,33.48
106.802875042,47.788,33.48
107.803610325,47.846,33.48
108.804345131,47.848,33.48
109.802598000,47.814,33.48
110.803332806,47.828,33.48
111.804068088,47.836,33.48
112.802319527,47.828,33.48
113.803054810,47.79,33.48
114.803790092,47.808,33.478
115.804524898,47.816,33.478
116.802776813,47.77,33.478
117.803511620,47.816,33.478
118.804246426,47.81,33.478
119.802497864,47.764,33.478
120.803233147,47.83,33.478
121.803967953,47.776,33.478
122.802219868,47.834,33.478
123.802954197,47.772,33.478
124.803689480,47.796,33.48
125.804424286,47.792,33.48
126.802676201,47.858,33.48
127.803411484,47.802,33.48
128.804147243,47.86,33.48
129.802398682,47.82,33.48
130.803133964,47.834,33.48
131.803868771,47.872,33.478
132.804604053,47.74,33.478
133.802855968,47.756,33.476
134.803590298,47.796,33.476
135.804325104,47.8,33.476
136.802577019,47.836,33.476
137.803311348,47.81,33.476
138.804046631,47.81,33.476
139.802297592,47.814,33.476
140.803032875,47.776,33.476
141.803767681,47.868,33.478
142.804502010,47.842,33.478
143.802753925,47.808,33.476
144.803489208,47.81,33.476
145.804224014,47.826,33.476
146.802475929,47.844,33.478
147.803210258,47.846,33.478
148.803945541,47.796,33.478
149.802196979,47.84,33.478
150.802932262,47.858,33.478
151.803667068,47.848,33.478
152.804402828,47.772,33.48
153.802654743,47.84,33.48
154.803390026,47.846,33.48
155.804125786,47.872,33.48
156.802378178,47.842,33.482
157.803113937,47.822,33.482
158.803849697,47.858,33.484
159.802102089,47.86,33.484
160.802838325,47.848,33.486
161.803574562,47.89,33.486
162.804310322,47.848,33.488
163.802564144,47.872,33.488
164.803300857,47.866,33.49
165.804037094,47.878,33.49
166.802290916,47.902,33.49
167.803028107,47.89,33.492
168.803765774,47.864,33.494
169.802019596,47.896,33.494
170.802757263,47.862,33.496
171.803494930,47.902,33.498
172.804232597,47.94,33.498
173.802487850,47.982,33.5
174.803225994,47.97,33.5
175.803964615,47.956,33.502
176.802220344,47.916,33.504
177.802958965,47.974,33.506
178.803698540,47.978,33.506
179.801954269,48.004,33.508
