Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.016616821,0.1671326,0.003351198,-0.08793695,0.05018886,0.3124025,-0.9481226,0.635895,-18.20978,29.76969,1007.214
0.051683903,-0.01748841,0.1814809,0.0342529,0.05307955,0.3143997,-0.9514784,0.635895,-18.20978,29.76969,1007.214
0.084245682,-0.0787321,0.0619847,-0.02710521,0.05351981,0.3178206,-0.9543269,1.013728,-18.93475,29.77372,1007.215
0.116807937,-0.2014662,-0.0569501,-0.0269371,0.05645275,0.3168868,-0.954344,1.008047,-18.57094,29.77111,1007.215
0.149370670,-0.1396388,0.002371057,0.03425668,0.05168396,0.3085541,-0.9525331,1.008047,-18.57094,29.77111,1007.215
0.184437752,0.2291355,-0.1761197,0.2177045,0.0564962,0.3139538,-0.9505218,0.6391571,-18.20461,30.66183,1007.215
0.217000484,0.1054362,0.002537288,-0.08825864,0.05752122,0.3100682,-0.9481652,1.009678,-18.56836,30.21718,1007.212
0.249562740,-0.01731524,-0.0569913,0.1565917,0.05550338,0.3158782,-0.9490413,1.009678,-18.56836,30.21718,1007.214
0.284629822,-0.1396962,0.06195927,0.03423494,0.05020742,0.3099906,-0.9520264,1.009678,-18.56836,30.21718,1007.214
0.317191601,0.168086,0.06163196,0.09548672,0.05362205,0.3100241,-0.9496122,1.009678,-18.56836,30.21718,1007.214
0.349754333,0.1060663,0.002235478,0.03414765,0.05602015,0.3125007,-0.9529604,1.009678,-18.56836,30.21718,1007.214
0.384821415,-0.1402198,-0.1166245,-0.2106462,0.0520783,0.3163394,-0.9533814,1.364786,-17.83809,30.21077,1007.214
0.417383671,-0.262896,0.002122617,-0.149279,0.05309121,0.3139028,-0.9490691,0.635895,-18.20978,29.76969,1007.214
0.449946403,0.04550399,0.1209265,0.09568574,0.05356605,0.3153581,-0.9471139,0.635895,-18.20978,29.76969,1007.214
0.485013485,0.1686869,0.001900382,0.1566186,0.05407643,0.3115167,-0.9558738,0.2767365,-18.57365,30.21956,1007.214
0.517575741,0.1066068,0.06118698,-0.1493832,0.05559395,0.3085786,-0.9467359,1.008047,-18.57094,29.77111,1007.214
0.550137520,-0.01672817,0.1203626,-0.02704731,0.05896799,0.3105886,-0.9515422,1.008047,-18.57094,29.77111,1007.214
0.582700252,0.1063564,-0.1176602,-0.08817469,0.05360837,0.3110003,-0.9505641,1.015359,-18.93217,30.2198,1007.214
0.617767334,-0.2008987,-0.117535,-0.02693355,0.05504259,0.3139216,-0.9476206,0.6488886,-18.93482,30.22099,1007.216
0.650329590,-0.07770019,-0.1172798,0.2181849,0.05357935,0.3139069,-0.9485862,0.6488886,-18.93482,30.22099,1007.216
0.682892322,0.04524684,-0.1171934,-0.149018,0.0565643,0.3071709,-0.9549757,0.6505196,-18.93223,30.66706,1007.216
0.717959404,0.1060933,0.1205547,-0.02663685,0.05405103,0.3144168,-0.9524459,0.6448383,-18.56842,30.66444,1007.216
0.750521183,0.1057765,0.06099269,0.03432556,0.05600369,0.3130064,-0.957303,0.6448383,-18.56842,30.66444,1007.218
0.783083439,-0.0787932,0.1798364,0.09550008,0.05652402,0.3110493,-0.952983,0.637526,-18.2072,30.21576,1007.214
0.818150997,-0.07825419,-0.05872756,-0.02704932,0.05749265,0.3120229,-0.9505522,0.2710552,-18.20984,30.21695,1007.215
0.850713253,-0.3236783,0.0006570392,-0.08850327,0.05746371,0.3135026,-0.9553634,0.2710552,-18.20984,30.21695,1007.215
0.883275986,-0.1997865,-0.2372319,-0.08821942,0.05411862,0.3100128,-0.9457458,0.2710552,-18.20984,30.21695,1007.217
0.918343067,0.1082645,-0.1180682,0.03435541,0.06144818,0.307208,-0.9491794,0.6432073,-18.571,30.21837,1007.219
0.950905323,0.1075334,0.001113958,0.03438817,0.05351778,0.3182999,-0.9528695,0.6432073,-18.571,30.21837,1007.219
0.983467102,0.04531699,-0.05792387,0.09563929,0.05662505,0.303255,-0.9487516,0.2710552,-18.20984,30.21695,1007.219
1.016029835,-0.261926,0.06105015,-0.08783069,0.05117643,0.311439,-0.9471714,0.6488886,-18.93482,30.22099,1007.219
1.051096916,-0.19923,0.1200016,-0.02659101,0.05412673,0.3080956,-0.9515756,0.6488886,-18.93482,30.22099,1007.221
1.083659172,-0.07542114,-0.2372423,0.09572423,0.05309685,0.3134169,-0.9490765,0.9999464,-17.83815,30.65803,1007.221
