Time (s),Humidity (%)
0.359430790,12.68652
1.359252453,12.33984
2.359073162,11.64551
3.358894825,12.88477
4.361190796,11.52148
5.361011505,11.29785
6.360833168,12.01758
7.360654354,11.36035
8.360475063,11.22363
9.360296249,11.68262
10.360117435,11.27344
11.359938145,11.0625
12.359759331,11.27344
13.359580517,10.69043
14.359401226,11.14941
15.359222412,11.18652
16.359042644,12.07813
17.358863830,11.57031
18.361159324,10.09473
19.360979557,11.22266
20.360799789,11.68164
21.360620499,11.79297
22.360440731,12.56055
23.360260486,11.71777
24.360079765,11.96582
25.359900474,10.4541
26.359719753,11.07324
27.359539509,11.59375
28.359358787,11.2959
29.359178066,12.3125
30.358997822,12.06445
31.358817100,10.47852
32.361110687,11.35742
33.360929489,12.11426
34.360748768,12.52246
35.360567570,12.49805
36.360385895,11.3457
37.360205173,11.98926
38.360023498,11.89063
39.359841823,11.84082
40.359660148,12.07617
41.359478474,11.53027
42.359295368,11.30664
43.359112263,11.02051
44.358929157,9.992188
45.358746052,11.15723
46.361037731,12.14844
47.360855102,11.57813
48.360671043,12.23535
49.360487461,12.4209
50.360303879,11.39258
51.360120296,12.30957
52.359936714,10.5752
53.359753132,12.13574
54.359568596,12.71777
55.359385013,13.23828
56.359200477,11.41699
57.359016418,11.26855
58.358831882,11.65234
59.361122131,12.23535
60.360938072,12.86621
61.360753536,11.91309
62.360569477,11.39258
63.360384464,11.56543
64.360199928,11.8877
65.360015392,12.87891
66.359830379,12.81641
67.359646320,13.02734
68.359461307,12.75488
69.359276771,11.52832
70.359091759,10.9209
71.358906746,11.30469
72.358721733,11.16797
73.361011028,10.93262
74.360826015,12.13477
75.360640049,10.80859
76.360455513,12.14648
77.360269546,12.56836
78.360084057,12.19629
80.359712601,11.72559
81.359527588,12.25781
82.359342098,11.89941
83.359156132,12.85254
84.358970165,10.72168
85.358784199,11.97363
86.358598709,12.6416
87.360887527,12.58008
88.360702038,11.49023
89.360515594,12.50586
90.360330105,11.52734
91.360143661,12.83984
92.359958172,12.30762
93.359771728,12.15918
94.359585285,12.76563
95.359398842,12.61719
96.359213352,11.57617
97.359026909,13.0752
98.358840465,12.34473
99.358654976,11.77539
100.360943317,12.74121
101.360756874,12.33203
102.360570431,11.09277
103.360384464,10.58398
104.360197067,12.1084
105.360010147,12.00879
106.359823704,12.71484
107.359636783,11.40234
108.359449863,11.6377
109.359262943,11.27832
110.359076023,11.66211
111.358889580,12.54199
112.358702659,11.53906
113.358515739,12.07129
114.360804081,11.37793
115.360617161,12.45508
116.360429764,12.13281
117.360242843,11.86035
118.360055923,11.37793
119.359869003,12.51758
120.359682083,12.35645
121.359495163,10.79492
122.359307766,11.48926
123.359120846,11.61328
124.358933925,11.30371
125.358747005,13.45801
126.358560085,11.81152
127.360848427,13.39648
128.360661030,12.79004
129.360474110,12.39355
130.360288143,11.84863
131.360101700,12.43164
132.359914780,12.27051
133.359728336,12.88965
134.359541893,13.14941
135.359355450,11.55176
136.359169483,11.58887
137.358983040,10.94434
138.358796596,10.77051
139.358610153,11.25391
140.358423710,12.28223
141.360712051,11.87402
142.360526085,11.22949
143.360340118,12.07227
144.360154152,11.78711
145.359968185,11.71289
146.359782696,11.20508
147.359596252,12.10938
148.359410763,11.7998
149.359224796,11.31641
150.359039306,11.71289
151.358853817,12.35742
152.358667374,12.2832
153.358481407,11.50293
154.360770702,11.46582
155.360584736,12.2832
156.360399246,12.54297
157.360213756,11.87402
158.360027313,11.40332
159.359841823,12.2207
160.359655380,12.32031
161.359469414,12.62988
162.359283447,12.7168
163.359097004,12.76563
164.358910560,11.63867
165.358725071,12.75391
166.358538627,12.81543
167.358352184,12.53125
168.360641479,11.49023
169.360455036,13.27344
170.360269070,12.54297
171.360083103,12.03516
172.359897137,12.2334
173.359710693,11.96094
174.359525204,11.7998
175.359339714,12.85254
176.359153271,11.42871
177.358967781,12.82813
178.358781814,12.37012
179.358596325,13.21191
