Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.203552246,83.55469,139.40625,3.984375,262.5,0
1.258831978,83.54297,139.6875,3.980625,267.8125,0
2.313008308,83.53125,139.6875,3.981875,260.625,0
3.192800998,83.53125,139.6875,3.9825,260.3125,0
4.246754646,83.51953,139.5,3.983125,256.5625,0
5.301700115,83.50781,139.59375,3.985,263.125,0
6.180582046,83.49609,139.5,3.980625,294.375,0
7.235482216,83.48047,139.21875,3.983125,254.375,0
8.290274620,83.48047,139.125,3.98375,255,0
9.169308185,83.46875,139.40625,3.98125,254.0625,0
11.278767109,83.44531,139.40625,3.983125,272.1875,0
12.333647728,83.43359,139.3125,3.980625,267.5,0
13.212567329,83.43359,139.3125,3.98125,268.75,0
14.267436981,83.42188,139.125,3.981875,276.25,0
15.322422504,83.41016,139.125,3.984375,267.5,0
16.201297760,83.39844,139.03125,3.981875,266.25,0
17.256203174,83.38281,138.9375,3.980625,290.3125,0
18.310686111,83.38281,139.03125,3.9825,253.75,0
19.189696312,83.37109,138.84375,3.980625,257.8125,0
20.244516373,83.35938,138.84375,3.9825,262.8125,0
21.299441814,83.34766,138.84375,3.98375,259.375,0
22.178301334,83.33594,138.84375,3.983125,266.5625,0
23.233234882,83.32422,138.5625,3.980625,267.1875,0
24.288381576,83.32422,138.28125,3.980625,256.25,0
25.166974544,83.3125,138.375,3.980625,275.625,0
26.221611500,83.30078,138.09375,3.979375,269.375,0
27.276405811,83.28516,138,3.981875,274.375,0
28.331331730,83.27344,138,3.98125,262.5,0
29.210193157,83.27344,138.09375,3.9775,276.25,0
30.265184879,83.26172,138.375,3.98,268.75,0
31.320363521,83.25,138.28125,3.98,255.9375,0
32.198898315,83.23828,138.375,3.9775,270.9375,0
33.253592491,83.22656,138.5625,3.97875,257.8125,0
34.308351040,83.21484,138.375,3.9825,252.8125,0
35.187456131,83.21484,138.75,3.980625,272.1875,0
36.242136478,83.20313,138.1875,3.980625,264.375,0
37.297079563,83.1875,138.09375,3.979375,255.9375,0
38.175975323,83.17578,138,3.98,270.3125,0
39.230843067,83.16406,138.1875,3.979375,255,0
40.285539627,83.16406,138.28125,3.97875,270.9375,0
41.164678097,83.15234,138.46875,3.98125,260.625,0
42.219300747,83.14063,138.46875,3.97875,257.1875,0
43.274083614,83.12891,138.65625,3.979375,258.125,0
44.328988075,83.11719,138.46875,3.98125,278.4375,0
45.207863331,83.11719,138.375,3.976875,283.75,0
46.262784004,83.10547,138.46875,3.980625,254.6875,0
47.317493439,83.08984,138.46875,3.981875,253.125,0
