Time (s),W,X,Y,Z
0.000000000,-0.3981586,0.1719703,-0.477673,-0.7618084
0.035298347,-0.3981871,0.1719903,-0.4776822,-0.7617832
0.068074703,-0.3982509,0.1720034,-0.4777052,-0.7617327
0.100852012,-0.3982841,0.1720087,-0.4777143,-0.7617083
0.133628845,-0.398253,0.1720447,-0.4777775,-0.7616768
0.168926716,-0.3982657,0.1721191,-0.4778185,-0.7616276
0.201704025,-0.3982589,0.1720826,-0.477712,-0.7617062
0.234480858,-0.3981839,0.1719888,-0.4776697,-0.7617933
0.267257213,-0.3981309,0.1719347,-0.4777696,-0.7617705
0.300034523,-0.3981786,0.1719892,-0.4778497,-0.7616829
0.335332870,-0.3982255,0.1720425,-0.4778285,-0.7616598
0.368109703,-0.3982716,0.1720448,-0.4777753,-0.7616683
0.400886536,-0.3982394,0.17203,-0.47772,-0.7617234
0.433663368,-0.3981354,0.1719718,-0.4777217,-0.7617897
0.468961716,-0.3980496,0.1718701,-0.4776927,-0.7618756
0.501738071,-0.3979869,0.1717787,-0.4777055,-0.7619209
0.534515381,-0.3981165,0.17183,-0.4777301,-0.7618263
0.567292213,-0.3982615,0.171891,-0.4777014,-0.7617547
0.600069046,-0.3983321,0.1719013,-0.4776408,-0.7617535
0.635367393,-0.3983623,0.1719655,-0.4776011,-0.7617483
0.668144226,-0.3983703,0.1720148,-0.4776317,-0.7617136
0.700920582,-0.3984039,0.1720746,-0.4776742,-0.761656
0.733697891,-0.3983984,0.1720424,-0.4776593,-0.7616754
0.768996239,-0.3983555,0.1719932,-0.4776278,-0.7617286
0.801773548,-0.398309,0.1719155,-0.4776507,-0.7617562
0.834549904,-0.398391,0.1718773,-0.4775859,-0.7617625
0.867326736,-0.3984303,0.1718718,-0.4775804,-0.7617466
0.900104046,-0.3983553,0.171929,-0.4777092,-0.7616922
0.935401916,-0.3982919,0.1719294,-0.4777318,-0.7617112
0.968178749,-0.3982489,0.1718992,-0.4776028,-0.7618214
1.000956059,-0.3981999,0.1718822,-0.4775441,-0.7618877
1.033732414,-0.3983178,0.1719236,-0.4775482,-0.7618142
1.069030762,-0.398439,0.1719947,-0.4775522,-0.761732
1.101807594,-0.3985083,0.17204,-0.4774855,-0.7617274
1.134584904,-0.3983841,0.1719465,-0.4774216,-0.7618535
1.167361259,-0.3982788,0.1719092,-0.4774233,-0.761916
1.200138569,-0.3981999,0.1719,-0.4774348,-0.761952
1.235436916,-0.3981138,0.1718486,-0.4774463,-0.7620013
1.268213272,-0.3980595,0.171846,-0.4775033,-0.7619947
1.300990105,-0.3980309,0.1718087,-0.4774745,-0.762036
1.333767414,-0.3980512,0.1717749,-0.4774947,-0.7620205
1.369065285,-0.3980695,0.171776,-0.4774909,-0.762013
1.401842117,-0.3980899,0.1718072,-0.4775237,-0.7619748
1.434619427,-0.398128,0.1718612,-0.4775311,-0.7619381
1.467395782,-0.3981708,0.1719152,-0.4775221,-0.7619092
1.500172615,-0.398196,0.1719349,-0.4775419,-0.7618792
1.535471439,-0.398066,0.1718866,-0.4776027,-0.7619199
1.568248272,-0.3980199,0.1718772,-0.4776389,-0.7619234
1.601024628,-0.3980334,0.171853,-0.4776649,-0.7619054
1.633801937,-0.3980958,0.171886,-0.4776579,-0.7618697
1.669100284,-0.3980871,0.1719673,-0.4776803,-0.761842
1.701876640,-0.3981626,0.172047,-0.4777317,-0.7617522
1.734653950,-0.3983044,0.1721257,-0.4777332,-0.7616595
1.767430782,-0.3983193,0.172079,-0.4777046,-0.76168
1.800207138,-0.3983144,0.1720055,-0.4777056,-0.7616987
1.835505485,-0.3982636,0.1720567,-0.4777898,-0.7616608
1.868282795,-0.3982522,0.1720543,-0.4777225,-0.7617096
1.901059151,-0.398184,0.1720282,-0.4776135,-0.7618195
1.933836460,-0.3980096,0.1719784,-0.477654,-0.7618963
1.966613293,-0.3979395,0.1718907,-0.4776652,-0.7619458
