Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.932895184,44.082,32.638
1.933865547,44.108,32.64
2.932315826,44.154,32.64
3.933287144,44.14,32.642
4.931736946,44.138,32.642
5.932708263,44.202,32.644
6.933680058,44.126,32.646
7.932130814,44.142,32.646
8.933102608,44.13,32.648
9.934074402,44.17,32.65
10.932525635,44.172,32.65
11.933498383,44.174,32.652
12.931949615,44.182,32.654
13.932921886,44.168,32.654
14.933894634,44.114,32.656
15.932346821,44.182,32.656
16.933320045,44.206,32.658
17.931771278,44.146,32.658
18.932744503,44.182,32.658
19.933717728,44.192,32.658
20.932169437,44.218,32.66
21.933143616,44.194,32.66
22.934116840,44.216,32.662
23.932569027,44.178,32.662
24.933543205,44.226,32.662
25.931994915,44.226,32.662
26.932969093,44.208,32.664
27.933942795,44.234,32.664
28.932395458,44.144,32.664
29.933369637,44.276,32.664
30.931821823,44.208,32.664
31.932796001,44.232,32.664
32.933769703,44.182,32.664
33.932222366,44.204,32.664
34.933196545,44.184,32.664
35.931648254,44.168,32.664
36.932621956,44.212,32.664
37.933596134,44.172,32.664
38.932048798,44.172,32.664
39.933022022,44.2,32.664
40.931474686,44.254,32.664
41.932448387,44.182,32.662
42.933421612,44.202,32.662
43.931874275,44.178,32.662
44.932847500,44.176,32.662
45.933820724,44.192,32.662
46.932273388,44.17,32.662
47.933246613,44.212,32.662
48.931698322,44.194,32.662
49.932671547,44.152,32.66
50.933644772,44.134,32.66
51.932096958,44.17,32.66
52.933069706,44.154,32.66
53.931521416,44.166,32.658
54.932494163,44.204,32.658
55.933466434,44.156,32.658
56.931917667,44.144,32.656
57.932890415,44.17,32.656
58.933862209,44.184,32.654
59.932313442,44.086,32.654
60.933285713,44.12,32.652
61.931735516,44.14,32.652
62.932706833,44.134,32.65
63.933677673,44.09,32.648
64.932127953,44.106,32.648
65.933098316,44.108,32.646
66.931548119,44.116,32.644
67.932518482,44.14,32.642
68.933488846,44.05,32.642
69.931937218,44.074,32.64
70.932907104,44.09,32.638
71.931355476,44.082,32.638
72.932325363,44.084,32.636
73.933294296,44.066,32.634
74.931741714,44.008,32.634
75.932711124,44.048,32.634
76.933679581,44.03,32.632
77.932126522,44.024,32.63
78.933095455,44.028,32.628
79.931541920,43.992,32.626
80.932510376,44.022,32.626
81.933478355,43.96,32.624
82.931924343,43.98,32.622
83.932892323,43.974,32.622
84.931338787,43.986,32.622
85.932306290,44.006,32.62
86.933273315,44.014,32.62
87.931719303,43.956,32.62
88.932686329,43.964,32.618
89.933652878,43.966,32.618
90.932098389,43.974,32.618
91.933065414,43.964,32.616
92.931509972,43.888,32.616
93.932476521,43.922,32.614
