Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
-0.506433487,1.792289,-0.3883658,-0.2417383,0.2326101,0.7318596,0.6463386,-0.04483178,-42.40936,-19.99058,1006.57
-0.473658085,0.3013907,-0.5065512,0.2469738,0.2437889,0.7255544,0.6366944,-0.05835432,-41.68048,-20.00204,1006.57
-0.438361645,-0.2576963,-0.09290238,0.2469738,0.2544593,0.73,0.6328115,-0.05159304,-42.04492,-19.99631,1006.57
-0.405586719,-1.872836,0.3798391,0.06370676,0.2564213,0.7237585,0.6434062,-0.05159304,-42.04492,-19.99631,1006.57
-0.372811794,-2.307682,0.5571171,0.3080628,0.2481858,0.7148964,0.6395882,-0.4082864,-42.40339,-19.61716,1006.57
-0.340036392,-0.9410248,0.1434683,0.3080628,0.2355764,0.7099811,0.64829,-0.4156705,-42.04404,-19.99584,1006.57
-0.307261467,1.04684,-0.4474585,-0.4250054,0.2355739,0.7119626,0.6531007,-0.4156705,-42.04404,-19.99584,1006.57
-0.271965027,1.419565,-0.4474585,-0.4860944,0.2442767,0.726099,0.6443942,-0.04420891,-42.40426,-19.61763,1006.57
-0.239190101,-0.6925417,-0.1519951,0.002617747,0.2442738,0.7270631,0.6429487,0.3124843,-42.04579,-19.99678,1006.57
-0.206414699,-0.6304209,-0.3292731,0.6745969,0.2476863,0.7222513,0.6472801,0.3124843,-42.04579,-19.99678,1006.57
-0.173639774,-1.624353,-0.03380971,-0.05847127,0.2413833,0.7183057,0.6477823,-0.4081826,-42.40254,-19.555,1006.57
-0.138343334,-0.5683001,0.4389318,0.1858848,0.2447975,0.7125099,0.6506711,-0.04410511,-42.40341,-19.55547,1006.57
-0.105568409,0.4256323,-0.03380971,-0.3028273,0.2491779,0.7066451,0.6424865,-0.04410511,-42.40341,-19.55547,1006.572
-0.072793007,2.165014,-0.5065512,-0.3028273,0.2506055,0.7193366,0.6448707,-0.05086637,-42.03897,-19.5612,1006.572
-0.040018081,1.978652,-0.4474585,-0.4250054,0.2345487,0.7333335,0.6458505,-0.04483178,-42.40936,-19.99058,1006.572
-0.007243156,-0.9410248,-0.09290238,0.1858848,0.2369712,0.7342809,0.6391042,-0.04483178,-42.40936,-19.99058,1006.572
0.028052807,-1.189508,0.5571171,0.7356859,0.2433335,0.7138985,0.642008,-0.4149438,-42.0381,-19.56073,1006.57
0.060827732,-1.624353,0.5571171,0.06370676,0.2462595,0.710584,0.6521146,0.3199722,-42.40428,-19.55594,1006.572
0.093602657,0.7362362,0.08437566,-0.3639164,0.2438323,0.7090591,0.6458651,0.3199722,-42.40428,-19.55594,1006.572
0.126378059,1.357444,-0.09290238,-0.5471834,0.2433223,0.7202902,0.6506629,0.3124843,-42.04579,-19.99678,1006.572
0.161674500,0.1150284,0.3207464,-0.05847127,0.2408884,0.7216907,0.6448902,-0.05086637,-42.03897,-19.5612,1006.57
0.194449425,-0.5061794,0.02528298,0.002617747,0.2360426,0.7177641,0.6463518,-0.05086637,-42.03897,-19.5612,1006.57
0.227224350,-0.1955755,0.08437566,-0.3639164,0.2389519,0.7192394,0.6448985,-0.7783983,-42.03213,-19.18731,1006.57
0.259999752,-0.3819378,0.2616537,0.002617747,0.2467192,0.7197813,0.6434352,-0.4143209,-42.033,-19.18778,1006.572
0.292774677,-0.7546625,0.3798391,0.1858848,0.24381,0.7188129,0.6477758,-0.4143209,-42.033,-19.18778,1006.572
0.328071117,0.3013907,0.202561,-0.1806493,0.242353,0.7182904,0.6444106,-0.04420891,-42.40426,-19.61763,1006.572
0.360846043,0.4877531,0.202561,-0.1806493,0.2452741,0.7148988,0.643446,-0.4149438,-42.0381,-19.56073,1006.574
0.393621445,1.108961,-0.03380971,-0.2417383,0.2491485,0.719825,0.6467989,-0.7716371,-42.39657,-19.18158,1006.575
0.426396370,0.3635115,-0.1519951,0.6745969,0.2427822,0.7436801,0.6530358,-0.7716371,-42.39657,-19.18158,1006.575
0.461692810,-0.6925417,-0.2701804,0.4302409,0.2341117,0.7118634,0.6405889,-0.4081826,-42.40254,-19.555,1006.575
0.494467735,0.6119946,-0.2110877,0.002617747,0.2384622,0.7196755,0.63816,-0.4217051,-41.67366,-19.56646,1006.573
0.527243137,-2.618286,0.6753024,-0.1195603,0.2472296,0.7075461,0.6343066,-0.4217051,-41.67366,-19.56646,1006.577
0.560018063,0.1771492,0.4980244,-0.5471834,0.2535442,0.7096539,0.649692,0.3267335,-42.76872,-19.55021,1006.571
0.592792988,0.7362362,0.3207464,-0.5471834,0.2447788,0.7223207,0.660765,-0.4224318,-41.67961,-20.00157,1006.575
0.628088951,0.8604777,0.202561,-0.2417383,0.2423318,0.7280611,0.6487281,-0.4224318,-41.67961,-20.00157,1006.575
0.660863876,-0.8167832,0.3798391,0.1247958,0.2374842,0.7246114,0.6487448,-0.05097017,-42.03983,-19.62336,1006.575
0.693639279,-1.003146,0.202561,0.1247958,0.2384658,0.7197325,0.6463431,-0.05159304,-42.04492,-19.99631,1006.575
0.726414204,-0.2576963,0.02528298,-0.1195603,0.2413827,0.7182957,0.6463383,-0.05159304,-42.04492,-19.99631,1006.579
0.761710644,0.2392699,-0.03380971,0.06370676,0.2491572,0.7169296,0.6506541,0.3124843,-42.04579,-19.99678,1006.579
0.794485569,-0.6304209,0.2616537,0.1858848,0.246731,0.7159252,0.6492174,-0.05086637,-42.03897,-19.5612,1006.579
0.827260971,0.6119946,-0.3292731,-0.1195603,0.2448016,0.710048,0.646824,-0.05086637,-42.03897,-19.5612,1006.579
0.860035897,0.4877531,-0.2110877,-0.1195603,0.2442994,0.7168555,0.6458522,-0.4150476,-42.03895,-19.62289,1006.58
0.892810822,0.4256323,-0.03380971,-0.1806493,0.2476967,0.7168571,0.6419932,-0.4150476,-42.03895,-19.62289,1006.58
0.928107262,1.481686,-0.2701804,-0.3639164,0.2394093,0.7319363,0.6492106,-0.4150476,-42.03895,-19.62289,1006.582
0.960882664,0.4877531,-0.3883658,0.1858848,0.236028,0.7241021,0.647305,0.3199722,-42.40428,-19.55594,1006.582
0.993657589,0.5498738,-0.6838292,0.1858848,0.2389349,0.7270553,0.6482563,-0.04483178,-42.40936,-19.99058,1006.582
1.026432514,-0.6925417,-0.2110877,0.1247958,0.2520524,0.723235,0.6434174,-0.04483178,-42.40936,-19.99058,1006.582
1.061728954,-0.7546625,0.02528298,0.2469738,0.2525544,0.7159203,0.6415017,-0.4089093,-42.40848,-19.99011,1006.582
1.094504356,0.6119946,0.08437566,-0.2417383,0.2472322,0.7085971,0.6453763,-0.4089093,-42.40848,-19.99011,1006.578
1.127279282,1.295323,-0.5656438,-0.1806493,0.2433161,0.7227185,0.6496966,-0.4089093,-42.40848,-19.99011,1006.578
1.160054207,-0.319817,-0.6838292,-0.05847127,0.2433253,0.7178115,0.644409,-0.03807053,-42.77379,-19.98485,1006.578
1.192829609,0.798357,-0.5656438,0.1247958,0.2399284,0.7157948,0.6386437,-0.4089093,-42.40848,-19.99011,1006.582
1.228125095,0.7362362,-0.6247365,-0.3639164,0.2408957,0.7187753,0.6458574,-0.4089093,-42.40848,-19.99011,1006.582
1.260900021,1.605927,-0.4474585,-0.3639164,0.2457235,0.7305011,0.6453469,-0.05159304,-42.04492,-19.99631,1006.582
1.293675423,-0.5061794,0.2616537,0.1247958,0.2452536,0.7241758,0.6468016,-0.402148,-42.77292,-19.98438,1006.582
1.326450348,-1.127387,0.08437566,0.3691518,0.2452524,0.7246628,0.6468009,-0.402148,-42.77292,-19.98438,1006.582
1.361746788,0.05290762,-11.20233,4.645383,0.2040726,0.7111355,0.7821816,-0.4143209,-42.033,-19.18778,1006.582
1.394521713,35.64811,-41.57597,23.88842,0.298688,0.7310283,0.7275333,-0.03807053,-42.77379,-19.98485,1006.58
1.427297115,103.2355,-75.25879,56.63213,0.3497087,1.172467,0.9722415,-0.7648758,-42.76101,-19.17585,1006.58
1.460072041,36.2072,-73.60419,86.19923,0.3364244,1.034781,0.9392665,-0.7648758,-42.76101,-19.17585,1006.58
1.492846966,213.6241,-103.446,132.2603,0.461752,0.9426615,0.5684596,-3.670331,-42.69543,-14.88313,1006.579
1.528143406,340.4126,-103.7415,183.1475,0.6818534,1.429018,0.2052205,-7.650344,-43.32216,-8.091192,1006.579
1.560918808,258.7238,-66.80853,223.283,0.5899689,1.442151,0.03309111,-7.650344,-43.32216,-8.091192,1006.579
1.593693733,260.5253,-44.29423,243.6256,0.6536676,0.9167446,-0.3778324,-13.50625,-43.48228,5.845708,1006.575
1.626468659,260.8359,-19.23893,249.3069,0.8362285,0.9438362,-0.2733694,-20.86615,-38.2294,15.53382,1006.574
1.659244061,123.1142,17.39853,226.2152,0.6921858,0.4881991,-0.136597,-20.86615,-38.2294,15.53382,1006.57
1.694540501,98.94918,25.84879,201.4742,0.6428024,0.2268897,-0.1139434,-27.25398,-30.03757,22.62529,1006.57
1.727315426,27.13757,27.3261,187.2404,0.643136,0.1002712,-0.04251179,-31.44179,-20.12149,22.90991,1006.57
1.760090351,41.36322,31.75805,158.8951,0.6588558,-0.2407432,-0.3539575,-31.44179,-20.12149,22.90991,1006.57
1.792865753,94.10377,40.74014,132.9934,0.7358443,-0.1505464,-0.3629405,-34.49577,-12.45624,23.16629,1006.57
1.828161240,95.34618,59.70889,112.6508,0.6841271,-0.2310964,-0.2577596,-36.42619,-6.566085,22.64089,1006.568
1.860936642,118.5794,75.30936,89.55912,0.7797589,-0.2266499,-0.2936139,-36.42619,-6.566085,22.64089,1006.567
1.893711567,95.09769,108.3422,72.51528,0.8288692,-0.2923645,-0.4876201,-37.62337,-1.125783,20.44295,1006.567
1.926486492,58.13583,190.0674,30.54712,0.8184308,-0.660908,-0.8042573,-38.46458,4.667045,17.43075,1006.565
1.959261894,-14.42123,379.7549,-71.16608,0.5067815,-0.492972,-0.7931813,-38.46458,4.667045,17.43075,1006.567
1.994558334,-61.50878,467.5666,-99.20594,0.07586566,-0.2089838,0.2216419,-40.36044,7.901695,9.299927,1006.562
2.027333260,-373.0445,264.6423,-72.14351,2.649893,-3.088005,-6.253959,-42.59536,5.82206,-5.461368,1006.56
2.060108185,-195.1927,-129.4468,114.7278,0.0898063,3.67619,2.032894,-42.59536,5.82206,-5.461368,1006.56
2.092883587,-581.8324,5.993644,17.29081,0.9339433,-0.6011158,0.4416241,-40.33271,3.861181,-15.19455,1006.56
2.128180027,57.39038,11.60745,-10.13816,0.7784584,-0.6287876,0.08101331,-40.3089,2.796741,-13.06396,1006.559
2.160954952,5.333174,41.80381,-24.49408,0.6625966,0.003567334,0.5958735,-40.3089,2.796741,-13.06396,1006.557
2.193729878,12.53918,19.34859,-24.3719,1.058446,-0.4697138,0.4878229,-40.37753,6.502699,-13.06006,1006.555
2.226505280,36.5178,25.84879,-15.08637,0.9131963,-0.4264768,0.5766727,-39.64512,6.046057,-15.22987,1006.555
2.259280205,8.998299,26.79427,-18.69062,0.5761308,-0.3502407,0.8088924,-39.64512,6.046057,-15.22987,1006.555
2.294576645,10.92404,9.421019,-25.4715,0.2294084,-0.2727248,1.166768,-39.61808,4.588309,-15.20695,1006.553
2.327351570,-23.24238,-35.90307,-37.1395,0.195746,0.01192543,1.238623,-39.23444,3.488182,-15.62534,1006.553
2.360126972,-64.17998,-60.60381,-45.14217,0.2823629,-0.1385215,0.8612571,-39.23444,3.488182,-15.62534,1006.552
2.392901898,-84.80407,-53.09904,-70.4941,0.4902023,-0.4087872,0.5473236,-40.30639,2.39749,-15.60674,1006.552
2.428197384,-99.58882,-48.25344,-99.32812,0.3466097,-0.4366554,0.7046301,-40.72013,2.068884,-13.05195,1006.552
2.460972786,-55.91791,-69.29043,-122.5419,0.34349,-0.5348538,0.8049088,-41.76889,-0.09134436,-11.27571,1006.552
2.493747711,-49.20887,-89.85468,-160.1728,0.3670757,-0.2772689,0.6278049,-41.76889,-0.09134436,-11.27571,1006.55
2.526522637,-108.0994,-83.35448,-193.0998,0.6473415,-0.1598421,0.3679905,-41.69847,-3.712788,-9.540127,1006.548
2.559298039,-70.95114,-54.87182,-222.9112,0.5861455,-0.173715,0.2675519,-42.33408,-8.480593,-7.350343,1006.548
2.594594479,-11.19095,-58.06282,-253.2113,0.6623743,0.03594651,0.2795705,-42.33408,-8.480593,-7.350343,1006.548
2.627369404,-10.32126,-42.1078,-277.1582,0.7171257,0.2951936,0.3040808,-39.94549,-16.12726,-6.362687,1006.546
2.660144329,-4.481909,-33.48027,-284.0002,0.4857266,0.6017193,0.2574755,-36.51009,-24.56092,-4.990994,1006.546
2.692919731,46.20864,-43.64421,-270.7439,0.3532687,0.985575,0.3563717,-36.51009,-24.56092,-4.990994,1006.546
2.728216171,-6.034928,-49.3762,-260.9696,0.3140216,1.142122,0.2931704,-29.4499,-32.22474,-4.44448,1006.546
2.760991097,-93.12826,-25.32548,-238.2446,0.2457529,1.039553,0.1933637,-22.34747,-38.85018,-3.479168,1006.545
2.793766022,-113.6281,-2.752073,-213.9311,0.1470558,0.9109882,0.314132,-22.34747,-38.85018,-3.479168,1006.545
2.826541424,-99.27821,19.52587,-192.0002,0.2393662,0.9206653,0.4741919,-13.17822,-42.93854,-7.654684,1006.546
2.894612789,108.5779,-36.61218,-196.7651,0.06271086,0.9994356,1.088228,-5.081921,-44.8446,-12.36052,1006.548
2.927387715,951.619,5.343624,-14.17003,0.3395205,4.735913,0.3902235,2.607331,-44.16307,-14.49533,1006.552
2.960163117,-224.3273,12.96658,74.16469,0.2331485,1.659516,0.2728466,8.102867,-44.31473,2.037601,1006.552
2.992938042,-186.0609,13.02567,59.13678,0.02868708,0.1772965,-0.06379451,8.102867,-44.31473,2.037601,1006.553
3.028234482,40.55565,-7.124932,27.73703,0.1740121,0.3428358,0.03380911,6.68963,-46.89711,-0.4689205,1006.555
3.061008930,66.95699,-11.67507,4.156671,0.218782,0.7291109,0.1274676,5.207431,-45.84616,-3.840807,1006.557
3.093784809,76.39935,-13.8615,-11.97083,0.2423199,0.821799,0.05073559,5.207431,-45.84616,-3.840807,1006.559
3.126559258,68.01304,-13.09329,-24.86061,0.1919703,1.178792,0.1100058,4.119455,-45.80873,-1.290886,1006.559
3.159334660,-18.08636,-2.042961,-29.01467,0.2134937,1.120835,0.1543274,4.124438,-45.76797,1.692737,1006.56
3.194630623,1.108961,-0.2110877,-16.36924,0.2054662,1.018746,0.1212863,4.124438,-45.76797,1.692737,1006.562
3.227405548,12.6013,1.266229,-1.280252,0.1935033,1.152722,0.14133,4.852593,-45.76972,1.691797,1006.564
3.260180950,6.886193,0.3798391,11.243,0.1792208,1.029759,0.1256642,5.588132,-46.13081,2.069541,1006.564
3.292955875,18.8755,0.3798391,12.15933,0.186316,0.9006065,0.1046622,5.588132,-46.13081,2.069541,1006.564
3.328252316,23.59668,-0.1519951,6.05043,0.1936595,0.8763493,0.1094949,5.582097,-45.76043,2.498922,1006.566
3.361027241,20.42852,-2.397517,-1.341341,0.1916272,0.9158393,0.1176234,5.218747,-45.75361,2.934504,1006.567
3.393802643,8.749816,-2.397517,-7.266975,0.1929941,0.949806,0.0978331,5.218747,-45.75361,2.934504,1006.567
3.426577568,10.30284,-2.456609,-8.610933,0.1973106,0.9676917,0.07324646,4.856745,-45.73576,4.17815,1006.569
3.459352493,19.55883,-3.165722,-5.73975,0.1981876,1.004113,0.05682319,5.213439,-45.37729,3.798997,1006.569
3.494648934,22.35427,-3.402092,-0.8526285,0.192305,1.025416,0.04573372,5.585523,-45.7324,4.550163,1006.569
3.527423859,16.20431,-1.688405,1.285487,0.1928574,0.9951478,0.03470671,5.585523,-45.7324,4.550163,1006.569
3.560199261,8.687695,-0.2110877,0.796775,0.1977544,0.9761341,0.02605924,5.579488,-45.36202,4.979545,1006.569
3.592974186,0.4256323,1.384415,-0.9748065,0.1875854,0.9648675,0.02898851,5.222899,-45.71964,5.420856,1006.569
3.628270626,-2.431924,1.798064,-2.196587,0.1831922,0.9760895,0.03716516,5.222899,-45.71964,5.420856,1006.571
3.661045551,-3.239494,2.448083,-1.524608,0.1850936,0.9941559,0.04146568,4.853514,-45.34245,6.285819,1006.571
3.693820954,-3.239494,3.098103,-0.2417383,0.1870656,0.9825136,0.0458108,5.216138,-45.35521,5.415126,1006.571
3.726595879,-0.3819378,2.861732,0.1247958,0.1909941,0.9630281,0.04053587,5.216138,-45.35521,5.415126,1006.572
3.759370804,1.481686,1.738971,-0.3028273,0.1885556,0.9689024,0.04775323,5.580215,-45.35608,5.414657,1006.567
3.794666767,-0.3819378,0.9707659,-0.05847127,0.1929103,0.9772853,0.0573575,5.580942,-45.35014,5.849768,1006.567
3.827441693,0.6741154,0.4389318,0.3691518,0.1880693,0.9724247,0.06459673,5.580942,-45.35014,5.849768,1006.567
3.860217095,1.916531,-0.3883658,0.1858848,0.1846711,0.9698809,0.05305595,5.945019,-45.35101,5.849298,1006.567
3.892992020,2.475618,1.207137,-0.7304505,0.1856714,0.956202,0.04585377,5.210104,-44.98483,5.844508,1006.565
3.928288460,7.445281,1.679878,-1.707875,0.182269,0.9551092,0.03286672,5.210104,-44.98483,5.844508,1006.567
3.961063385,12.10434,0.6162097,-1.096985,0.204554,0.9752067,0.02460042,5.586976,-45.72052,5.420386,1006.567
3.993838787,10.30284,2.034434,-1.219163,0.200125,0.9969793,0.009174535,5.938984,-44.98063,6.27868,1006.565
4.026613712,5.146811,4.516326,-1.035896,0.1962814,0.9799077,0.0101721,5.938984,-44.98063,6.27868,1006.565
4.059388638,2.848342,5.69818,-3.296189,0.191916,0.9748937,-0.00521356,5.21218,-44.96784,7.087684,1006.563
4.094685078,-5.413721,5.402717,-3.968168,0.1807012,0.9993261,0.01980703,5.204691,-44.60935,6.646842,1006.563
4.127460480,-12.55761,5.875458,-2.990744,0.1651968,0.9896233,0.04392651,5.204691,-44.60935,6.646842,1006.565
4.160235405,-6.407653,4.279956,-1.219163,0.1453341,0.9714807,0.05025867,5.21083,-44.97888,6.279619,1006.565
4.193010330,-0.2576963,0.7343951,1.285487,0.1710505,0.9840319,0.07328412,4.839264,-44.61952,5.839248,1006.565
4.228306770,3.158946,0.2616537,1.10222,0.1720648,0.962994,0.05839121,4.839264,-44.61952,5.839248,1006.563
4.261082172,4.774087,-1.038385,1.468754,0.1623445,0.9637832,0.04349086,5.574907,-44.97976,6.27915,1006.563
4.293857098,8.190729,-2.574795,-0.05847127,0.1637711,0.9754472,0.03817492,5.21083,-44.97888,6.279619,1006.563
4.326632023,8.625574,-2.042961,-1.035896,0.1676444,0.9788386,0.03094019,5.21083,-44.97888,6.279619,1006.563
4.359407425,10.55132,-1.215663,-0.6693614,0.1627893,0.9732499,0.003522513,5.218214,-45.33822,6.658302,1006.563
4.394702911,6.824073,-1.983868,-0.3028273,0.1686065,0.9792098,0.01312697,5.218941,-45.33228,7.093414,1006.565
4.427477837,8.439212,-1.688405,1.10222,0.1928365,1.000882,0.01881317,5.576983,-44.96277,7.522326,1006.567
4.460253239,5.271053,-0.3292731,3.362514,0.2492034,0.9827978,0.01196767,5.576983,-44.96277,7.522326,1006.567
4.493028164,2.848342,-0.9202,5.989341,0.2535724,0.9888794,0.04082985,5.206145,-44.59746,7.517066,1006.567
4.528324604,9.681627,-1.215663,4.095582,0.1794112,0.936762,0.05937605,5.213633,-44.95596,7.957908,1006.567
4.561099529,23.0376,2.270805,12.70913,0.1580296,0.9519829,0.1027264,5.213633,-44.95596,7.957908,1006.567
4.593874931,9.86799,32.58535,33.29613,0.05430533,1.063641,0.03541346,5.585198,-45.31532,8.398279,1006.567
4.626649857,-15.16668,56.04514,62.9854,0.1693557,1.077278,0.03704548,4.467271,-43.84392,9.184834,1006.568
4.659424782,22.72699,29.45344,62.00797,0.4750538,0.9391688,-0.09006958,4.467271,-43.84392,9.184834,1006.568
4.694721222,98.14162,-20.83443,33.11287,0.3444132,0.7457865,-0.07695286,2.288945,-44.20821,8.82043,1006.567
4.727496624,123.052,-32.06205,25.59892,0.2820126,0.8424154,-0.1140153,0.05471459,-44.53331,11.31541,1006.567
4.760271549,7.942246,-6.65219,13.01458,0.4558054,1.323585,0.1635557,0.05471459,-44.53331,11.31541,1006.567
4.793046475,-82.75409,-30.762,4.034493,0.1542747,1.07317,-0.04522543,-2.157119,-42.65324,15.14342,1006.567
4.828342915,-46.22707,-32.00295,-10.38251,0.1889214,0.565481,-0.1846187,-1.437906,-42.30838,13.83142,1006.567
4.861118317,-20.57119,-35.31214,-17.65211,0.1669044,1.049609,-0.1568958,-1.437906,-42.30838,13.83142,1006.57
4.893893242,-17.65151,-24.61637,-7.938954,0.3225314,1.175961,-0.03374539,-1.427186,-43.06018,12.16459,1006.57
4.926668167,-29.08174,-17.58434,-5.556483,0.3078159,1.027045,-0.06910682,0.3843628,-42.71708,10.91334,1006.572
4.959443569,-4.481909,-6.356727,7.760923,0.2694992,0.7859606,-0.1629995,0.3843628,-42.71708,10.91334,1006.568
4.994739056,55.96161,-6.41582,6.966765,0.3451861,0.796738,-0.2450267,0.7544748,-43.08834,10.48349,1006.572
5.027514458,32.23147,-7.53858,-4.029257,0.3110744,0.8652675,-0.1545531,0.7552015,-43.08239,10.9186,1006.572
5.060289383,18.81338,-9.606825,-13.31479,0.324033,0.7311812,-0.1216491,0.7552015,-43.08239,10.9186,1006.572
5.093064308,26.9512,-12.38418,-26.69328,0.2630565,0.868229,-0.02110647,0.7437552,-42.33654,12.15031,1006.572
5.128360748,-3.053131,-25.62094,-38.11693,0.1618511,0.953046,-0.02917741,0.7452086,-42.32465,13.02054,1006.574
5.161136150,10.55132,-29.52106,-40.86594,0.1711729,0.8950178,-0.1205708,0.7452086,-42.32465,13.02054,1006.574
5.193911076,26.20576,-24.20272,-38.23911,0.1898108,1.017282,-0.1405351,2.620863,-41.95368,13.82044,1006.574
5.226686001,22.85123,-18.52982,-34.32941,0.2002615,1.108708,-0.1729489,4.448011,-42.32248,13.82382,1006.572
5.259461403,18.99974,-15.92974,-28.22051,0.2261165,1.045634,-0.2393431,4.448011,-42.32248,13.82382,1006.572
5.294757843,12.16646,-9.902288,-20.15676,0.2179614,0.9961045,-0.2782394,5.527448,-41.59028,14.24607,1006.572
5.327532768,6.078623,-3.165722,-13.00934,0.1981049,0.9623987,-0.3387931,7.3418,-41.22427,14.6731,1006.572
5.360307694,-3.798581,4.339048,-7.205886,0.1372705,1.032466,-0.2752146,7.3418,-41.22427,14.6731,1006.57
5.393083096,-16.09849,4.634512,-0.7304505,0.1494011,1.044557,-0.2319391,7.3418,-41.22427,14.6731,1006.57
5.425858021,-27.90144,7.411868,1.163309,0.1543945,0.9911889,-0.2082838,7.712639,-41.58958,14.67836,1006.57
5.461154461,-35.48018,8.948277,0.857864,0.1520594,0.9653447,-0.1398859,7.339724,-41.24125,13.42992,1006.568
5.493929386,-39.64227,7.825517,0.918953,0.1695643,0.9582956,-0.1240319,7.339724,-41.24125,13.42992,1006.567
5.526704788,-50.82401,11.1938,-2.01332,0.1486554,0.9849398,-0.04941138,7.709836,-41.6125,13.00007,1006.567
5.559479714,-69.58448,6.230014,0.002617747,0.08298334,1.049693,0.02622059,7.355751,-42.36937,10.8986,1006.568
5.594775200,-80.64198,3.157195,5.317362,0.1014904,1.026973,0.02861774,7.355751,-42.36937,10.8986,1006.568
5.627550602,-79.64805,0.9707659,10.32666,0.07391542,1.003091,0.1293237,7.357529,-42.77457,7.920709,1006.568
5.660325527,-53.61944,-8.83862,16.92427,0.1037379,0.9282174,0.1823156,6.995957,-43.17295,5.378397,1006.568
