Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.271718979,48.388,33.608
1.272471428,48.414,33.61
2.273223877,48.394,33.612
3.271492958,48.442,33.614
4.272245884,48.4,33.618
5.272999764,48.466,33.62
6.271269798,48.412,33.622
7.272024632,48.474,33.624
8.272778988,48.504,33.628
9.273533821,48.468,33.63
10.271806240,48.466,33.634
11.272562027,48.51,33.636
12.273317814,48.558,33.638
14.272347927,48.6,33.642
15.273105145,48.572,33.644
16.271379471,48.558,33.648
17.272137165,48.606,33.65
18.272894859,48.62,33.652
19.271170139,48.624,33.654
20.271929264,48.602,33.656
21.272687435,48.646,33.658
22.273446560,48.646,33.66
23.271722317,48.61,33.66
24.272482395,48.622,33.662
25.273241043,48.674,33.664
26.271517754,48.678,33.664
27.272277355,48.67,33.664
28.273036957,48.616,33.666
29.271313667,48.626,33.666
30.272073269,48.644,33.666
31.272832871,48.676,33.668
32.271109581,48.634,33.668
33.271869183,48.668,33.668
34.272628784,48.674,33.668
35.273389340,48.666,33.668
36.271666050,48.62,33.668
37.272425652,48.672,33.668
38.273186207,48.64,33.668
39.271462441,48.646,33.668
40.272222996,48.682,33.67
41.272983074,48.678,33.67
42.271260262,48.702,33.672
43.272020817,48.698,33.672
44.272781849,48.718,33.674
45.271059513,48.714,33.674
46.271820545,48.726,33.674
47.272581577,48.7,33.676
48.273342609,48.648,33.676
49.271620750,48.698,33.676
50.272381783,48.708,33.676
51.273142815,48.748,33.676
52.271420479,48.758,33.676
53.272182465,48.742,33.678
54.272943974,48.752,33.678
55.271222591,48.714,33.678
56.271984100,48.756,33.678
57.272746563,48.702,33.68
58.271025658,48.714,33.68
59.271787643,48.746,33.68
60.272550583,48.71,33.682
61.273313046,48.732,33.682
62.271592617,48.74,33.684
63.272355557,48.782,33.684
64.273118973,48.79,33.686
65.271399021,48.832,33.686
66.272162914,48.82,33.686
67.272926807,48.786,33.688
68.271207333,48.844,33.688
69.271971703,48.846,33.69
70.272736073,48.848,33.692
71.271017551,48.83,33.694
72.271781921,48.808,33.696
73.272547722,48.858,33.696
74.270829678,48.876,33.698
75.271595478,48.878,33.7
76.272361755,48.882,33.702
77.273127556,48.914,33.704
78.271410465,48.926,33.706
79.272177696,48.934,33.708
80.272944927,48.878,33.71
81.271228790,48.946,33.712
82.271995544,48.964,33.714
83.272763252,48.946,33.714
84.271047592,48.964,33.716
85.271816254,48.944,33.718
86.272583962,48.948,33.718
87.270869255,48.954,33.72
88.271637440,49,33.722
89.272406578,48.964,33.722
90.273175716,48.998,33.724
91.271461487,48.97,33.724
92.272230625,48.962,33.724
93.272999764,49.03,33.726
94.271285534,49.002,33.726
95.272054195,49.004,33.726
96.272824287,48.994,33.726
97.271110058,48.994,33.728
98.271879673,49.064,33.728
99.272649288,48.974,33.728
100.270936012,48.924,33.73
101.271705628,48.998,33.73
102.272475243,49.036,33.73
103.270762444,49.034,33.732
104.271533012,48.98,33.732
105.272303104,49.072,33.734
106.273073673,49.07,33.734
107.271360874,49.032,33.736
108.272131920,49.066,33.736
109.272902966,49.056,33.738
110.271190643,49.044,33.738
111.271961689,49.072,33.74
112.272732735,49.076,33.74
113.271020413,49.064,33.74
114.271792412,49.084,33.74
115.272563458,49.06,33.742
116.270851612,49.036,33.742
117.271623135,49.068,33.742
118.272394657,49.058,33.742
119.270683289,49.06,33.742
120.271454811,49.062,33.742
121.272227287,49.092,33.742
122.272998333,49.078,33.742
123.271287441,49.118,33.742
124.272058964,49.052,33.742
125.272830963,49.106,33.742
126.271119118,49.102,33.742
127.271891117,49.084,33.742
128.272662640,49.114,33.742
129.270951271,49.108,33.742
130.271722794,49.076,33.74
131.272493839,49.018,33.74
132.270781994,49.09,33.74
133.271553040,49.06,33.738
134.272324085,49.048,33.738
135.270611286,49.04,33.736
136.271381378,49.004,33.736
137.272151947,49.092,33.734
138.272921562,49.006,33.734
139.271208763,49.026,33.734
140.271978378,49.01,33.732
141.272747994,49.04,33.732
142.271033764,48.994,33.732
143.271803856,49.02,33.73
144.272572994,48.994,33.728
145.270858765,49.028,33.728
146.271626949,48.966,33.728
147.272396088,48.994,33.726
148.270681381,48.994,33.724
149.271449089,48.954,33.724
150.272217274,48.94,33.722
151.270501614,48.938,33.72
152.271269322,48.99,33.72
153.272036552,48.936,33.718
154.272804260,48.918,33.718
155.271088123,48.938,33.718
156.271855831,48.924,33.718
157.272623539,48.896,33.718
158.270907402,48.9,33.716
159.271675110,48.968,33.718
160.272442818,48.888,33.716
161.270727158,48.942,33.718
162.271494865,48.942,33.718
163.272262573,48.942,33.718
