Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.105034828,59.86328,98.4375,3.82625,252.1875,0
1.160017014,59.84766,98.53125,3.82625,267.5,0
2.214628696,59.83594,98.625,3.826875,271.25,0
3.094223499,59.83594,98.4375,3.83,243.75,0
4.148462296,59.82422,98.53125,3.825625,264.0625,0
5.203417778,59.8125,98.25,3.82875,267.5,0
6.082356930,59.80078,98.25,3.83,244.6875,0
7.137266159,59.78906,98.25,3.826875,289.6875,0
8.191961288,59.77734,98.0625,3.825,265.3125,0
9.070880890,59.77734,97.6875,3.82625,269.6875,0
10.125726223,59.76563,97.96875,3.828125,254.375,0
11.180537701,59.75,97.59375,3.8275,263.75,0
12.235252380,59.73828,97.6875,3.825625,255.9375,0
13.114198208,59.72656,97.5,3.82625,264.6875,0
14.169000626,59.71484,97.59375,3.828125,255.9375,0
15.223951817,59.71484,97.5,3.82875,254.0625,0
16.103198528,59.70313,97.6875,3.825,266.875,0
17.157950401,59.69141,97.875,3.82625,256.875,0
18.212416649,59.67969,97.875,3.82,272.5,0
19.091482639,59.66797,97.96875,3.82875,252.1875,0
20.146412849,59.66797,97.96875,3.825,257.1875,0
21.201085568,59.65234,97.875,3.82125,268.75,0
22.079971790,59.64063,97.875,3.82875,262.8125,0
23.134771824,59.62891,97.96875,3.82625,256.875,0
24.189668179,59.61719,97.96875,3.825625,265,0
25.068723679,59.60547,97.96875,3.82625,260.9375,0
26.123950481,59.60547,97.96875,3.8275,265.625,0
27.178164959,59.59375,97.875,3.82625,270.9375,0
28.232975483,59.58203,97.96875,3.826875,256.25,0
29.112070084,59.57031,97.96875,3.82875,265.9375,0
30.167079449,59.55469,97.96875,3.824375,257.8125,0
31.222157478,59.54297,97.96875,3.826875,266.5625,0
32.100693703,59.54297,97.78125,3.826875,255.9375,0
33.155449390,59.53125,97.6875,3.825,255.3125,0
34.210255146,59.51953,97.59375,3.825625,277.8125,0
35.089127541,59.50781,97.6875,3.828125,245.3125,0
36.143929482,59.49609,97.59375,3.824375,259.6875,0
37.198713779,59.48438,97.59375,3.821875,265,0
38.077875137,59.48438,97.6875,3.82625,263.75,0
39.132631302,59.47266,97.78125,3.824375,309.0625,0
40.187285900,59.45703,97.5,3.823125,262.5,0
41.066716194,59.44531,97.59375,3.825,275.3125,0
42.121124268,59.43359,97.6875,3.824375,276.875,0
43.176021576,59.43359,97.5,3.824375,292.5,0
44.231093884,59.42188,97.40625,3.825,268.75,0
45.110075951,59.41016,97.40625,3.82375,258.75,0
46.164708614,59.39844,97.40625,3.823125,260,0
47.219434261,59.38672,97.40625,3.823125,253.75,0
48.098391533,59.38672,97.40625,3.82625,268.75,0
49.153075695,59.375,97.40625,3.82375,276.875,0
50.208054066,59.35938,97.5,3.825625,245.3125,0
51.087026596,59.34766,97.59375,3.82625,258.125,0
52.141780376,59.33594,97.59375,3.824375,266.5625,0
53.196602821,59.32422,97.78125,3.82625,269.0625,0
54.075569153,59.32422,97.78125,3.825,257.1875,0
55.130280495,59.3125,98.0625,3.825,255.625,0
56.185028553,59.30078,97.875,3.823125,268.4375,0
57.064171314,59.28906,97.59375,3.823125,268.75,0
58.118970394,59.27734,97.59375,3.82625,267.8125,0
59.173717022,59.27734,97.40625,3.82625,264.0625,0
60.228594780,59.26172,97.40625,3.824375,254.0625,0
61.107414722,59.25,97.3125,3.823125,267.1875,0
62.162400723,59.23828,97.21875,3.824375,267.5,0
63.217042923,59.22656,97.21875,3.825,259.0625,0
64.096026897,59.21484,97.3125,3.82375,243.75,0
65.151069641,59.21484,97.40625,3.82375,252.5,0
66.205595493,59.20313,97.40625,3.823125,262.5,0
67.084715366,59.19141,97.40625,3.823125,264.375,0
68.139374733,59.17969,97.3125,3.823125,265.625,0
69.194625855,59.16406,97.3125,3.82375,275.3125,0
70.073271751,59.16406,97.3125,3.8225,265.625,0
71.128131390,59.15234,96.46875,3.825625,252.5,0
72.182968617,59.14063,96.65625,3.823125,252.5,0
73.061988354,59.12891,96.9375,3.823125,267.8125,0
74.116987705,59.11719,96.9375,3.824375,255,0
76.226346493,59.09375,96.84375,3.820625,262.8125,0
77.105283260,59.09375,96.65625,3.82375,266.5625,0
78.159969330,59.08203,96.5625,3.82625,261.25,0
79.214793682,59.06641,96.84375,3.824375,270.3125,0
80.093792915,59.05469,96.84375,3.823125,250,0
81.148670673,59.04297,96.84375,3.82375,267.5,0
82.203788757,59.03125,96.46875,3.821875,286.875,0
83.082404137,59.03125,96.75,3.823125,251.25,0
84.137264252,59.01953,96.84375,3.8225,272.8125,0
85.191920281,59.00781,96.5625,3.82125,258.125,0
86.071042538,58.99609,96.84375,3.825,256.5625,0
87.125936508,58.98438,96.9375,3.821875,263.4375,0
88.180526257,58.98438,96.5625,3.82,259.0625,0
89.059650421,58.96875,96.75,3.8225,252.8125,0
90.114441872,58.95703,96.84375,3.823125,272.1875,0
91.169413090,58.94531,96.9375,3.82,280.3125,0
92.223919392,58.93359,96.84375,3.823125,262.1875,0
93.102952480,58.93359,96.75,3.823125,245.625,0
94.157720089,58.92188,96.84375,3.820625,261.875,0
95.212698937,58.91016,96.84375,3.82,270.3125,0
96.091651917,58.89844,96.65625,3.823125,258.125,0
97.146878719,58.88672,96.46875,3.821875,250.9375,0
98.201427937,58.87109,96.5625,3.820625,264.375,0
99.080218792,58.87109,96.5625,3.82125,284.0625,0
100.135018349,58.85938,96.5625,3.82125,255.3125,0
101.189681530,58.84766,96.46875,3.820625,268.4375,0
102.068926334,58.83594,96,3.82125,282.1875,0
103.123676777,58.82422,96,3.821875,261.875,0
104.178431988,58.8125,96.1875,3.82125,262.5,0
105.233189583,58.8125,96.09375,3.8225,245.3125,0
106.112680912,58.80078,96.1875,3.82125,268.75,0
107.166864395,58.78906,96.1875,3.82125,260.9375,0
108.221665859,58.77344,96.46875,3.81875,255.625,0
109.100764751,58.76172,96.65625,3.8225,257.1875,0
110.155576706,58.76172,96.5625,3.821875,264.6875,0
111.210302830,58.75,96.5625,3.821875,250,0
112.089702606,58.73828,96.5625,3.820625,266.5625,0
113.144077301,58.72656,96.46875,3.82125,256.875,0
114.198957920,58.71484,96.5625,3.8225,260.9375,0
115.077993393,58.71484,96.46875,3.8225,267.5,0
116.132836342,58.70313,96.46875,3.82125,263.4375,0
117.187688351,58.69141,96.375,3.819375,265,0
118.066407204,58.67578,96.375,3.82,258.4375,0
119.121329784,58.66406,96.46875,3.82125,250.9375,0
120.176085472,58.65234,96.46875,3.820625,257.8125,0
121.230848789,58.64063,96.5625,3.82,261.5625,0
122.109848499,58.64063,96.5625,3.819375,265.625,0
123.164740562,58.62891,96.46875,3.82125,272.1875,0
124.219574451,58.61719,96.46875,3.819375,272.5,0
125.098802090,58.60547,96.5625,3.821875,256.25,0
126.153704643,58.59375,96.5625,3.81875,261.875,0
127.207996368,58.59375,96.375,3.820625,264.375,0
128.087146282,58.57813,96.375,3.82125,256.25,0
129.141897678,58.56641,96.28125,3.820625,255.9375,0
130.196783543,58.55469,96.28125,3.816875,267.5,0
131.075791359,58.54297,96.09375,3.82125,267.5,0
132.130382061,58.53125,96.09375,3.820625,266.875,0
133.185276508,58.53125,96.1875,3.820625,275.3125,0
134.064764977,58.51953,96.28125,3.816875,258.75,0
135.119111538,58.50781,96.1875,3.819375,248.4375,0
136.173798084,58.49609,96.28125,3.816875,262.5,0
137.228708744,58.48047,96.09375,3.81875,255,0
138.107680798,58.48047,96.09375,3.820625,260.625,0
139.162745953,58.46875,96.28125,3.819375,277.1875,0
140.217469215,58.45703,96.28125,3.82125,266.25,0
141.096265316,58.44531,96.28125,3.82,256.875,0
142.151076317,58.43359,96.28125,3.819375,272.1875,0
143.205841541,58.42188,96.09375,3.82,268.75,0
144.084727287,58.42188,95.8125,3.819375,274.0625,0
145.139726639,58.41016,95.8125,3.818125,247.5,0
147.073482990,58.38281,95.90625,3.81875,277.5,0
148.128250122,58.37109,95.90625,3.819375,268.75,0
149.183456898,58.37109,96,3.81875,271.5625,0
150.062065125,58.35938,95.90625,3.81875,259.6875,0
151.116709232,58.34766,96,3.8175,261.875,0
152.171648026,58.33594,96,3.81875,262.8125,0
153.226591110,58.32422,96,3.82,255.9375,0
154.105273724,58.32422,96,3.820625,261.25,0
155.160220623,58.3125,96,3.818125,257.5,0
156.215019226,58.30078,96.09375,3.8175,257.1875,0
157.094024658,58.28516,95.8125,3.81625,284.0625,0
158.148676395,58.27344,95.71875,3.819375,255,0
159.203634262,58.26172,95.8125,3.819375,247.5,0
160.082530975,58.26172,95.8125,3.8175,259.6875,0
161.137382031,58.25,95.4375,3.818125,276.5625,0
162.192155361,58.23828,95.25,3.819375,270.625,0
163.071276665,58.22656,95.25,3.816875,272.1875,0
