Time (s),Power (dBm),Percentage (%)
0.235622406,-62,76
0.735474110,-62,76
1.235617638,-62,76
1.735408306,-62,76
2.235594750,-62,76
2.735406876,-62,76
3.235595703,-62,76
3.735430241,-62,76
4.235748768,-57,86
4.735529423,-57,86
5.235624790,-53,94
5.735385895,-65,70
6.235655785,-53,94
6.735584736,-65,70
7.235729694,-63,74
7.735493660,-55,90
8.235760689,-59,82
8.735613346,-57,86
9.235623360,-65,70
9.735609055,-65,70
10.235744476,-55,90
10.735468865,-49,100
11.235685349,-57,86
11.735374928,-51,98
12.235575199,-57,86
12.735380173,-57,86
13.235554218,-51,98
13.735389710,-59,82
14.235551357,-59,82
14.735408306,-61,78
15.235576153,-59,82
15.735361576,-64,72
16.235723972,-65,70
16.735516071,-57,86
17.235657692,-64,72
17.735410214,-57,86
18.235487461,-55,90
18.735540867,-63,74
19.235685349,-55,90
20.235716343,-60,80
20.735532761,-57,86
21.235494137,-65,70
21.735565186,-57,86
22.235695362,-55,90
22.735364914,-71,58
23.235675812,-67,66
23.735409737,-65,70
24.235563278,-60,80
24.735328674,-57,86
25.235503674,-67,66
25.735314846,-53,94
26.235503674,-55,90
26.735314846,-57,86
27.235537529,-61,78
27.735340595,-61,78
28.235665321,-62,76
28.735302925,-57,86
29.235603809,-55,90
29.735453606,-51,98
30.235497952,-63,74
30.735496044,-59,82
31.235641480,-61,78
31.735528469,-62,76
32.235636711,-58,84
32.735490799,-58,84
33.235669136,-59,82
33.735485077,-57,86
34.235638142,-62,76
34.735522747,-60,80
35.235656261,-62,76
35.735465050,-61,78
36.235568047,-57,86
36.735353947,-60,80
37.235452175,-59,82
37.735279560,-59,82
38.235454083,-62,76
38.735295296,-60,80
39.235470772,-69,62
39.735307694,-57,86
40.235497952,-53,94
40.735262871,-55,90
41.235572815,-57,86
41.735399246,-57,86
42.235549450,-59,82
42.735318661,-59,82
43.235589027,-55,90
43.735448837,-69,62
44.235592365,-65,70
44.735427857,-60,80
45.235589027,-64,72
45.735477925,-57,86
46.235557079,-55,90
46.735474110,-60,80
47.235639572,-62,76
47.735441208,-57,86
48.235605717,-57,86
48.735341549,-57,86
49.235407353,-57,86
49.735308170,-57,86
50.235399723,-53,94
50.735307217,-53,94
51.235427380,-51,98
51.735258579,-51,98
52.235388756,-47,100
52.735288620,-53,94
53.235393524,-64,72
53.735235691,-51,98
54.235549927,-49,100
54.735340595,-57,86
55.235484123,-55,90
55.735203743,-55,90
56.235549450,-55,90
56.735298634,-62,76
57.235580921,-62,76
57.735397816,-62,76
58.235427380,-57,86
58.735430241,-64,72
59.235580921,-59,82
59.735301972,-59,82
60.235558033,-59,82
60.735406876,-57,86
61.235426426,-53,94
61.735231877,-55,90
62.235390663,-53,94
62.735230923,-57,86
63.235393047,-59,82
63.735185623,-63,74
64.235363007,-62,76
64.735175610,-57,86
65.235351086,-53,94
65.735183239,-71,58
66.235532761,-59,82
66.735213280,-59,82
67.235448837,-59,82
67.735308170,-60,80
68.235344410,-67,66
68.735165596,-59,82
69.235500813,-65,70
69.735355854,-67,66
70.235298634,-69,62
70.735385418,-57,86
71.235530376,-55,90
71.735133171,-61,78
72.235535145,-57,86
72.735385418,-55,90
73.235309124,-57,86
73.735325813,-57,86
74.235392571,-53,94
74.735214234,-65,70
75.735135079,-53,94
76.235314369,-60,80
76.735124111,-49,100
77.235342026,-51,98
77.735176563,-51,98
78.235342026,-51,98
78.735132694,-49,100
79.235436916,-62,76
79.735292435,-61,78
80.235393047,-63,74
80.735187531,-65,70
81.235456944,-53,94
81.735311032,-57,86
82.235488415,-55,90
82.735305309,-53,94
83.235450745,-53,94
83.735338211,-55,90
84.235481739,-59,82
84.735300064,-57,86
85.235497475,-51,98
85.735301495,-53,94
86.235521317,-55,90
86.735216618,-53,94
87.235282421,-47,100
