Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.232625961,43.086,32.406
1.232419491,43.058,32.406
2.232213974,43.112,32.408
3.232008457,43.126,32.41
4.234277248,43.164,32.41
5.234071732,43.14,32.41
6.233866692,43.072,32.41
7.233661652,43.128,32.412
8.233456135,43.158,32.412
9.233251572,43.17,32.414
10.233046532,43.136,32.414
11.232841492,43.192,32.414
12.232637405,43.204,32.416
13.232432842,43.138,32.418
14.232228756,43.158,32.418
15.232025147,43.14,32.42
16.234295368,43.128,32.42
17.234091759,43.162,32.422
18.233888149,43.202,32.424
19.233685017,43.21,32.426
20.233481407,43.196,32.426
21.233278275,43.206,32.426
22.233075142,43.208,32.428
23.232872486,43.25,32.43
24.232669830,43.228,32.43
25.232467651,43.248,32.432
26.232265472,43.216,32.434
27.232062817,43.264,32.434
28.231860638,43.224,32.436
29.234133720,43.278,32.436
30.233932018,43.24,32.438
31.233730316,43.26,32.438
32.233529091,43.266,32.438
33.233327389,43.234,32.44
34.233126640,43.242,32.442
35.232925415,43.244,32.442
36.232724667,43.296,32.442
37.232524395,43.304,32.444
38.232324123,43.342,32.446
39.232123375,43.262,32.446
40.231923103,43.33,32.448
41.231723785,43.298,32.448
42.233998776,43.294,32.45
43.233798981,43.28,32.452
44.233599186,43.33,32.454
45.233400345,43.316,32.454
46.233201027,43.344,32.456
47.233002186,43.336,32.454
48.232802391,43.352,32.45
49.232603550,43.374,32.45
50.232404709,43.362,32.452
51.232205391,43.334,32.454
52.232007027,43.348,32.456
53.231808186,43.362,32.456
54.234084606,43.358,32.458
55.233886242,43.37,32.46
56.233687878,43.386,32.46
57.233489037,43.378,32.46
58.233290672,43.422,32.462
59.233092308,43.414,32.462
60.232893944,43.34,32.46
61.232695580,43.31,32.46
62.232497215,43.328,32.462
63.232298374,43.398,32.462
64.232100010,43.404,32.46
65.231901646,43.33,32.46
66.231702805,43.378,32.46
67.233978748,43.388,32.46
68.233779907,43.354,32.46
69.233581543,43.354,32.46
70.233382702,43.358,32.46
71.233184338,43.35,32.46
72.232985020,43.372,32.46
73.232787132,43.344,32.46
74.232587814,43.332,32.46
76.232190609,43.398,32.462
77.231992245,43.358,32.46
78.231793404,43.348,32.456
79.231595039,43.364,32.456
80.233870506,43.354,32.456
81.233671665,43.37,32.458
82.233473301,43.376,32.458
83.233274460,43.362,32.458
84.233075142,43.344,32.458
85.232876301,43.344,32.46
86.232677937,43.332,32.46
87.232479096,43.39,32.46
88.232279778,43.388,32.46
89.232081413,43.38,32.46
90.231882572,43.342,32.46
91.231683731,43.368,32.46
92.233959675,43.328,32.46
93.233760834,43.322,32.46
94.233561993,43.318,32.46
95.233362198,43.31,32.458
96.233163357,43.366,32.458
97.232963562,43.338,32.456
98.232764721,43.318,32.454
99.232564449,43.322,32.454
100.232364655,43.34,32.454
101.232164860,43.3,32.454
102.231965065,43.314,32.454
103.231764793,43.3,32.452
104.231565476,43.298,32.452
105.233839512,43.364,32.452
106.233639240,43.304,32.452
107.233439446,43.302,32.452
108.233239174,43.272,32.452
109.233038902,43.318,32.448
110.232838631,43.308,32.446
111.232638359,43.276,32.446
112.232437134,43.328,32.446
113.232236385,43.326,32.446
114.232036114,43.256,32.446
115.231834889,43.322,32.446
116.231634140,43.28,32.446
117.233907700,43.29,32.446
118.233706474,43.27,32.446
119.233505726,43.23,32.446
120.233304501,43.3,32.444
121.233103752,43.286,32.444
122.232902050,43.29,32.444
123.232700348,43.232,32.444
124.232499123,43.288,32.442
125.232297421,43.224,32.442
126.232095718,43.224,32.442
127.231894016,43.266,32.442
128.231692791,43.262,32.44
129.231491089,43.244,32.44
130.233763695,43.256,32.44
131.233561993,43.226,32.44
132.233359814,43.268,32.44
133.233158112,43.228,32.44
134.232956410,43.236,32.438
135.232754231,43.226,32.438
136.232552052,43.256,32.438
137.232350349,43.22,32.438
138.232147694,43.272,32.436
139.231945515,43.198,32.436
140.231743336,43.252,32.436
141.231540680,43.29,32.436
142.233813286,43.228,32.436
143.233611107,43.264,32.436
144.233408451,43.248,32.436
145.233206272,43.254,32.436
147.232802391,43.236,32.438
148.232599735,43.234,32.438
149.232397556,43.256,32.438
150.232195854,43.246,32.438
151.231994152,43.244,32.44
152.231791973,43.234,32.44
153.231590271,43.29,32.44
154.231388569,43.232,32.44
155.233661652,43.308,32.442
156.233460426,43.298,32.442
157.233258724,43.276,32.442
158.233057976,43.268,32.442
159.232856274,43.26,32.444
160.232655048,43.264,32.444
161.232454777,43.262,32.446
162.232254028,43.272,32.446
163.232052803,43.316,32.446
