Time (s),Humidity (%)
0.021090508,13.02539
1.022016048,14.19629
2.020421505,13.39941
3.021348953,13.57324
4.022275448,13.77344
5.020681381,12.75195
6.021608353,12.2793
7.022535801,13.57422
8.020942211,14.05957
9.021869659,13.08887
10.020276070,12.19238
11.021203995,13.46289
12.022131920,12.12988
13.020539284,12.75293
14.021467209,13.60059
15.022395611,12.89063
16.020802975,13.45117
17.021732330,12.92773
18.020139694,13.04004
19.021068573,13.33887
20.021997929,13.17773
21.020405769,13.14063
22.021335125,14.28613
23.022264957,13.15332
24.020673752,13.41504
25.021603584,13.55176
26.022534370,14.03809
27.020943165,12.9541
28.021873951,13.37793
29.020283222,13.95117
30.021214008,13.30371
31.022145271,13.52832
32.020555019,12.68164
33.021486759,12.88086
34.022418022,13.1543
35.020828724,12.80566
36.021759987,11.54785
37.020170689,13.4668
38.021103382,13.15527
39.022035122,12.2959
40.020445824,12.85645
41.021378040,13.66602
42.022310734,11.99707
43.020721912,13.33008
44.021654606,13.54199
45.020066738,12.38379
46.020999908,12.20898
47.021933079,12.69531
48.020345211,13.90332
49.021277428,13.05566
50.022210598,11.64844
51.020622730,12.22168
52.021556854,13.7041
53.019968510,12.52148
54.020901680,13.67969
55.021835804,11.76074
56.020248413,12.64648
57.021181583,12.40918
58.022115231,11.76074
59.020527363,12.34668
60.021461487,12.58398
61.019873142,13.87891
62.020807266,12.38477
63.021740437,12.43457
64.020152092,13.38086
65.021085739,12.75781
66.022018909,13.64258
67.020430565,11.82324
68.021363258,12.09668
69.019774437,13.13086
70.020707130,12.3584
71.021639824,13.46777
72.020051003,13.15625
73.020982742,13.45508
74.021915436,13.97754
75.020326138,12.65723
76.021258831,11.88477
77.022190571,13.47949
78.020601273,11.93457
79.021533012,12.05859
80.019943714,12.33301
81.020875454,13.50391
82.021806717,12.35742
83.020217419,12.13379
84.021148682,12.38184
85.022078991,12.15723
86.020489216,13.46582
87.021419525,13.46582
88.019828796,13.51465
89.020759106,12.74219
90.021688938,13.25293
91.020097256,12.61719
92.021027088,13.96289
93.021956444,13.65137
94.020364285,13.42676
95.021293640,12.56738
96.019701481,12.35547
97.020630360,13.5752
98.021558762,13.00293
99.019966125,13.31348
100.020894051,12.80273
101.021821976,13.32617
102.020228386,13.96094
103.021156311,12.88965
104.019563198,13.46289
105.020490170,12.86426
106.021418095,12.52832
107.019824028,13.5498
108.020751953,13.20117
109.021679401,12.11719
110.020085335,13.11328
111.021012306,12.87695
112.019418240,12.56543
113.020344734,13.15039
114.021272182,11.9668
115.019677162,12.90137
116.020604610,13.06348
117.021531105,12.57715
118.019936562,12.36523
119.020863533,12.81445
120.021789551,13.49902
121.020195007,13.1123
122.021121502,13.82227
123.019526958,13.97168
124.020453453,13.64844
125.021378994,13.31152
126.019784451,13.16211
127.020710468,13.02539
128.021636963,13.31152
129.020042419,14.65625
130.020967960,13.0752
131.019373417,12.9502
132.020299435,13.38672
133.021224976,13.78516
134.019630432,13.0752
135.020556450,13.75977
136.021482468,13.29883
137.019886971,13.66016
138.020812988,13.57227
139.019217491,13.61035
140.020142555,13.87109
141.021068573,13.49805
142.019473076,13.63477
143.020399094,14.21973
144.021325111,13.38574
145.019729614,14.0459
146.020655632,13.56055
147.021581173,12.91309
148.019986153,12.67578
149.020911694,13.21191
150.019316673,12.15332
151.020242214,13.77246
152.021169186,12.68848
153.019573689,12.52734
154.020500183,12.75098
155.021426201,13.66016
156.019831181,13.54883
157.020757675,13.82227
158.019163132,13.0625
159.020089626,13.39941
160.021016121,12.51465
161.019422054,13.06348
162.020349503,12.80176
163.021275997,13.64844
