Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
-0.510888576,-0.01682095,0.5464308,-0.1177149,0.06276576,0.3376077,0.9568513,13.57347,-25.8294,-35.75067,1006.682
-0.478111744,-1.072874,-0.1035888,0.1266412,0.05843338,0.3204818,0.9506297,13.57347,-25.8294,-35.75067,1006.682
-0.445336342,-1.50772,0.1918747,0.2488192,0.06283218,0.3073284,0.9448627,13.21553,-26.19806,-36.11742,1006.682
-0.412560463,0.04529982,0.4282454,0.004463164,0.07158652,0.3025712,0.9506255,13.21688,-26.18702,-35.30936,1006.682
-0.379784584,1.039232,0.1918747,-0.05662585,0.06716008,0.324384,0.9409758,13.21688,-26.18702,-35.30936,1006.682
-0.344487667,-0.5759079,0.3691527,0.1266412,0.06036502,0.3248779,0.9501371,13.93006,-25.47178,-36.19198,1006.682
-0.311711311,-0.7622703,0.7237088,-0.05662585,0.06086679,0.3180636,0.9501461,13.56609,-25.47005,-36.12936,1006.684
-0.278935432,-0.7622703,0.4282454,-0.05662585,0.06378644,0.3166704,0.9563991,13.56609,-25.47005,-36.12936,1006.684
-0.246159554,-0.3895456,-0.04449607,0.004463164,0.05940345,0.3204732,0.9482206,13.2094,-25.82853,-35.7502,1006.684
-0.210862637,-0.6380287,-0.1035888,0.06555218,0.0642668,0.3170978,0.9472514,13.93079,-25.46583,-35.75687,1006.684
-0.178086758,-0.5137872,0.2509673,0.1266412,0.06668314,0.3240101,0.9578252,13.93079,-25.46583,-35.75687,1006.688
-0.145310402,-0.2031833,0.07368929,0.004463164,0.06619595,0.3234755,0.9515695,13.57285,-25.83449,-36.12363,1006.687
-0.112534523,-0.5137872,-0.04449607,0.1266412,0.06135236,0.3180676,0.950145,13.93693,-25.83537,-36.1241,1006.687
