Time (s),Humidity (%)
1.356790543,20.71973
2.354929924,19.96289
3.355551720,20.41504
4.356173992,19.82813
5.356796265,19.96289
6.354935646,19.86523
7.355557919,21.00098
8.356180191,19.15625
9.356802464,19.02148
10.354943276,18.48438
11.355565548,17.37207
12.356188774,18.28906
13.356811524,18.22754
14.354951382,18.43555
15.355574608,18.82715
16.356197834,19.47461
17.356820583,18.70508
18.354960442,19.73145
19.355583668,20.08594
20.356207371,20.26953
21.356830597,17.40918
22.354969978,18.41113
23.355593205,18.99805
24.356216431,19.13281
25.356839180,18.3623
26.354979992,18.26465
27.355602264,18.88867
28.356225491,20
29.356847763,19.87793
30.354987621,19.52344
31.355609894,19.95117
32.356232166,18.9248
33.356854916,19.23047
34.354993820,20.33008
35.355616093,18.97266
36.356238842,19.47461
37.356860161,19.85254
38.355000019,19.2666
39.355621815,21.09961
40.356243610,20.80566
41.356865883,21.2334
42.355004311,20.19434
43.355626106,20.25586
44.356247425,20.56055
45.356869221,19.65625
46.355007649,20.23047
47.355628491,19.27734
48.356248856,19.31348
49.356870174,18.8125
50.355007649,19.60645
51.355628014,19.28906
52.356248379,20.25391
53.356868267,18.61621
54.355005264,19.59375
55.355624676,18.7373
56.356243610,20.41113
57.354379177,20.34961
58.354997635,20.11719
59.355616093,19.59082
60.356234074,21.1416
61.354369164,20.87305
62.354986191,18.20996
63.355603218,19.1377
64.356219769,19.01465
65.354352474,19.52734
66.354968548,19.69824
67.355584145,19.09863
68.356199265,19.50195
69.354331493,18.92676
70.354946137,20.22168
71.355560303,18.71875
72.356174469,19.64648
73.354305267,19.16992
74.354918957,19.36523
75.355532169,19.96289
76.356145382,19.65723
77.354275227,19.25391
78.354887962,19.66895
79.355500698,20.15723
80.356112957,19.9375
81.354241848,19.96094
82.354853630,19.91211
83.355464935,19.76465
84.356075764,19.8623
85.356687546,21.00977
86.354815483,21.53418
87.355426312,19.66602
88.356037140,20.91113
89.356647492,20.60547
90.354774475,20.22656
91.355384350,20.69043
92.355993748,20.38477
93.356603623,21.03125
94.354730129,19.38281
95.355339050,20.68945
96.355948448,20.50586
97.356556892,20.68848
98.354682922,20.15137
99.355291367,20.0293
100.355900765,20.08984
101.356509209,19.80859
102.354634762,20.95605
103.355243206,20.90723
104.355851650,20.26074
105.356460571,19.94336
106.354586601,19.8457
107.355195046,20.29688
108.355803490,19.99219
109.356412411,20.56543
110.354538918,21.25
111.355147839,19.74805
112.355756760,20.38379
113.356366158,20.15137
114.354492664,18.99219
115.355101585,18.24707
116.355711460,18.00195
117.356320381,17.46484
118.354447365,18.13672
119.355056286,18.00195
120.355666161,19.08984
121.356276035,19.05273
122.354402542,20.87305
123.355012417,20.37207
124.355621815,21.08008
125.356231690,20.22559
126.354358196,20.58008
127.354968071,20.35938
128.355576992,20.35938
129.356185913,20.94531
130.354312420,20.29785
131.354921341,20.33496
132.355530739,19.67578
133.356139660,21.12793
134.354265213,20.41992
135.354874611,20.00488
136.355483532,21.77441
137.356091976,20.50586
138.354218483,20.33496
139.354826927,20.71289
140.355435371,19.62695
141.356044293,20.4082
142.354170323,18.35645
143.354778290,18.88184
