Time (s),Power (dBm),Percentage (%)
0.858195305,-51,98
1.358380795,-51,98
1.858363628,-51,98
2.358363628,-51,98
2.858388424,-51,98
3.358360767,-51,98
3.858201027,-49,100
4.358526707,-49,100
4.858177662,-49,100
5.358366966,-49,100
5.858362675,-51,98
6.358338833,-51,98
6.858335018,-49,100
7.358409405,-49,100
7.858160496,-53,94
8.358472824,-57,86
8.858147621,-53,94
9.358402252,-57,86
9.858353615,-53,94
10.358332634,-55,90
10.858313084,-62,76
11.358417988,-57,86
11.858172417,-65,70
12.358486652,-55,90
12.858198166,-53,94
13.358376980,-59,82
13.858334064,-53,94
14.358320236,-57,86
14.858329773,-53,94
15.358385086,-53,94
15.858156681,-53,94
16.358467102,-53,94
16.858144283,-60,80
17.358374596,-60,80
17.858314991,-55,90
18.358293057,-53,94
18.858233452,-59,82
19.358394623,-53,94
19.858162403,-65,70
20.358360767,-73,54
20.858133316,-53,94
21.358397007,-55,90
21.858233452,-58,84
22.358325958,-53,94
22.858254433,-47,100
23.358360291,-53,94
23.858086109,-55,90
24.358394146,-61,78
24.858128548,-51,98
25.358392716,-51,98
25.858276367,-59,82
26.358312607,-53,94
26.858270168,-53,94
27.358415604,-53,94
27.858084202,-53,94
28.358408451,-49,100
28.858063698,-49,100
29.358348370,-49,100
29.858255863,-49,100
30.358234882,-49,100
30.858088970,-49,100
31.358393669,-49,100
31.858066559,-47,100
32.358216763,-53,94
32.858032703,-57,86
33.358343124,-61,78
33.858049393,-58,84
34.358224869,-55,90
34.858195305,-53,94
35.358235359,-49,100
35.858079910,-53,94
36.358334541,-53,94
36.858040810,-53,94
37.358326912,-51,98
37.858180523,-62,76
38.358258247,-55,90
38.858175755,-53,94
39.358349800,-59,82
39.857997417,-53,94
40.358313561,-53,94
40.858046532,-53,94
41.358307839,-53,94
41.858161449,-55,90
42.358213902,-51,98
42.857974529,-51,98
43.358325005,-55,90
43.858062267,-57,86
44.358363152,-55,90
44.858012199,-62,76
45.358296871,-55,90
45.858179092,-57,86
46.358144760,-53,94
46.857976913,-57,86
47.358304501,-49,100
47.857987404,-57,86
48.358276367,-53,94
48.858004570,-59,82
49.358295918,-67,66
49.858123779,-62,76
50.358137608,-64,72
50.857988834,-53,94
51.358283043,-67,66
51.857989788,-53,94
52.358254433,-62,76
52.857960224,-53,94
53.358263016,-59,82
53.858138084,-57,86
54.358136177,-65,70
54.857976913,-57,86
55.358259678,-67,66
55.857913494,-51,98
56.358271599,-59,82
56.857958317,-67,66
57.358233929,-60,80
57.858117580,-53,94
58.358125687,-55,90
58.857959270,-53,94
59.358240128,-57,86
59.857904911,-57,86
60.358211041,-58,84
60.857948780,-65,70
61.358207226,-62,76
61.858048439,-57,86
62.358114243,-63,74
62.857988834,-59,82
63.358231068,-55,90
63.857890606,-49,100
64.358195782,-59,82
64.857934475,-60,80
65.358210564,-53,94
65.858042717,-49,100
66.358099938,-57,86
66.857970715,-62,76
67.358201981,-57,86
67.857872963,-62,76
68.358175755,-59,82
68.857912064,-65,70
69.358170986,-60,80
69.858059406,-57,86
70.358073235,-59,82
70.857946396,-60,80
71.358181000,-62,76
71.857847214,-59,82
72.358067513,-65,70
72.857887268,-60,80
73.358138084,-60,80
73.857904434,-62,76
74.358047962,-57,86
74.857886791,-60,80
75.358077526,-63,74
75.857818603,-62,76
76.358138561,-60,80
76.857858658,-57,86
77.358112335,-57,86
77.857984066,-57,86
78.358017922,-65,70
78.857843399,-57,86
79.358144283,-65,70
79.857836723,-59,82
80.358117104,-59,82
80.857820511,-59,82
81.358096123,-67,66
81.858000755,-65,70
82.357982636,-51,98
82.857842445,-53,94
83.358124256,-57,86
83.857793808,-60,80
84.357923031,-55,90
84.857783318,-55,90
85.358082771,-49,100
85.857756615,-51,98
86.357952595,-55,90
86.857779503,-55,90
87.357929230,-53,94
87.857782841,-51,98
88.358079434,-61,78
88.857833862,-55,90
